# Region      : cellSet Z1128
# Cells       : 7
# Volume      : 4.514839e-07
# Time        	volAverage(p)	volAverage(p_rgh)	volAverage(alpha.vapour)	volAverage(T.passiveStructure)	volAverage(T.liquid)
-1.9999       	1.000000e+04	8.210003e+03	0.000000e+00	0.000000e+00	6.531500e+02
-1.99979      	1.005555e+05	9.876549e+04	0.000000e+00	0.000000e+00	6.531501e+02
-1.99967      	9.879822e+04	9.700822e+04	0.000000e+00	0.000000e+00	6.531500e+02
-1.99954      	1.012323e+05	9.944230e+04	0.000000e+00	0.000000e+00	6.531501e+02
-1.99939      	9.926983e+04	9.747983e+04	0.000000e+00	0.000000e+00	6.531500e+02
-1.99923      	1.013236e+05	9.953365e+04	0.000000e+00	0.000000e+00	6.531501e+02
-1.99905      	9.974917e+04	9.795917e+04	0.000000e+00	0.000000e+00	6.531499e+02
-1.99886      	1.014945e+05	9.970447e+04	0.000000e+00	0.000000e+00	6.531501e+02
-1.99864      	1.002481e+05	9.845812e+04	0.000000e+00	0.000000e+00	6.531499e+02
-1.99841      	1.017437e+05	9.995373e+04	0.000000e+00	0.000000e+00	6.531501e+02
-1.99815      	1.007776e+05	9.898765e+04	0.000000e+00	0.000000e+00	6.531499e+02
-1.99786      	1.020700e+05	1.002800e+05	0.000000e+00	0.000000e+00	6.531501e+02
-1.99755      	1.013541e+05	9.956415e+04	0.000000e+00	0.000000e+00	6.531498e+02
-1.9972       	1.024656e+05	1.006756e+05	0.000000e+00	0.000000e+00	6.531501e+02
-1.99682      	1.019826e+05	1.001926e+05	0.000000e+00	0.000000e+00	6.531498e+02
-1.99641      	1.029292e+05	1.011392e+05	0.000000e+00	0.000000e+00	6.531502e+02
-1.99595      	1.026717e+05	1.008817e+05	0.000000e+00	0.000000e+00	6.531499e+02
-1.99544      	1.034519e+05	1.016620e+05	0.000000e+00	0.000000e+00	6.531504e+02
-1.99488      	1.034227e+05	1.016327e+05	0.000000e+00	0.000000e+00	6.531503e+02
-1.99427      	1.040122e+05	1.022222e+05	0.000000e+00	0.000000e+00	6.531508e+02
-1.9936       	1.042036e+05	1.024136e+05	0.000000e+00	0.000000e+00	6.531509e+02
