# Region      : cellSet Z779
# Cells       : 7
# Volume      : 4.818207e-07
# Time        	volAverage(p)	volAverage(p_rgh)	volAverage(alpha.vapour)	volAverage(T.activeStructure)	volAverage(T.liquid)
-1.9999       	1.000000e+04	5.036297e+03	0.000000e+00	6.531633e+02	6.531501e+02
-1.99979      	1.227650e+05	1.178013e+05	0.000000e+00	6.531778e+02	6.531504e+02
-1.99967      	1.206257e+05	1.156620e+05	0.000000e+00	6.531936e+02	6.531507e+02
-1.99954      	1.234417e+05	1.184780e+05	0.000000e+00	6.532107e+02	6.531513e+02
-1.99939      	1.210492e+05	1.160855e+05	0.000000e+00	6.532292e+02	6.531520e+02
-1.99923      	1.234047e+05	1.184410e+05	0.000000e+00	6.532493e+02	6.531532e+02
-1.99905      	1.214594e+05	1.164957e+05	0.000000e+00	6.532710e+02	6.531545e+02
-1.99886      	1.234382e+05	1.184745e+05	0.000000e+00	6.532944e+02	6.531566e+02
-1.99864      	1.218679e+05	1.169042e+05	0.000000e+00	6.533197e+02	6.531588e+02
-1.99841      	1.235387e+05	1.185751e+05	0.000000e+00	6.533470e+02	6.531621e+02
-1.99815      	1.222849e+05	1.173212e+05	0.000000e+00	6.533763e+02	6.531656e+02
-1.99786      	1.237029e+05	1.187393e+05	0.000000e+00	6.534078e+02	6.531706e+02
-1.99755      	1.227247e+05	1.177610e+05	0.000000e+00	6.534416e+02	6.531760e+02
-1.9972       	1.239236e+05	1.189600e+05	0.000000e+00	6.534779e+02	6.531834e+02
-1.99682      	1.231928e+05	1.182291e+05	0.000000e+00	6.535168e+02	6.531915e+02
-1.99641      	1.241978e+05	1.192342e+05	0.000000e+00	6.535585e+02	6.532021e+02
-1.99595      	1.237024e+05	1.187388e+05	0.000000e+00	6.536030e+02	6.532138e+02
-1.99544      	1.245127e+05	1.195491e+05	0.000000e+00	6.536507e+02	6.532288e+02
-1.99488      	1.242747e+05	1.193111e+05	0.000000e+00	6.537017e+02	6.532457e+02
-1.99427      	1.248248e+05	1.198612e+05	0.000000e+00	6.537563e+02	6.532664e+02
-1.9936       	1.248572e+05	1.198937e+05	0.000000e+00	6.538148e+02	6.532901e+02
-1.99286      	1.252229e+05	1.202595e+05	0.000000e+00	6.538775e+02	6.533181e+02
-1.99205      	1.254257e+05	1.204622e+05	0.000000e+00	6.539448e+02	6.533504e+02
-1.99115      	1.257138e+05	1.207504e+05	0.000000e+00	6.540172e+02	6.533880e+02
-1.99017      	1.259735e+05	1.210102e+05	0.000000e+00	6.540953e+02	6.534314e+02
-1.98908      	1.262484e+05	1.212851e+05	0.000000e+00	6.541797e+02	6.534814e+02
-1.98789      	1.265211e+05	1.215579e+05	0.000000e+00	6.542713e+02	6.535389e+02
-1.98658      	1.267949e+05	1.218318e+05	0.000000e+00	6.543709e+02	6.536049e+02
-1.98514      	1.270675e+05	1.221045e+05	0.000000e+00	6.544797e+02	6.536804e+02
