# Region      : all fluidRegion
# Cells       : 406
# Volume      : 2.524205e-05
# Time        	volAverage(alpha.vapour)	volAverage(T.activeStructure)
-1.9999       	0.000000e+00	5.257135e+02
-1.99979      	0.000000e+00	5.257214e+02
-1.99967      	0.000000e+00	5.257301e+02
-1.99954      	0.000000e+00	5.257396e+02
-1.99939      	0.000000e+00	5.257498e+02
-1.99923      	0.000000e+00	5.257608e+02
-1.99905      	0.000000e+00	5.257728e+02
-1.99886      	0.000000e+00	5.257857e+02
-1.99864      	0.000000e+00	5.257996e+02
-1.99841      	0.000000e+00	5.258146e+02
-1.99815      	0.000000e+00	5.258308e+02
-1.99786      	0.000000e+00	5.258482e+02
-1.99755      	0.000000e+00	5.258668e+02
-1.9972       	0.000000e+00	5.258868e+02
-1.99682      	0.000000e+00	5.259082e+02
-1.99641      	0.000000e+00	5.259312e+02
-1.99595      	0.000000e+00	5.259557e+02
-1.99544      	0.000000e+00	5.259819e+02
-1.99488      	0.000000e+00	5.260100e+02
-1.99427      	0.000000e+00	5.260400e+02
-1.9936       	0.000000e+00	5.260721e+02
-1.99286      	0.000000e+00	5.261066e+02
-1.99205      	0.000000e+00	5.261435e+02
-1.99115      	0.000000e+00	5.261831e+02
-1.99017      	0.000000e+00	5.262258e+02
-1.98908      	0.000000e+00	5.262718e+02
-1.98789      	0.000000e+00	5.263216e+02
-1.98658      	0.000000e+00	5.263756e+02
-1.98514      	0.000000e+00	5.264344e+02
-1.98355      	0.000000e+00	5.264985e+02
-1.98181      	0.000000e+00	5.265686e+02
-1.97989      	0.000000e+00	5.266456e+02
-1.97777      	0.000000e+00	5.267305e+02
-1.97545      	0.000000e+00	5.268240e+02
-1.9729       	0.000000e+00	5.269272e+02
-1.97009      	0.000000e+00	5.270411e+02
-1.967        	0.000000e+00	5.271670e+02
-1.9636       	0.000000e+00	5.273062e+02
-1.95986      	0.000000e+00	5.274602e+02
-1.95574      	0.000000e+00	5.276302e+02
-1.95121      	0.000000e+00	5.278193e+02
-1.94624      	0.000000e+00	5.280306e+02
-1.94076      	0.000000e+00	5.282674e+02
-1.93474      	0.000000e+00	5.285332e+02
-1.92811      	0.000000e+00	5.288311e+02
-1.92082      	0.000000e+00	5.291641e+02
-1.9128       	0.000000e+00	5.295362e+02
-1.90398      	0.000000e+00	5.299516e+02
-1.89428      	0.000000e+00	5.303855e+02
-1.88428      	0.000000e+00	5.308245e+02
-1.87428      	0.000000e+00	5.312681e+02
-1.86428      	0.000000e+00	5.317158e+02
-1.85428      	0.000000e+00	5.321673e+02
-1.84428      	0.000000e+00	5.326219e+02
-1.83428      	0.000000e+00	5.330795e+02
-1.82428      	0.000000e+00	5.335396e+02
-1.81428      	0.000000e+00	5.340019e+02
-1.804281     	0.000000e+00	5.344661e+02
-1.794281     	0.000000e+00	5.349318e+02
-1.784281     	0.000000e+00	5.353989e+02
-1.774281     	0.000000e+00	5.358670e+02
-1.764281     	0.000000e+00	5.363359e+02
-1.754281     	0.000000e+00	5.368053e+02
-1.744281     	0.000000e+00	5.372751e+02
-1.734281     	0.000000e+00	5.377451e+02
-1.724281     	0.000000e+00	5.382151e+02
-1.714281     	0.000000e+00	5.386848e+02
-1.704281     	0.000000e+00	5.391542e+02
-1.694281     	0.000000e+00	5.396231e+02
-1.684281     	0.000000e+00	5.400913e+02
-1.674281     	0.000000e+00	5.405587e+02
-1.664281     	0.000000e+00	5.410252e+02
-1.654281     	0.000000e+00	5.414907e+02
-1.644281     	0.000000e+00	5.419550e+02
-1.634281     	0.000000e+00	5.424182e+02
-1.624281     	0.000000e+00	5.428800e+02
-1.614281     	0.000000e+00	5.433404e+02
-1.604281     	0.000000e+00	5.437993e+02
-1.594281     	0.000000e+00	5.442566e+02
-1.584281     	0.000000e+00	5.447124e+02
-1.574281     	0.000000e+00	5.451665e+02
-1.564281     	0.000000e+00	5.456188e+02
-1.554281     	0.000000e+00	5.460694e+02
-1.544281     	0.000000e+00	5.465181e+02
-1.534281     	0.000000e+00	5.469649e+02
-1.524281     	0.000000e+00	5.474098e+02
-1.514281     	0.000000e+00	5.478527e+02
-1.504281     	0.000000e+00	5.482936e+02
-1.494281     	0.000000e+00	5.487326e+02
-1.484281     	0.000000e+00	5.491694e+02
-1.474281     	0.000000e+00	5.496042e+02
-1.464281     	0.000000e+00	5.500368e+02
-1.454281     	0.000000e+00	5.504673e+02
-1.444281     	0.000000e+00	5.508956e+02
-1.434281     	0.000000e+00	5.513218e+02
-1.424281     	0.000000e+00	5.517457e+02
-1.414281     	0.000000e+00	5.521675e+02
-1.404281     	0.000000e+00	5.525869e+02
-1.394281     	0.000000e+00	5.530042e+02
-1.384281     	0.000000e+00	5.534192e+02
-1.374281     	0.000000e+00	5.538318e+02
-1.364281     	0.000000e+00	5.542422e+02
-1.354281     	0.000000e+00	5.546503e+02
-1.344281     	0.000000e+00	5.550561e+02
-1.334281     	0.000000e+00	5.554595e+02
-1.324281     	0.000000e+00	5.558606e+02
-1.314281     	0.000000e+00	5.562594e+02
-1.304281     	0.000000e+00	5.566558e+02
-1.294281     	0.000000e+00	5.570499e+02
-1.284281     	0.000000e+00	5.574415e+02
-1.274281     	0.000000e+00	5.578309e+02
-1.264281     	0.000000e+00	5.582178e+02
-1.254281     	0.000000e+00	5.586024e+02
