# Region type : patch inlet
# Faces       : 7
# Area        : 1.231320e-05
# Scale factor: 1.000000e+00
# Time        	average(p_rgh)	average(U.liquid)
-1.9999       	1.645476e+05	(0.000000e+00 0.000000e+00 3.718104e+00)
-1.99979      	1.645476e+05	(0.000000e+00 0.000000e+00 3.708210e+00)
-1.99967      	1.645476e+05	(0.000000e+00 0.000000e+00 3.698127e+00)
-1.99954      	1.645476e+05	(0.000000e+00 0.000000e+00 3.686221e+00)
-1.99939      	1.645476e+05	(0.000000e+00 0.000000e+00 3.674227e+00)
-1.99923      	1.645476e+05	(0.000000e+00 0.000000e+00 3.660277e+00)
-1.99905      	1.645476e+05	(0.000000e+00 0.000000e+00 3.646094e+00)
-1.99886      	1.645476e+05	(0.000000e+00 0.000000e+00 3.629821e+00)
-1.99864      	1.645476e+05	(0.000000e+00 0.000000e+00 3.613160e+00)
-1.99841      	1.645476e+05	(0.000000e+00 0.000000e+00 3.594276e+00)
-1.99815      	1.645476e+05	(0.000000e+00 0.000000e+00 3.574846e+00)
-1.99786      	1.645476e+05	(0.000000e+00 0.000000e+00 3.553075e+00)
-1.99755      	1.645476e+05	(0.000000e+00 0.000000e+00 3.530602e+00)
-1.9972       	1.645476e+05	(0.000000e+00 0.000000e+00 3.505700e+00)
-1.99682      	1.645476e+05	(0.000000e+00 0.000000e+00 3.479945e+00)
-1.99641      	1.645476e+05	(0.000000e+00 0.000000e+00 3.451730e+00)
-1.99595      	1.645476e+05	(0.000000e+00 0.000000e+00 3.422512e+00)
-1.99544      	1.645476e+05	(0.000000e+00 0.000000e+00 3.390907e+00)
-1.99488      	1.645476e+05	(0.000000e+00 0.000000e+00 3.358120e+00)
-1.99427      	1.645476e+05	(0.000000e+00 0.000000e+00 3.323222e+00)
-1.9936       	1.645476e+05	(0.000000e+00 0.000000e+00 3.286943e+00)
-1.99286      	1.645476e+05	(0.000000e+00 0.000000e+00 3.248897e+00)
-1.99205      	1.645476e+05	(0.000000e+00 0.000000e+00 3.209433e+00)
-1.99115      	1.645476e+05	(0.000000e+00 0.000000e+00 3.168533e+00)
-1.99017      	1.645476e+05	(0.000000e+00 0.000000e+00 3.126401e+00)
-1.98908      	1.645476e+05	(0.000000e+00 0.000000e+00 3.083186e+00)
-1.98789      	1.645476e+05	(0.000000e+00 0.000000e+00 3.039090e+00)
-1.98658      	1.645476e+05	(0.000000e+00 0.000000e+00 2.994333e+00)
-1.98514      	1.645476e+05	(0.000000e+00 0.000000e+00 2.949161e+00)
-1.98355      	1.645476e+05	(0.000000e+00 0.000000e+00 2.903845e+00)
-1.98181      	1.645476e+05	(0.000000e+00 0.000000e+00 2.858661e+00)
-1.97989      	1.652595e+05	(0.000000e+00 0.000000e+00 2.814711e+00)
-1.97777      	1.784717e+05	(0.000000e+00 0.000000e+00 2.788580e+00)
-1.97545      	1.930052e+05	(0.000000e+00 0.000000e+00 2.784015e+00)
-1.9729       	2.089919e+05	(0.000000e+00 0.000000e+00 2.804623e+00)
-1.97009      	2.265774e+05	(0.000000e+00 0.000000e+00 2.854328e+00)
-1.967        	2.459214e+05	(0.000000e+00 0.000000e+00 2.937031e+00)
-1.9636       	2.671998e+05	(0.000000e+00 0.000000e+00 3.056333e+00)
-1.95986      	2.893554e+05	(0.000000e+00 0.000000e+00 3.212622e+00)
-1.95574      	2.795609e+05	(0.000000e+00 0.000000e+00 3.330820e+00)
-1.95121      	2.687870e+05	(0.000000e+00 0.000000e+00 3.408237e+00)
-1.94624      	2.569356e+05	(0.000000e+00 0.000000e+00 3.444384e+00)
-1.94076      	2.438992e+05	(0.000000e+00 0.000000e+00 3.439083e+00)
-1.93474      	2.418776e+05	(0.000000e+00 0.000000e+00 3.429931e+00)
-1.92811      	2.416099e+05	(0.000000e+00 0.000000e+00 3.423071e+00)
-1.92082      	2.413156e+05	(0.000000e+00 0.000000e+00 3.417707e+00)
-1.9128       	2.412567e+05	(0.000000e+00 0.000000e+00 3.414170e+00)
-1.90398      	2.412253e+05	(0.000000e+00 0.000000e+00 3.412009e+00)
-1.89428      	2.411218e+05	(0.000000e+00 0.000000e+00 3.410477e+00)
-1.88428      	2.409657e+05	(0.000000e+00 0.000000e+00 3.409048e+00)
-1.87428      	2.408496e+05	(0.000000e+00 0.000000e+00 3.407769e+00)
-1.86428      	2.407635e+05	(0.000000e+00 0.000000e+00 3.406618e+00)
-1.85428      	2.407018e+05	(0.000000e+00 0.000000e+00 3.405628e+00)
-1.84428      	2.406584e+05	(0.000000e+00 0.000000e+00 3.404770e+00)
-1.83428      	2.406327e+05	(0.000000e+00 0.000000e+00 3.404035e+00)
-1.82428      	2.406203e+05	(0.000000e+00 0.000000e+00 3.403414e+00)
-1.81428      	2.405296e+05	(0.000000e+00 0.000000e+00 3.402506e+00)
-1.804281     	2.403804e+05	(0.000000e+00 0.000000e+00 3.401148e+00)
-1.794281     	2.403263e+05	(0.000000e+00 0.000000e+00 3.399855e+00)
-1.784281     	2.403434e+05	(0.000000e+00 0.000000e+00 3.398896e+00)
-1.774281     	2.404430e+05	(0.000000e+00 0.000000e+00 3.398473e+00)
-1.764281     	2.406043e+05	(0.000000e+00 0.000000e+00 3.398649e+00)
-1.754281     	2.406104e+05	(0.000000e+00 0.000000e+00 3.398590e+00)
-1.744281     	2.405002e+05	(0.000000e+00 0.000000e+00 3.397904e+00)
-1.734281     	2.404689e+05	(0.000000e+00 0.000000e+00 3.397134e+00)
-1.724281     	2.404965e+05	(0.000000e+00 0.000000e+00 3.396561e+00)
-1.714281     	2.405253e+05	(0.000000e+00 0.000000e+00 3.396131e+00)
-1.704281     	2.405550e+05	(0.000000e+00 0.000000e+00 3.395812e+00)
-1.694281     	2.406464e+05	(0.000000e+00 0.000000e+00 3.395833e+00)
-1.684281     	2.407839e+05	(0.000000e+00 0.000000e+00 3.396284e+00)
-1.674281     	2.407828e+05	(0.000000e+00 0.000000e+00 3.396474e+00)
-1.664281     	2.406780e+05	(0.000000e+00 0.000000e+00 3.396084e+00)
-1.654281     	2.406430e+05	(0.000000e+00 0.000000e+00 3.395616e+00)
-1.644281     	2.406604e+05	(0.000000e+00 0.000000e+00 3.395326e+00)
-1.634281     	2.407320e+05	(0.000000e+00 0.000000e+00 3.395391e+00)
-1.624281     	2.408442e+05	(0.000000e+00 0.000000e+00 3.395870e+00)
-1.614281     	2.408277e+05	(0.000000e+00 0.000000e+00 3.396112e+00)
-1.604281     	2.407150e+05	(0.000000e+00 0.000000e+00 3.395816e+00)
-1.594281     	2.406684e+05	(0.000000e+00 0.000000e+00 3.395446e+00)
