# Region      : all fluidRegion
# Cells       : 406
# Volume      : 2.524205e-05
# Time        	max(p)	max(T.liquid)	max(T.vapour)	max(T.interface)	max(T.activeStructure)	max(T.passiveStructure)
-1.9999       	1.498813e+05	6.531502e+02	9.778737e+02	1.194365e+03	6.531717e+02	0.000000e+00
-1.99979      	1.770895e+05	6.531508e+02	1.085383e+03	1.213628e+03	6.531954e+02	0.000000e+00
-1.99967      	1.770443e+05	6.531514e+02	1.147110e+03	1.218235e+03	6.532213e+02	0.000000e+00
-1.99954      	1.771006e+05	6.531527e+02	1.180733e+03	1.219080e+03	6.532495e+02	0.000000e+00
-1.99939      	1.770494e+05	6.531543e+02	1.198747e+03	1.219208e+03	6.532802e+02	0.000000e+00
-1.99923      	1.770955e+05	6.531567e+02	1.208346e+03	1.219250e+03	6.533136e+02	0.000000e+00
-1.99905      	1.770534e+05	6.531596e+02	1.213451e+03	1.219239e+03	6.533499e+02	0.000000e+00
-1.99886      	1.770911e+05	6.531637e+02	1.216165e+03	1.219253e+03	6.533894e+02	0.000000e+00
-1.99864      	1.770564e+05	6.531686e+02	1.217607e+03	1.219240e+03	6.534322e+02	0.000000e+00
-1.99841      	1.770870e+05	6.531751e+02	1.218373e+03	1.219251e+03	6.534786e+02	0.000000e+00
-1.99815      	1.770587e+05	6.531827e+02	1.218780e+03	1.219241e+03	6.535288e+02	0.000000e+00
-1.99786      	1.770834e+05	6.531927e+02	1.218996e+03	1.219249e+03	6.535831e+02	0.000000e+00
-1.99755      	1.770605e+05	6.532042e+02	1.219124e+03	1.219242e+03	6.536417e+02	0.000000e+00
-1.9972       	1.770799e+05	6.532189e+02	1.219178e+03	1.219248e+03	6.537049e+02	0.000000e+00
-1.99682      	1.770618e+05	6.532358e+02	1.219211e+03	1.219242e+03	6.537730e+02	0.000000e+00
-1.99641      	1.770766e+05	6.532568e+02	1.219227e+03	1.219249e+03	6.538461e+02	0.000000e+00
