time(s);keff(-);power(W);flux0(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;

0.001;1;0;0;0;0;0;0;0;0;
0.002199279712;1;0;0;0;0;0;0;0;0;
0.003639107591;1;0;0;0;0;0;0;0;0;
0.005365902899;1;0;0;0;0;0;0;0;0;
0.007438057268;1;0;0;0;0;0;0;0;0;
0.009925681184;1;0;0;0;0;0;0;0;0;
0.01290783275;1;0;0;0;0;0;0;0;0;
0.01648425364;1;0;0;0;0;0;0;0;0;
0.02077908223;1;0;0;0;0;0;0;0;0;
0.02593287653;1;0;0;0;0;0;0;0;0;
0.03209785833;1;0;0;0;0;0;0;0;0;
0.03948642429;1;0;0;0;0;0;0;0;0;
0.04838006851;1;0;0;0;0;0;0;0;0;
0.05907242729;1;0;0;0;0;0;0;0;0;
0.0719618461;1;0;0;0;0;0;0;0;0;
0.08742914866;1;0;0;0;0;0;0;0;0;
0.1060530436;1;0;0;0;0;0;0;0;0;
0.1284017175;1;0;0;0;0;0;0;0;0;
0.1533045256;1;0;0;0;0;0;0;0;0;
0.1768238443;1;0;0;0;0;0;0;0;0;
0.1969013115;1;0;0;0;0;0;0;0;0;
0.2151535544;1;0;0;0;0;0;0;0;0;
0.231852415;1;0;0;0;0;0;0;0;0;
0.2475288963;1;0;0;0;0;0;0;0;0;
0.2622832317;1;0;0;0;0;0;0;0;0;
0.2764700926;1;0;0;0;0;0;0;0;0;
0.2898687946;1;0;0;0;0;0;0;0;0;
0.3030193725;1;0;0;0;0;0;0;0;0;
0.3156917475;1;0;0;0;0;0;0;0;0;
0.3279115377;1;0;0;0;0;0;0;0;0;
0.3399131174;1;0;0;0;0;0;0;0;0;
0.3517003832;1;0;0;0;0;0;0;0;0;
0.3632771621;1;0;0;0;0;0;0;0;0;
0.3746472127;1;0;0;0;0;0;0;0;0;
0.3858142268;1;0;0;0;0;0;0;0;0;
0.3967818299;1;0;0;0;0;0;0;0;0;
0.4075535829;1;0;0;0;0;0;0;0;0;
0.418325336;1;0;0;0;0;0;0;0;0;
0.4289012389;1;0;0;0;0;0;0;0;0;
0.4394771419;1;0;0;0;0;0;0;0;0;
0.4498571949;1;0;0;0;0;0;0;0;0;
0.4602372478;1;0;0;0;0;0;0;0;0;
0.4704214507;1;0;0;0;0;0;0;0;0;
0.4806056535;1;0;0;0;0;0;0;0;0;
0.4907898564;1;0;0;0;0;0;0;0;0;
