time(s);keff(-);power(W);flux0(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;

0.01;1;0.001;0.001;0;0;0;0;0;0;
0.021;1;0.001;0.001;0;0;0;0;0;0;
0.03302517956;1;0.001;0.001;0;0;0;0;0;0;
0.04507973233;1;0.001;0.001;0;0;0;0;0;0;
0.05712564587;1;0.001;0.001;0;0;0;0;0;0;
0.069167138;1;0.001;0.001;0;0;0;0;0;0;
0.0812070062;1;0.001;0.001;0;0;0;0;0;0;
0.09324598356;1;0.001;0.001;0;0;0;0;0;0;
0.1052842007;1;0.001;0.001;0;0;0;0;0;0;
0.1173218908;1;0.001;0.001;0;0;0;0;0;0;
0.1293593027;1;0.001;0.001;0;0;0;0;0;0;
0.141396534;1;0.001;0.001;0;0;0;0;0;0;
0.1534336094;1;0.001;0.001;0;0;0;0;0;0;
0.1654705337;1;0.001;0.001;0;0;0;0;0;0;
0.177507304;1;0.001;0.001;0;0;0;0;0;0;
0.189543931;1;0.001;0.001;0;0;0;0;0;0;
0.2015804304;1;0.001;0.001;0;0;0;0;0;0;
0.2136168165;1;0.001;0.001;0;0;0;0;0;0;
0.2256530942;1;0.001;0.001;0;0;0;0;0;0;
0.2376892632;1;0.001;0.001;0;0;0;0;0;0;
0.2497253246;1;0.001;0.001;0;0;0;0;0;0;
0.261761288;1;0.001;0.001;0;0;0;0;0;0;
0.2737971643;1;0.001;0.001;0;0;0;0;0;0;
0.2858329709;1;0.001;0.001;0;0;0;0;0;0;
0.2978687277;1;0.001;0.001;0;0;0;0;0;0;
0.3099044498;1;0.001;0.001;0;0;0;0;0;0;
0.3219401474;1;0.001;0.001;0;0;0;0;0;0;
0.3339758231;1;0.001;0.001;0;0;0;0;0;0;
0.3460114738;1;0.001;0.001;0;0;0;0;0;0;
0.3580470957;1;0.001;0.001;0;0;0;0;0;0;
0.3700826858;1;0.001;0.001;0;0;0;0;0;0;
0.3821182426;1;0.001;0.001;0;0;0;0;0;0;
0.3941537688;1;0.001;0.001;0;0;0;0;0;0;
0.4061892645;1;0.001;0.001;0;0;0;0;0;0;
0.4182247237;1;0.001;0.001;0;0;0;0;0;0;
0.4302601459;1;0.001;0.001;0;0;0;0;0;0;
0.4422955244;1;0.001;0.001;0;0;0;0;0;0;
0.4543308535;1;0.001;0.001;0;0;0;0;0;0;
0.4663661316;1;0.001;0.001;0;0;0;0;0;0;
0.478401356;1;0.001;0.001;0;0;0;0;0;0;
0.4904365263;1;0.001;0.001;0;0;0;0;0;0;
0.502471647;1;0.001;0.001;0;0;0;0;0;0;
0.5145067162;1;0.001;0.001;0;0;0;0;0;0;
0.526541736;1;0.001;0.001;0;0;0;0;0;0;
0.5385767053;1;0.001;0.001;0;0;0;0;0;0;
0.5506116235;1;0.001;0.001;0;0;0;0;0;0;
0.56264649;1;0.001;0.001;0;0;0;0;0;0;
0.5746813011;1;0.001;0.001;0;0;0;0;0;0;
0.5867160648;1;0.001;0.001;0;0;0;0;0;0;
0.5987507826;1;0.001;0.001;0;0;0;0;0;0;
0.6107854582;1;0.001;0.001;0;0;0;0;0;0;
0.6228200937;1;0.001;0.001;0;0;0;0;0;0;
0.6348546905;1;0.001;0.001;0;0;0;0;0;0;
0.6468892502;1;0.001;0.001;0;0;0;0;0;0;
0.6589237726;1;0.001;0.001;0;0;0;0;0;0;
0.670958272;1;0.001;0.001;0;0;0;0;0;0;
