time(s);keff(-);power(W);flux0;flux1;flux2;flux3;flux4;flux5(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;

5.5;0.578855;2e+07;1.5258e+17;3.6702e+17;7.1024e+17;3.9431e+17;2.8413e+17;7.1099e+16;0;0;0;0;0;0;
6;0.769272;2e+07;9.303e+16;3.4493e+17;7.4284e+17;4.4716e+17;3.4102e+17;5.2311e+16;0;0;0;0;0;0;
6.5;0.954088;2e+07;7.9154e+16;3.0219e+17;6.9057e+17;4.4506e+17;3.5994e+17;5.5416e+16;0;0;0;0;0;0;
7;1.05088;2e+07;7.3607e+16;2.8354e+17;6.6556e+17;4.3925e+17;3.6789e+17;5.7584e+16;0;0;0;0;0;0;
7.5;1.11219;2e+07;7.0547e+16;2.7346e+17;6.5179e+17;4.3696e+17;3.7192e+17;5.876e+16;0;0;0;0;0;0;
8;1.14891;2e+07;6.8839e+16;2.6777e+17;6.439e+17;4.3554e+17;3.742e+17;5.9446e+16;0;0;0;0;0;0;
8.5;1.1711;2e+07;6.7854e+16;2.6449e+17;6.3933e+17;4.3475e+17;3.7539e+17;5.9876e+16;0;0;0;0;0;0;
9;1.18643;2e+07;6.7169e+16;2.6216e+17;6.3608e+17;4.3417e+17;3.7642e+17;6.0127e+16;0;0;0;0;0;0;
9.5;1.19431;2e+07;6.6867e+16;2.6124e+17;6.3466e+17;4.3386e+17;3.768e+17;6.0259e+16;0;0;0;0;0;0;
10;1.1989;2e+07;6.6672e+16;2.6046e+17;6.3351e+17;4.336e+17;3.7712e+17;6.0361e+16;0;0;0;0;0;0;
10.5;1.20257;2e+07;6.6511e+16;2.5997e+17;6.3276e+17;4.3342e+17;3.7733e+17;6.0427e+16;0;0;0;0;0;0;
11;1.20488;2e+07;6.6403e+16;2.5961e+17;6.3219e+17;4.3325e+17;3.7749e+17;6.0482e+16;0;0;0;0;0;0;
11.5;1.20664;2e+07;6.6336e+16;2.5935e+17;6.3187e+17;4.3319e+17;3.7759e+17;6.0509e+16;0;0;0;0;0;0;
12;1.20756;2e+07;6.6281e+16;2.592e+17;6.3158e+17;4.3312e+17;3.7766e+17;6.0537e+16;0;0;0;0;0;0;
12.5;1.20846;2e+07;6.6247e+16;2.5906e+17;6.3141e+17;4.3308e+17;3.7772e+17;6.0551e+16;0;0;0;0;0;0;
13;1.20896;2e+07;6.6218e+16;2.5898e+17;6.3125e+17;4.3304e+17;3.7776e+17;6.0566e+16;0;0;0;0;0;0;
13.5;1.2095;2e+07;6.6197e+16;2.5891e+17;6.3115e+17;4.3303e+17;3.7778e+17;6.0574e+16;0;0;0;0;0;0;
14;1.20972;2e+07;6.6188e+16;2.5887e+17;6.3107e+17;4.33e+17;3.778e+17;6.0581e+16;0;0;0;0;0;0;
14.5;1.20996;2e+07;6.6174e+16;2.5883e+17;6.3101e+17;4.3299e+17;3.7782e+17;6.0586e+16;0;0;0;0;0;0;
15;1.21013;2e+07;6.6168e+16;2.588e+17;6.3098e+17;4.3298e+17;3.7783e+17;6.0589e+16;0;0;0;0;0;0;
15.5;1.21026;2e+07;6.6162e+16;2.5879e+17;6.3095e+17;4.3298e+17;3.7784e+17;6.0592e+16;0;0;0;0;0;0;
16;1.21031;2e+07;6.6159e+16;2.5878e+17;6.3093e+17;4.3297e+17;3.7784e+17;6.0593e+16;0;0;0;0;0;0;
16.5;1.2104;2e+07;6.6155e+16;2.5876e+17;6.3091e+17;4.3296e+17;3.7785e+17;6.0595e+16;0;0;0;0;0;0;
17;1.21044;2e+07;6.6153e+16;2.5875e+17;6.309e+17;4.3296e+17;3.7785e+17;6.0596e+16;0;0;0;0;0;0;
