time(s);keff(-);power(W);flux0;flux1;flux2;flux3;flux4;flux5(m-2s-1);TFuel_Max;Avg;Min;TCladding_Max;Avg;Min;

0.001;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.002199951992;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.003639825242;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.005367473988;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.007440795917;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.009928369013;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.01291286162;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.01649296724;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.02078909399;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.02594355663;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.032130194;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.03955600836;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.04846165287;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.05915612014;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.07153918751;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.08538317855;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.09814841705;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.1098194922;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.1207594934;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.1311629913;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.1411606032;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.1508203237;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.1601997815;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.1693487422;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.1782943926;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.1870611301;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.1956710386;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.2041592524;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.2124709348;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.2205853908;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.2284983289;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.2362192054;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.2437568332;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.2511080591;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.2582924645;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.2652964638;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.2721286479;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.2787970137;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.2853000481;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.2916455393;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.2978407425;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.303884649;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3097842914;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3155462272;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3211765802;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3266810784;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3320588907;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3373215075;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3424736385;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3475197125;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3524638999;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3573101315;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3620669858;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3667329144;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3713157701;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3758227655;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.380252054;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3846103068;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3888997024;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3931261921;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.3972877764;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4013900155;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4054380876;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4094298877;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4133736765;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4172672472;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4211118217;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4249117289;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4286710455;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4323875731;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4360651998;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4397047013;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4433096778;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4468779552;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4504129879;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4539153643;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4573883091;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4608322906;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4642451987;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4676326182;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4709924162;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4743274733;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4776381335;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4809247337;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4841876039;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4874270676;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4906457359;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4938438595;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.4970216847;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.5001794535;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.5033195935;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
0.5064401212;0.930537;1.8341;0.30568;0.30568;0.30568;0.30568;0.30568;0.30568;0;0;0;0;0;0;
