time;TMaxClad
0;668
5;694.0236
10;731.6069
15;739.4562
20;765.0978
25;795.4271
30;820.8497
35;841.2109
40;857.8321
45;871.0993
50;881.2525
55;888.9626
60;894.7612
65;899.106
70;902.4231
75;904.9678
80;906.8868
85;908.3405
90;909.4492
95;910.3176
100;911.0985
105;911.7087
110;912.1906
115;912.5759
120;912.8881
125;913.1436
130;913.3554
135;913.5326
140;913.6829
145;913.8117
150;913.9233
155;914.0206
160;914.1057
165;914.1808
170;914.2474
175;914.3069
180;914.3603
185;914.4081
190;914.4512
195;914.4901
200;914.5253
205;914.5571
210;914.5859
215;914.612
220;914.6358
225;914.6572
230;914.6767
235;914.6944
240;914.7104
245;914.7248
250;914.738
255;914.7498
260;914.7605
265;914.7702
270;914.779
275;914.7868
280;914.7939
285;914.8002
290;914.8059
295;914.8109
300;914.8155
305;914.8192
310;914.8229
315;914.826
320;914.8286
325;914.8309
330;914.833
335;914.8346
340;914.836
345;914.8372
350;914.838
355;914.8388
360;914.8393
365;914.8394
370;914.8394
375;914.8393
380;914.8391
385;914.8386
390;914.838
395;914.8373
400;914.8367
405;914.8359
410;914.8349
415;914.8339
420;914.8326
425;914.8311
430;914.8296
435;914.828
440;914.8262
445;914.8244
450;914.8225
455;914.8206
460;914.8186
465;914.8166
470;914.8147
475;914.8126
480;914.8106
485;914.8085
490;914.8065
495;914.8044
500;914.8023
505;914.8002
510;914.7981
515;914.7961
520;914.7941
525;914.792
530;914.7899
535;914.7879
540;914.7858
545;914.7837
550;914.7816
555;914.7795
560;914.7774
565;914.7754
570;914.7733
575;914.7711
580;914.769
585;914.7669
590;914.7649
595;914.7628
600;914.7607
605;914.7586
610;914.7565
615;914.7545
620;914.7525
625;914.7504
630;914.7483
635;914.7462
640;914.7441
645;914.742
650;914.74
655;914.7379
660;914.7357
665;914.7336
670;914.7315
675;914.7294
680;914.7274
685;914.7252
690;914.7231
695;914.721
700;914.7189
705;914.7169
710;914.7148
715;914.7127
720;914.7106
725;914.7085
730;914.7064
735;914.7043
740;914.7023
745;914.7001
750;914.698
755;914.6959
760;914.6938
765;914.6917
770;914.6897
775;914.6876
780;914.6855
785;914.6834
790;914.6813
795;914.6793
800;914.6772
805;914.6751
810;914.673
815;914.6709
820;914.6688
825;914.6667
830;914.6647
835;914.6626
840;914.6605
845;914.6584
850;914.6563
855;914.6542
860;914.6522
865;914.6501
870;914.648
875;914.6459
880;914.6438
885;914.6418
890;914.6397
895;914.6376
900;914.6355
905;914.6334
910;914.6313
915;914.6293
920;914.6272
925;914.6251
930;914.6231
935;914.621
940;914.6189
945;914.6168
950;914.6147
955;914.6127
960;914.6105
965;914.6085
970;914.6064
975;914.6043
980;914.6023
985;914.6002
990;914.5981
995;914.596
1000;914.5939
