time;TMaxFuel
0;668
5;928.4105
10;1463.558
15;1815.415
20;2030.629
25;2170.766
30;2266.37
35;2332.858
40;2379.484
45;2412.381
50;2435.775
55;2452.585
60;2465.499
65;2475.162
70;2482.428
75;2487.981
80;2492.299
85;2495.715
90;2498.464
95;2500.712
100;2502.578
105;2504.148
110;2505.485
115;2506.636
120;2507.636
125;2508.512
130;2509.285
135;2509.97
140;2510.581
145;2511.128
150;2511.62
155;2512.064
160;2512.464
165;2512.828
170;2513.158
175;2513.459
180;2513.733
185;2513.983
190;2514.212
195;2514.421
200;2514.613
205;2514.788
210;2514.949
215;2515.097
220;2515.231
225;2515.355
230;2515.468
235;2515.572
240;2515.668
245;2515.755
250;2515.836
255;2515.91
260;2515.978
265;2516.041
270;2516.099
275;2516.152
280;2516.201
285;2516.246
290;2516.287
295;2516.325
300;2516.361
305;2516.393
310;2516.423
315;2516.452
320;2516.476
325;2516.5
330;2516.522
335;2516.542
340;2516.56
345;2516.577
350;2516.592
355;2516.606
360;2516.618
365;2516.63
370;2516.64
375;2516.649
380;2516.658
385;2516.666
390;2516.673
395;2516.68
400;2516.686
405;2516.692
410;2516.694
415;2516.694
420;2516.697
425;2516.697
430;2516.696
435;2516.695
440;2516.693
445;2516.694
450;2516.694
455;2516.693
460;2516.691
465;2516.689
470;2516.688
475;2516.686
480;2516.687
485;2516.686
490;2516.684
495;2516.683
500;2516.681
505;2516.679
510;2516.677
515;2516.675
520;2516.673
525;2516.674
530;2516.673
535;2516.672
540;2516.67
545;2516.668
550;2516.666
555;2516.664
560;2516.662
565;2516.661
570;2516.659
575;2516.658
580;2516.657
585;2516.655
590;2516.654
595;2516.652
600;2516.651
605;2516.649
610;2516.647
615;2516.645
620;2516.644
625;2516.642
630;2516.64
635;2516.638
640;2516.636
645;2516.634
650;2516.632
655;2516.631
660;2516.63
665;2516.628
670;2516.626
675;2516.624
680;2516.622
685;2516.62
690;2516.618
695;2516.616
700;2516.614
705;2516.613
710;2516.611
715;2516.61
720;2516.608
725;2516.606
730;2516.604
735;2516.602
740;2516.6
745;2516.598
750;2516.596
755;2516.594
760;2516.593
765;2516.592
770;2516.59
775;2516.588
780;2516.586
785;2516.584
790;2516.582
795;2516.58
800;2516.578
805;2516.576
810;2516.575
815;2516.573
820;2516.571
825;2516.57
830;2516.568
835;2516.566
840;2516.564
845;2516.562
850;2516.56
855;2516.559
860;2516.557
865;2516.555
870;2516.553
875;2516.551
880;2516.549
885;2516.548
890;2516.546
895;2516.544
900;2516.542
905;2516.541
910;2516.539
915;2516.537
920;2516.535
925;2516.533
930;2516.531
935;2516.529
940;2516.527
945;2516.526
950;2516.524
955;2516.523
960;2516.521
965;2516.519
970;2516.517
975;2516.515
980;2516.513
985;2516.511
990;2516.509
995;2516.507
1000;2516.505
