time;Tav
0;668
5;675.1554
10;676.9573
15;680.0561
20;686.1006
25;692.6254
30;698.5536
35;703.4388
40;707.3322
45;710.3175
50;712.57
55;714.2393
60;715.4632
65;716.3513
70;716.9909
75;717.4482
80;717.7733
85;718.0034
90;718.1654
95;718.2791
100;718.3586
105;718.414
110;718.4525
115;718.479
120;718.4971
125;718.5093
130;718.5174
135;718.5225
140;718.5256
145;718.5272
150;718.5278
155;718.5276
160;718.5269
165;718.5258
170;718.5245
175;718.5229
180;718.5212
185;718.5194
190;718.5175
195;718.5155
200;718.5135
205;718.5115
210;718.5095
215;718.5074
220;718.5053
225;718.5032
230;718.5011
235;718.499
240;718.4969
245;718.4948
250;718.4927
255;718.4906
260;718.4885
265;718.4863
270;718.4842
275;718.4821
280;718.48
285;718.4779
290;718.4757
295;718.4736
300;718.4715
305;718.4694
310;718.4672
315;718.4651
320;718.463
325;718.4609
330;718.4587
335;718.4566
340;718.4545
345;718.4524
350;718.4502
355;718.4481
360;718.446
365;718.4439
370;718.4418
375;718.4396
380;718.4375
385;718.4354
390;718.4332
395;718.4312
400;718.429
405;718.4269
410;718.4248
415;718.4226
420;718.4205
425;718.4184
430;718.4163
435;718.4142
440;718.4121
445;718.41
450;718.4078
455;718.4058
460;718.4037
465;718.4016
470;718.3995
475;718.3974
480;718.3952
485;718.3931
490;718.391
495;718.3889
500;718.3868
505;718.3847
510;718.3827
515;718.3807
520;718.3786
525;718.3766
530;718.3745
535;718.3723
540;718.3702
545;718.3681
550;718.366
555;718.3639
560;718.3618
565;718.3598
570;718.3577
575;718.3556
580;718.3536
585;718.3515
590;718.3494
595;718.3473
600;718.3453
605;718.3433
610;718.3412
615;718.3391
620;718.3371
625;718.335
630;718.333
635;718.3309
640;718.3289
645;718.3268
650;718.3247
655;718.3227
660;718.3206
665;718.3186
670;718.3165
675;718.3145
680;718.3124
685;718.3103
690;718.3083
695;718.3063
700;718.3042
705;718.3021
710;718.3
715;718.298
720;718.2959
725;718.2939
730;718.2919
735;718.2898
740;718.2877
745;718.2857
750;718.2836
755;718.2816
760;718.2795
765;718.2775
770;718.2754
775;718.2733
780;718.2713
785;718.2693
790;718.2672
795;718.2651
800;718.2631
805;718.261
810;718.259
815;718.2569
820;718.2549
825;718.2528
830;718.2507
835;718.2487
840;718.2466
845;718.2446
850;718.2426
855;718.2405
860;718.2384
865;718.2364
870;718.2343
875;718.2323
880;718.2302
885;718.2281
890;718.2261
895;718.224
900;718.222
905;718.22
910;718.2179
915;718.2158
920;718.2137
925;718.2117
930;718.2097
935;718.2076
940;718.2056
945;718.2035
950;718.2014
955;718.1994
960;718.1973
965;718.1953
970;718.1932
975;718.1912
980;718.1891
985;718.187
990;718.185
995;718.183
1000;718.1809
