time;TavClad
0;668
5;922.7017
10;690.3918
15;714.2943
20;720.3925
25;732.8842
30;746.2349
35;756.1307
40;763.2401
45;768.267
50;771.7891
55;774.2255
60;775.9039
65;777.0548
70;777.8422
75;778.3804
80;778.7482
85;778.9997
90;779.1719
95;779.2901
100;779.3713
105;779.4272
110;779.4657
115;779.4922
120;779.5102
125;779.5224
130;779.5306
135;779.5358
140;779.539
145;779.5408
150;779.5415
155;779.5414
160;779.5408
165;779.5397
170;779.5384
175;779.5368
180;779.5351
185;779.5332
190;779.5313
195;779.5293
200;779.5273
205;779.5252
210;779.5231
215;779.521
220;779.5189
225;779.5168
230;779.5146
235;779.5125
240;779.5103
245;779.5081
250;779.506
255;779.5038
260;779.5017
265;779.4995
270;779.4973
275;779.4952
280;779.493
285;779.4908
290;779.4887
295;779.4866
300;779.4844
305;779.4822
310;779.4801
315;779.478
320;779.4758
325;779.4737
330;779.4715
335;779.4694
340;779.4672
345;779.4651
350;779.463
355;779.4609
360;779.4588
365;779.4566
370;779.4544
375;779.4523
380;779.4502
385;779.448
390;779.4459
395;779.4437
400;779.4416
405;779.4395
410;779.4374
415;779.4353
420;779.4331
425;779.4309
430;779.4288
435;779.4267
440;779.4245
445;779.4224
450;779.4202
455;779.4181
460;779.416
465;779.4139
470;779.4119
475;779.4098
480;779.4076
485;779.4055
490;779.4033
495;779.4012
500;779.3991
505;779.397
510;779.3949
515;779.3928
520;779.3908
525;779.3888
530;779.3867
535;779.3846
540;779.3824
545;779.3802
550;779.3781
555;779.376
560;779.3738
565;779.3718
570;779.3697
575;779.3676
580;779.3655
585;779.3634
590;779.3614
595;779.3593
600;779.3572
605;779.3551
610;779.353
615;779.351
620;779.349
625;779.3469
630;779.3448
635;779.3428
640;779.3407
645;779.3386
650;779.3366
655;779.3345
660;779.3324
665;779.3303
670;779.3283
675;779.3262
680;779.3242
685;779.3221
690;779.3201
695;779.318
700;779.3159
705;779.3138
710;779.3118
715;779.3097
720;779.3077
725;779.3056
730;779.3035
735;779.3014
740;779.2994
745;779.2973
750;779.2953
755;779.2932
760;779.2911
765;779.2891
770;779.287
775;779.285
780;779.2829
785;779.2808
790;779.2787
795;779.2766
800;779.2746
805;779.2726
810;779.2705
815;779.2685
820;779.2664
825;779.2643
830;779.2623
835;779.2602
840;779.2581
845;779.2561
850;779.254
855;779.2519
860;779.2499
865;779.2478
870;779.2458
875;779.2437
880;779.2416
885;779.2395
890;779.2375
895;779.2355
900;779.2334
905;779.2313
910;779.2292
915;779.2271
920;779.2251
925;779.2231
930;779.221
935;779.219
940;779.2169
945;779.2148
950;779.2128
955;779.2107
960;779.2086
965;779.2066
970;779.2045
975;779.2024
980;779.2004
985;779.1983
990;779.1963
995;779.1942
1000;779.1921
