time;TavFuel
0;668
5;906.2603
10;974.1433
15;1179.327
20;1302.71
25;1359.682
30;1392.533
35;1414.4
40;1429.531
45;1440.202
50;1447.757
55;1453.097
60;1456.849
65;1459.469
70;1461.289
75;1462.546
80;1463.411
85;1464.005
90;1464.413
95;1464.691
100;1464.882
105;1465.013
110;1465.103
115;1465.165
120;1465.208
125;1465.238
130;1465.258
135;1465.272
140;1465.282
145;1465.288
150;1465.293
155;1465.296
160;1465.298
165;1465.299
170;1465.299
175;1465.299
180;1465.298
185;1465.298
190;1465.297
195;1465.296
200;1465.294
205;1465.293
210;1465.292
215;1465.29
220;1465.289
225;1465.287
230;1465.286
235;1465.284
240;1465.283
245;1465.281
250;1465.279
255;1465.278
260;1465.276
265;1465.274
270;1465.273
275;1465.271
280;1465.269
285;1465.267
290;1465.265
295;1465.264
300;1465.262
305;1465.26
310;1465.258
315;1465.256
320;1465.255
325;1465.253
330;1465.251
335;1465.249
340;1465.247
345;1465.245
350;1465.243
355;1465.241
360;1465.239
365;1465.237
370;1465.235
375;1465.234
380;1465.232
385;1465.23
390;1465.228
395;1465.226
400;1465.224
405;1465.222
410;1465.22
415;1465.218
420;1465.216
425;1465.214
430;1465.212
435;1465.21
440;1465.208
445;1465.206
450;1465.204
455;1465.202
460;1465.2
465;1465.198
470;1465.196
475;1465.194
480;1465.192
485;1465.19
490;1465.188
495;1465.186
500;1465.184
505;1465.182
510;1465.18
515;1465.178
520;1465.176
525;1465.174
530;1465.172
535;1465.17
540;1465.168
545;1465.166
550;1465.164
555;1465.162
560;1465.16
565;1465.158
570;1465.156
575;1465.154
580;1465.152
585;1465.15
590;1465.148
595;1465.146
600;1465.144
605;1465.142
610;1465.14
615;1465.138
620;1465.136
625;1465.134
630;1465.132
635;1465.13
640;1465.128
645;1465.126
650;1465.124
655;1465.122
660;1465.12
665;1465.118
670;1465.116
675;1465.114
680;1465.112
685;1465.11
690;1465.108
695;1465.106
700;1465.104
705;1465.102
710;1465.1
715;1465.098
720;1465.096
725;1465.094
730;1465.092
735;1465.09
740;1465.088
745;1465.086
750;1465.084
755;1465.082
760;1465.08
765;1465.078
770;1465.076
775;1465.074
780;1465.072
785;1465.07
790;1465.068
795;1465.066
800;1465.064
805;1465.062
810;1465.06
815;1465.059
820;1465.056
825;1465.054
830;1465.053
835;1465.051
840;1465.049
845;1465.047
850;1465.045
855;1465.043
860;1465.041
865;1465.039
870;1465.037
875;1465.035
880;1465.032
885;1465.03
890;1465.029
895;1465.027
900;1465.025
905;1465.023
910;1465.021
915;1465.019
920;1465.017
925;1465.015
930;1465.013
935;1465.011
940;1465.009
945;1465.007
950;1465.005
955;1465.003
960;1465.001
965;1464.999
970;1464.997
975;1464.995
980;1464.993
985;1464.991
990;1464.989
995;1464.987
1000;1464.985
