time;Tmax
0;668
5;707.0239
10;714.6063
15;731.6433
20;762.0126
25;788.7486
30;810.1259
35;827.1015
40;840.5143
45;850.8402
50;858.7265
55;864.6864
60;869.1705
65;872.5724
70;875.2028
75;877.1887
80;878.6926
85;879.8377
90;880.7175
95;881.3982
100;881.9305
105;882.3514
110;882.6887
115;882.9627
120;883.1873
125;883.3738
130;883.53
135;883.6627
140;883.7767
145;883.8756
150;883.9619
155;884.0372
160;884.1039
165;884.1629
170;884.2157
175;884.263
180;884.3054
185;884.3436
190;884.3781
195;884.4092
200;884.4373
205;884.4628
210;884.4858
215;884.5068
220;884.5257
225;884.5428
230;884.5583
235;884.5723
240;884.5849
245;884.5964
250;884.6067
255;884.616
260;884.6244
265;884.632
270;884.6387
275;884.6448
280;884.6502
285;884.6551
290;884.6593
295;884.6631
300;884.6662
305;884.6693
310;884.6718
315;884.6738
320;884.6757
325;884.6773
330;884.6785
335;884.6796
340;884.6804
345;884.6809
350;884.6814
355;884.6815
360;884.6814
365;884.6812
370;884.6808
375;884.6804
380;884.6797
385;884.6789
390;884.6781
395;884.6773
400;884.6763
405;884.6752
410;884.6741
415;884.6727
420;884.6712
425;884.6696
430;884.6679
435;884.6661
440;884.6642
445;884.6623
450;884.6604
455;884.6583
460;884.6563
465;884.6543
470;884.6523
475;884.6503
480;884.6482
485;884.6461
490;884.644
495;884.6419
500;884.6398
505;884.6377
510;884.6357
515;884.6336
520;884.6315
525;884.6294
530;884.6274
535;884.6253
540;884.6232
545;884.6211
550;884.619
555;884.6169
560;884.6148
565;884.6127
570;884.6106
575;884.6084
580;884.6063
585;884.6043
590;884.6022
595;884.6001
600;884.598
605;884.5959
610;884.5938
615;884.5918
620;884.5897
625;884.5876
630;884.5855
635;884.5834
640;884.5814
645;884.5793
650;884.5772
655;884.575
660;884.5729
665;884.5708
670;884.5687
675;884.5667
680;884.5645
685;884.5624
690;884.5603
695;884.5582
700;884.5561
705;884.554
710;884.5519
715;884.5498
720;884.5477
725;884.5456
730;884.5435
735;884.5415
740;884.5394
745;884.5373
750;884.5352
755;884.533
760;884.531
765;884.5289
770;884.5269
775;884.5247
780;884.5226
785;884.5205
790;884.5185
795;884.5164
800;884.5143
805;884.5122
810;884.5101
815;884.508
820;884.5059
825;884.5039
830;884.5018
835;884.4997
840;884.4975
845;884.4954
850;884.4934
855;884.4913
860;884.4892
865;884.4871
870;884.4851
875;884.483
880;884.4809
885;884.4788
890;884.4768
895;884.4746
900;884.4725
905;884.4704
910;884.4683
915;884.4663
920;884.4642
925;884.4621
930;884.46
935;884.4579
940;884.4559
945;884.4538
950;884.4517
955;884.4496
960;884.4475
965;884.4454
970;884.4433
975;884.4413
980;884.4392
985;884.4371
990;884.435
995;884.4329
1000;884.4309
