time;Tmin
0;668
5;667.9997
10;667.9941
15;667.9547
20;667.8797
25;667.828
30;667.8166
35;667.8282
40;667.8446
45;667.857
50;667.866
55;667.8745
60;667.8856
65;667.8988
70;667.9126
75;667.9251
80;667.9362
85;667.9455
90;667.953
95;667.9559
100;667.9543
105;667.9525
110;667.9504
115;667.9478
120;667.9461
125;667.9436
130;667.9414
135;667.9395
140;667.9375
145;667.9354
150;667.9334
155;667.9309
160;667.9291
165;667.9265
170;667.9242
175;667.9225
180;667.9202
185;667.9179
190;667.916
195;667.9139
200;667.9119
205;667.9094
210;667.9071
215;667.9049
220;667.903
225;667.9009
230;667.8985
235;667.8964
240;667.8941
245;667.8917
250;667.8892
255;667.8866
260;667.8847
265;667.8829
270;667.8809
275;667.879
280;667.8766
285;667.8748
290;667.8726
295;667.8704
300;667.8682
305;667.8661
310;667.864
315;667.862
320;667.8601
325;667.8579
330;667.8557
335;667.8536
340;667.8509
345;667.8492
350;667.8471
355;667.8449
360;667.8431
365;667.8409
370;667.8388
375;667.8367
380;667.8345
385;667.8322
390;667.8295
395;667.8277
400;667.8263
405;667.8239
410;667.8222
415;667.82
420;667.8181
425;667.8161
430;667.814
435;667.812
440;667.8095
445;667.8077
450;667.8057
455;667.8035
460;667.8014
465;667.7994
470;667.7973
475;667.7952
480;667.7931
485;667.7911
490;667.7888
495;667.7868
500;667.7849
505;667.7828
510;667.7804
515;667.7787
520;667.7768
525;667.7748
530;667.7725
535;667.7704
540;667.7685
545;667.7665
550;667.7646
555;667.7623
560;667.7602
565;667.7583
570;667.7564
575;667.7545
580;667.7522
585;667.7503
590;667.7483
595;667.7465
600;667.7446
605;667.7426
610;667.7403
615;667.7382
620;667.7363
625;667.7344
630;667.7324
635;667.7305
640;667.7281
645;667.7261
650;667.7241
655;667.7222
660;667.7201
665;667.718
670;667.7156
675;667.7136
680;667.711
685;667.7093
690;667.7075
695;667.7053
700;667.7029
705;667.7009
710;667.699
715;667.6969
720;667.6947
725;667.6927
730;667.6903
735;667.6885
740;667.6855
745;667.6838
750;667.6821
755;667.6799
760;667.6775
765;667.6755
770;667.6739
775;667.6715
780;667.6692
785;667.6673
790;667.6649
795;667.6631
800;667.6601
805;667.6584
810;667.6567
815;667.6545
820;667.652
825;667.65
830;667.6484
835;667.6461
840;667.6438
845;667.6419
850;667.6395
855;667.6377
860;667.6346
865;667.633
870;667.6313
875;667.6291
880;667.6266
885;667.6246
890;667.6231
895;667.6207
900;667.6185
905;667.6165
910;667.6141
915;667.6123
920;667.6093
925;667.6076
930;667.6059
935;667.6038
940;667.6013
945;667.5993
950;667.5978
955;667.5954
960;667.5932
965;667.5912
970;667.5888
975;667.587
980;667.584
985;667.5824
990;667.5807
995;667.5785
1000;667.5761
