time;flux0
0;108.0672
5;1.153477e+08
10;1.119134e+08
15;1.105011e+08
20;1.098597e+08
25;1.095679e+08
30;1.094425e+08
35;1.093923e+08
40;1.09376e+08
45;1.093739e+08
50;1.093769e+08
55;1.093808e+08
60;1.093839e+08
65;1.093861e+08
70;1.093873e+08
75;1.093874e+08
80;1.093868e+08
85;1.093855e+08
90;1.093837e+08
95;1.093817e+08
100;1.093795e+08
105;1.093773e+08
110;1.09375e+08
115;1.093729e+08
120;1.093707e+08
125;1.093687e+08
130;1.093667e+08
135;1.09365e+08
140;1.093632e+08
145;1.093616e+08
150;1.093602e+08
155;1.093588e+08
160;1.093575e+08
165;1.093563e+08
170;1.093552e+08
175;1.093542e+08
180;1.093533e+08
185;1.093524e+08
190;1.093516e+08
195;1.093509e+08
200;1.093502e+08
205;1.093496e+08
210;1.09349e+08
215;1.093485e+08
220;1.093479e+08
225;1.093475e+08
230;1.093471e+08
235;1.093467e+08
240;1.093463e+08
245;1.09346e+08
250;1.093456e+08
255;1.093454e+08
260;1.093451e+08
265;1.093448e+08
270;1.093446e+08
275;1.093444e+08
280;1.093442e+08
285;1.09344e+08
290;1.093438e+08
295;1.093437e+08
300;1.093435e+08
305;1.093434e+08
310;1.093432e+08
315;1.093431e+08
320;1.09343e+08
325;1.093429e+08
330;1.093428e+08
335;1.093427e+08
340;1.093426e+08
345;1.093425e+08
350;1.093424e+08
355;1.093424e+08
360;1.093423e+08
365;1.093422e+08
370;1.093422e+08
375;1.093421e+08
380;1.093421e+08
385;1.09342e+08
390;1.093419e+08
395;1.093419e+08
400;1.093418e+08
405;1.093418e+08
410;1.093418e+08
415;1.093418e+08
420;1.093417e+08
425;1.093417e+08
430;1.093417e+08
435;1.093417e+08
440;1.093416e+08
445;1.093416e+08
450;1.093416e+08
455;1.093416e+08
460;1.093416e+08
465;1.093416e+08
470;1.093415e+08
475;1.093415e+08
480;1.093415e+08
485;1.093414e+08
490;1.093414e+08
495;1.093414e+08
500;1.093414e+08
505;1.093414e+08
510;1.093414e+08
515;1.093414e+08
520;1.093413e+08
525;1.093413e+08
530;1.093413e+08
535;1.093413e+08
540;1.093413e+08
545;1.093412e+08
550;1.093412e+08
555;1.093412e+08
560;1.093412e+08
565;1.093412e+08
570;1.093412e+08
575;1.093411e+08
580;1.093411e+08
585;1.093411e+08
590;1.093411e+08
595;1.093411e+08
600;1.093411e+08
605;1.093411e+08
610;1.093411e+08
615;1.09341e+08
620;1.09341e+08
625;1.09341e+08
630;1.09341e+08
635;1.09341e+08
640;1.09341e+08
645;1.09341e+08
650;1.093409e+08
655;1.093409e+08
660;1.093409e+08
665;1.093409e+08
670;1.093409e+08
675;1.093409e+08
680;1.093409e+08
685;1.093409e+08
690;1.093409e+08
695;1.093409e+08
700;1.093408e+08
705;1.093408e+08
710;1.093408e+08
715;1.093408e+08
720;1.093408e+08
725;1.093408e+08
730;1.093408e+08
735;1.093408e+08
740;1.093408e+08
745;1.093407e+08
750;1.093407e+08
755;1.093407e+08
760;1.093407e+08
765;1.093407e+08
770;1.093407e+08
775;1.093407e+08
780;1.093407e+08
785;1.093406e+08
790;1.093406e+08
795;1.093406e+08
800;1.093406e+08
805;1.093406e+08
810;1.093406e+08
815;1.093406e+08
820;1.093406e+08
825;1.093406e+08
830;1.093405e+08
835;1.093405e+08
840;1.093405e+08
845;1.093405e+08
850;1.093405e+08
855;1.093405e+08
860;1.093405e+08
865;1.093405e+08
870;1.093405e+08
875;1.093405e+08
880;1.093404e+08
885;1.093404e+08
890;1.093404e+08
895;1.093404e+08
900;1.093404e+08
905;1.093404e+08
910;1.093404e+08
915;1.093404e+08
920;1.093404e+08
925;1.093403e+08
930;1.093403e+08
935;1.093403e+08
940;1.093403e+08
945;1.093403e+08
950;1.093403e+08
955;1.093403e+08
960;1.093403e+08
965;1.093403e+08
970;1.093402e+08
975;1.093402e+08
980;1.093402e+08
985;1.093402e+08
990;1.093402e+08
995;1.093402e+08
1000;1.093402e+08
