time;k_eff
0;1
5;0.9800301
10;0.9951568
15;1.003038
20;1.007107
25;1.009127
30;1.010181
35;1.010755
40;1.011079
45;1.011268
50;1.011383
55;1.011457
60;1.011506
65;1.01154
70;1.011565
75;1.011584
80;1.011599
85;1.01161
90;1.011619
95;1.011627
100;1.011633
105;1.011639
110;1.011643
115;1.011647
120;1.01165
125;1.011653
130;1.011656
135;1.011658
140;1.01166
145;1.011662
150;1.011664
155;1.011665
160;1.011666
165;1.011667
170;1.011669
175;1.011669
180;1.01167
185;1.011671
190;1.011672
195;1.011673
200;1.011673
205;1.011674
210;1.011674
215;1.011675
220;1.011675
225;1.011676
230;1.011676
235;1.011676
240;1.011677
245;1.011677
250;1.011677
255;1.011678
260;1.011678
265;1.011678
270;1.011678
275;1.011679
280;1.011679
285;1.011679
290;1.011679
295;1.01168
300;1.01168
305;1.01168
310;1.01168
315;1.01168
320;1.01168
325;1.011681
330;1.011681
335;1.011681
340;1.011681
345;1.011681
350;1.011681
355;1.011681
360;1.011681
365;1.011681
370;1.011682
375;1.011682
380;1.011682
385;1.011682
390;1.011682
395;1.011682
400;1.011682
405;1.011682
410;1.011682
415;1.011682
420;1.011682
425;1.011682
430;1.011682
435;1.011682
440;1.011682
445;1.011682
450;1.011682
455;1.011682
460;1.011682
465;1.011682
470;1.011682
475;1.011682
480;1.011682
485;1.011682
490;1.011682
495;1.011682
500;1.011682
505;1.011682
510;1.011682
515;1.011682
520;1.011683
525;1.011683
530;1.011683
535;1.011683
540;1.011683
545;1.011683
550;1.011683
555;1.011683
560;1.011683
565;1.011683
570;1.011683
575;1.011683
580;1.011683
585;1.011683
590;1.011683
595;1.011683
600;1.011683
605;1.011683
610;1.011683
615;1.011683
620;1.011683
625;1.011683
630;1.011683
635;1.011683
640;1.011683
645;1.011683
650;1.011683
655;1.011683
660;1.011683
665;1.011683
670;1.011683
675;1.011683
680;1.011683
685;1.011683
690;1.011683
695;1.011683
700;1.011683
705;1.011683
710;1.011683
715;1.011683
720;1.011683
725;1.011683
730;1.011683
735;1.011683
740;1.011683
745;1.011683
750;1.011683
755;1.011684
760;1.011684
765;1.011684
770;1.011684
775;1.011684
780;1.011684
785;1.011684
790;1.011684
795;1.011684
800;1.011684
805;1.011684
810;1.011684
815;1.011684
820;1.011684
825;1.011684
830;1.011684
835;1.011684
840;1.011684
845;1.011684
850;1.011684
855;1.011684
860;1.011684
865;1.011684
870;1.011684
875;1.011684
880;1.011684
885;1.011684
890;1.011684
895;1.011684
900;1.011684
905;1.011684
910;1.011684
915;1.011684
920;1.011684
925;1.011684
930;1.011684
935;1.011684
940;1.011684
945;1.011684
950;1.011685
955;1.011685
960;1.011685
965;1.011685
970;1.011685
975;1.011685
980;1.011685
985;1.011685
990;1.011685
995;1.011685
1000;1.011685
