time;power
0;1
5;3.528108e+09
10;3.655566e+09
15;3.628509e+09
20;3.614605e+09
25;3.607219e+09
30;3.60376e+09
35;3.602049e+09
40;3.601152e+09
45;3.600674e+09
50;3.60041e+09
55;3.600262e+09
60;3.600175e+09
65;3.600122e+09
70;3.600089e+09
75;3.600067e+09
80;3.600052e+09
85;3.600041e+09
90;3.600033e+09
95;3.600027e+09
100;3.600023e+09
105;3.600019e+09
110;3.600016e+09
115;3.600014e+09
120;3.600012e+09
125;3.60001e+09
130;3.600009e+09
135;3.600008e+09
140;3.600007e+09
145;3.600006e+09
150;3.600006e+09
155;3.600005e+09
160;3.600005e+09
165;3.600004e+09
170;3.600004e+09
175;3.600003e+09
180;3.600003e+09
185;3.600003e+09
190;3.600003e+09
195;3.600002e+09
200;3.600002e+09
205;3.600002e+09
210;3.600002e+09
215;3.600002e+09
220;3.600002e+09
225;3.600001e+09
230;3.600002e+09
235;3.600001e+09
240;3.600001e+09
245;3.600001e+09
250;3.600001e+09
255;3.600001e+09
260;3.600001e+09
265;3.600001e+09
270;3.600001e+09
275;3.600001e+09
280;3.600001e+09
285;3.600001e+09
290;3.600001e+09
295;3.600001e+09
300;3.6e+09
305;3.6e+09
310;3.600002e+09
315;3.599999e+09
320;3.600001e+09
325;3.6e+09
330;3.6e+09
335;3.6e+09
340;3.600001e+09
345;3.6e+09
350;3.600001e+09
355;3.6e+09
360;3.6e+09
365;3.600001e+09
370;3.6e+09
375;3.6e+09
380;3.6e+09
385;3.6e+09
390;3.6e+09
395;3.6e+09
400;3.6e+09
405;3.6e+09
410;3.6e+09
415;3.600001e+09
420;3.6e+09
425;3.6e+09
430;3.6e+09
435;3.6e+09
440;3.600001e+09
445;3.6e+09
450;3.6e+09
455;3.6e+09
460;3.6e+09
465;3.6e+09
470;3.6e+09
475;3.600001e+09
480;3.6e+09
485;3.6e+09
490;3.6e+09
495;3.6e+09
500;3.6e+09
505;3.6e+09
510;3.6e+09
515;3.6e+09
520;3.600002e+09
525;3.6e+09
530;3.6e+09
535;3.6e+09
540;3.6e+09
545;3.6e+09
550;3.6e+09
555;3.6e+09
560;3.6e+09
565;3.6e+09
570;3.600001e+09
575;3.6e+09
580;3.6e+09
585;3.6e+09
590;3.6e+09
595;3.6e+09
600;3.6e+09
605;3.6e+09
610;3.6e+09
615;3.6e+09
620;3.6e+09
625;3.6e+09
630;3.6e+09
635;3.6e+09
640;3.6e+09
645;3.6e+09
650;3.600001e+09
655;3.6e+09
660;3.6e+09
665;3.6e+09
670;3.6e+09
675;3.6e+09
680;3.6e+09
685;3.6e+09
690;3.6e+09
695;3.6e+09
700;3.6e+09
705;3.600001e+09
710;3.6e+09
715;3.6e+09
720;3.6e+09
725;3.6e+09
730;3.6e+09
735;3.6e+09
740;3.6e+09
745;3.6e+09
750;3.6e+09
755;3.600001e+09
760;3.6e+09
765;3.6e+09
770;3.6e+09
775;3.6e+09
780;3.6e+09
785;3.6e+09
790;3.6e+09
795;3.6e+09
800;3.6e+09
805;3.600001e+09
810;3.6e+09
815;3.6e+09
820;3.6e+09
825;3.6e+09
830;3.6e+09
835;3.6e+09
840;3.6e+09
845;3.6e+09
850;3.600001e+09
855;3.6e+09
860;3.6e+09
865;3.6e+09
870;3.6e+09
875;3.6e+09
880;3.6e+09
885;3.6e+09
890;3.6e+09
895;3.6e+09
900;3.600001e+09
905;3.6e+09
910;3.6e+09
915;3.6e+09
920;3.6e+09
925;3.6e+09
930;3.6e+09
935;3.6e+09
940;3.6e+09
945;3.6e+09
950;3.600001e+09
955;3.6e+09
960;3.6e+09
965;3.6e+09
970;3.6e+09
975;3.6e+09
980;3.6e+09
985;3.6e+09
990;3.6e+09
995;3.6e+09
1000;3.6e+09
