time;prec0;prec1;prec2;prec3;prec4;prec5;prec6;prec7
0;0;0;0;0;0;0;0;0
5;326929.9;1311557;351233.5;266860.3;259035.5;50637.66;17392.73;3885.163
10;333055.5;1336131;357814.4;271860.3;263889;51586.43;17718.61;3957.958
15;328250.3;1316854;352652;267938.1;260081.7;50842.17;17462.98;3900.855
20;325830.1;1307144;350051.9;265962.5;258164.1;50467.3;17334.22;3872.093
25;324567.9;1302081;348695.8;264932.2;257164;50271.8;17267.07;3857.093
30;323944.6;1299580;348026.2;264423.4;256670.1;50175.26;17233.91;3849.686
35;323622.7;1298289;347680.3;264160.7;256415.1;50125.4;17216.78;3845.86
40;323449.1;1297592;347493.8;264019;256277.5;50098.51;17207.55;3843.797
45;323352.8;1297206;347390.4;263940.4;256201.2;50083.59;17202.42;3842.653
50;323297.3;1296983;347330.7;263895;256157.2;50074.99;17199.47;3841.993
55;323264;1296850;347295;263867.9;256130.9;50069.84;17197.7;3841.597
60;323242.9;1296765;347272.4;263850.7;256114.2;50066.58;17196.58;3841.348
65;323229;1296709;347257.4;263839.3;256103.2;50064.42;17195.84;3841.182
70;323219.3;1296670;347247;263831.4;256095.5;50062.92;17195.32;3841.067
75;323212.2;1296642;347239.4;263825.7;256089.9;50061.83;17194.95;3840.983
80;323206.9;1296621;347233.7;263821.3;256085.7;50061;17194.66;3840.92
85;323202.8;1296604;347229.2;263817.9;256082.4;50060.36;17194.44;3840.87
90;323199.5;1296591;347225.7;263815.2;256079.8;50059.85;17194.27;3840.831
95;323196.8;1296580;347222.9;263813.1;256077.7;50059.44;17194.13;3840.8
100;323194.7;1296572;347220.5;263811.3;256076;50059.11;17194.01;3840.774
105;323192.9;1296564;347218.6;263809.9;256074.5;50058.83;17193.92;3840.753
110;323191.4;1296558;347217;263808.6;256073.4;50058.6;17193.84;3840.735
115;323190.2;1296553;347215.7;263807.6;256072.4;50058.41;17193.77;3840.72
120;323189.1;1296549;347214.5;263806.8;256071.5;50058.24;17193.72;3840.708
125;323188.2;1296546;347213.6;263806;256070.8;50058.1;17193.67;3840.697
130;323187.4;1296542;347212.7;263805.4;256070.2;50057.98;17193.63;3840.688
135;323186.7;1296540;347212;263804.8;256069.7;50057.87;17193.59;3840.68
140;323186.1;1296537;347211.3;263804.3;256069.2;50057.78;17193.56;3840.673
145;323185.6;1296535;347210.8;263803.9;256068.8;50057.7;17193.53;3840.666
150;323185.1;1296533;347210.3;263803.5;256068.4;50057.63;17193.51;3840.661
155;323184.7;1296532;347209.8;263803.2;256068.1;50057.56;17193.48;3840.656
160;323184.3;1296530;347209.4;263802.9;256067.8;50057.51;17193.46;3840.651
165;323184;1296529;347209.1;263802.6;256067.5;50057.46;17193.45;3840.648
170;323183.7;1296528;347208.7;263802.4;256067.3;50057.41;17193.43;3840.644
175;323183.4;1296526;347208.5;263802.1;256067.1;50057.36;17193.42;3840.641
180;323183.2;1296526;347208.2;263801.9;256066.9;50057.33;17193.4;3840.638
185;323182.9;1296525;347207.9;263801.7;256066.7;50057.29;17193.39;3840.635
190;323182.7;1296524;347207.7;263801.6;256066.5;50057.26;17193.38;3840.632
195;323182.5;1296523;347207.5;263801.4;256066.4;50057.23;17193.37;3840.63
200;323182.4;1296522;347207.3;263801.3;256066.2;50057.2;17193.36;3840.628
205;323182.2;1296522;347207.2;263801.2;256066.1;50057.18;17193.35;3840.626
210;323182.1;1296521;347207;263801;256066;50057.16;17193.34;3840.625
215;323182;1296521;347206.9;263800.9;256065.9;50057.14;17193.34;3840.623
220;323181.8;1296520;347206.7;263800.8;256065.8;50057.12;17193.33;3840.622
225;323181.7;1296520;347206.6;263800.7;256065.7;50057.1;17193.32;3840.62
230;323181.6;1296519;347206.5;263800.7;256065.6;50057.09;17193.32;3840.619
235;323181.5;1296519;347206.4;263800.6;256065.5;50057.07;17193.31;3840.618
240;323181.5;1296519;347206.3;263800.5;256065.5;50057.06;17193.31;3840.617
245;323181.4;1296518;347206.2;263800.5;256065.4;50057.05;17193.31;3840.616
250;323181.3;1296518;347206.2;263800.4;256065.4;50057.03;17193.3;3840.615
255;323181.2;1296518;347206.1;263800.3;256065.3;50057.02;17193.3;3840.614
260;323181.2;1296517;347206;263800.3;256065.3;50057.01;17193.3;3840.614
265;323181.1;1296517;347205.9;263800.2;256065.2;50057;17193.29;3840.613
270;323181;1296517;347205.9;263800.2;256065.2;50056.99;17193.29;3840.612
275;323180.9;1296516;347205.8;263800.1;256065.1;50056.98;17193.28;3840.611
280;323180.9;1296516;347205.7;263800.1;256065;50056.97;17193.28;3840.61
285;323180.8;1296516;347205.7;263800;256065;50056.96;17193.28;3840.61
290;323180.8;1296516;347205.6;263800;256065;50056.96;17193.28;3840.609
295;323180.7;1296516;347205.6;263799.9;256064.9;50056.95;17193.27;3840.609
300;323180.6;1296515;347205.4;263799.8;256064.8;50056.93;17193.27;3840.607
305;323180.6;1296515;347205.4;263799.8;256064.8;50056.92;17193.26;3840.607
310;323180.5;1296515;347205.4;263799.8;256064.8;50056.92;17193.26;3840.606
315;323180.4;1296514;347205.2;263799.7;256064.7;50056.9;17193.26;3840.605
320;323180.5;1296515;347205.3;263799.7;256064.7;50056.91;17193.26;3840.605
325;323180.4;1296514;347205.1;263799.6;256064.6;50056.89;17193.25;3840.604
330;323180.3;1296514;347205.1;263799.6;256064.6;50056.88;17193.25;3840.604
335;323180.3;1296514;347205.1;263799.6;256064.6;50056.88;17193.25;3840.603
340;323180.3;1296514;347205.1;263799.6;256064.6;50056.88;17193.25;3840.603
345;323180.2;1296514;347205;263799.5;256064.5;50056.87;17193.24;3840.602
350;323180.2;1296514;347205;263799.5;256064.5;50056.87;17193.25;3840.603
355;323180.2;1296513;347204.9;263799.5;256064.5;50056.86;17193.24;3840.602
360;323180.1;1296513;347204.9;263799.5;256064.4;50056.86;17193.24;3840.601
365;323180.1;1296513;347204.9;263799.4;256064.4;50056.85;17193.24;3840.601
370;323180.1;1296513;347204.8;263799.4;256064.4;50056.85;17193.24;3840.601
375;323180;1296513;347204.8;263799.4;256064.4;50056.84;17193.24;3840.6
380;323180;1296513;347204.8;263799.4;256064.4;50056.84;17193.24;3840.6
385;323180;1296513;347204.8;263799.4;256064.4;50056.84;17193.23;3840.6
390;323180;1296513;347204.8;263799.3;256064.3;50056.84;17193.23;3840.6
395;323180;1296513;347204.8;263799.3;256064.3;50056.83;17193.23;3840.6
400;323180;1296513;347204.8;263799.3;256064.3;50056.83;17193.23;3840.6
405;323180;1296513;347204.7;263799.3;256064.3;50056.83;17193.23;3840.6
410;323180;1296513;347204.7;263799.3;256064.3;50056.83;17193.23;3840.6
415;323180;1296513;347204.8;263799.3;256064.3;50056.83;17193.23;3840.6
420;323179.9;1296512;347204.7;263799.3;256064.3;50056.82;17193.23;3840.599
425;323179.9;1296512;347204.7;263799.3;256064.3;50056.82;17193.23;3840.599
430;323179.9;1296513;347204.7;263799.3;256064.3;50056.83;17193.23;3840.599
435;323180;1296513;347204.7;263799.3;256064.3;50056.83;17193.23;3840.599
440;323180;1296513;347204.7;263799.3;256064.3;50056.83;17193.23;3840.599
445;323179.9;1296512;347204.6;263799.2;256064.2;50056.81;17193.23;3840.598
450;323179.9;1296512;347204.6;263799.2;256064.2;50056.81;17193.23;3840.598
455;323179.9;1296512;347204.6;263799.2;256064.2;50056.81;17193.23;3840.598
460;323179.9;1296512;347204.6;263799.2;256064.2;50056.81;17193.23;3840.598
465;323179.9;1296512;347204.6;263799.2;256064.2;50056.82;17193.23;3840.598
470;323179.9;1296512;347204.6;263799.2;256064.2;50056.82;17193.23;3840.598
475;323179.9;1296512;347204.6;263799.2;256064.2;50056.82;17193.23;3840.599
480;323179.8;1296512;347204.5;263799.1;256064.1;50056.8;17193.22;3840.597
485;323179.8;1296512;347204.5;263799.2;256064.2;50056.8;17193.22;3840.597
490;323179.8;1296512;347204.5;263799.2;256064.2;50056.8;17193.22;3840.597
495;323179.8;1296512;347204.5;263799.2;256064.2;50056.8;17193.22;3840.597
500;323179.8;1296512;347204.5;263799.2;256064.2;50056.8;17193.22;3840.597
505;323179.8;1296512;347204.5;263799.2;256064.2;50056.8;17193.22;3840.597
510;323179.8;1296512;347204.5;263799.2;256064.2;50056.8;17193.22;3840.597
515;323179.8;1296512;347204.6;263799.2;256064.2;50056.8;17193.22;3840.597
520;323179.8;1296512;347204.6;263799.2;256064.2;50056.8;17193.22;3840.598
525;323179.7;1296511;347204.4;263799.1;256064.1;50056.78;17193.22;3840.596
530;323179.7;1296511;347204.4;263799.1;256064.1;50056.78;17193.22;3840.596
535;323179.7;1296511;347204.4;263799.1;256064.1;50056.78;17193.22;3840.596
540;323179.7;1296511;347204.4;263799.1;256064.1;50056.78;17193.22;3840.596
545;323179.7;1296511;347204.4;263799.1;256064.1;50056.78;17193.22;3840.596
550;323179.7;1296511;347204.4;263799.1;256064.1;50056.78;17193.22;3840.596
555;323179.7;1296511;347204.4;263799.1;256064.1;50056.78;17193.22;3840.596
560;323179.7;1296511;347204.4;263799.1;256064.1;50056.78;17193.22;3840.596
565;323179.7;1296511;347204.4;263799.1;256064.1;50056.79;17193.22;3840.596
570;323179.7;1296511;347204.4;263799.1;256064.1;50056.79;17193.22;3840.596
575;323179.6;1296511;347204.4;263799;256064;50056.77;17193.21;3840.595
580;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
585;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
590;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
595;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
600;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
605;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
610;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
615;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
620;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
625;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
630;323179.6;1296511;347204.3;263799;256064;50056.77;17193.21;3840.595
