time;TMaxClad
1;698.8498
2;742.1367
3;748.4738
4;752.2578
5;759.6437
6;768.8213
7;778.2675
8;787.601
9;796.0258
10;804.0123
11;813.1258
12;821.8276
13;829.7604
14;837.0016
15;843.4984
16;849.2944
17;854.4234
18;858.946
19;862.9151
20;866.3877
21;869.4165
22;872.0516
23;874.3394
24;876.3219
25;878.0372
26;879.5193
27;880.7985
28;881.9017
29;882.8522
30;883.6709
31;884.3757
32;884.9823
33;885.5044
34;885.9537
35;886.3465
36;886.7321
37;887.066
38;887.3553
39;887.6061
40;887.8236
41;888.0126
42;888.1768
43;888.3197
44;888.4441
45;888.5527
46;888.6476
47;888.7306
48;888.8032
49;888.867
50;888.9231
51;888.9725
52;889.016
53;889.0544
54;889.0885
55;889.1187
56;889.1455
57;889.1693
58;889.1906
59;889.2095
60;889.2265
61;889.2417
62;889.2554
63;889.2676
64;889.2786
65;889.2886
66;889.2975
67;889.3056
68;889.3129
69;889.3196
70;889.3256
71;889.331
72;889.336
73;889.3405
74;889.3446
75;889.3483
76;889.3517
77;889.3548
78;889.3576
79;889.3602
80;889.3625
81;889.3647
82;889.3666
83;889.3684
84;889.37
85;889.3715
86;889.3729
87;889.3742
88;889.3753
89;889.3764
90;889.3773
91;889.3782
92;889.379
93;889.3798
94;889.3805
95;889.3811
96;889.3816
97;889.3822
