time;TMaxFuel
1;904.2028
2;1079.679
3;1263.788
4;1420.907
5;1551.878
6;1659.614
7;1747.674
8;1819.517
9;1901.855
10;1974.163
11;2037.384
12;2092.463
13;2140.284
14;2182.03
15;2218.148
16;2249.55
17;2276.599
18;2299.798
19;2319.651
20;2336.609
21;2351.067
22;2363.373
23;2373.832
24;2382.71
25;2390.236
26;2396.608
27;2401.999
28;2406.554
29;2410.401
30;2413.646
31;2416.382
32;2418.687
33;2420.629
34;2422.262
35;2423.637
36;2424.792
37;2425.764
38;2426.58
39;2427.267
40;2427.843
41;2428.327
42;2428.734
43;2429.076
44;2429.364
45;2429.605
46;2429.808
47;2429.979
48;2430.123
49;2430.244
50;2430.346
51;2430.432
52;2430.504
53;2430.565
54;2430.617
55;2430.661
56;2430.698
57;2430.729
58;2430.756
59;2430.779
60;2430.798
61;2430.813
62;2430.827
63;2430.838
64;2430.848
65;2430.856
66;2430.862
67;2430.868
68;2430.873
69;2430.876
70;2430.88
71;2430.883
72;2430.886
73;2430.888
74;2430.889
75;2430.891
76;2430.892
77;2430.893
78;2430.894
79;2430.895
80;2430.895
81;2430.896
82;2430.896
83;2430.896
84;2430.897
85;2430.897
86;2430.897
87;2430.897
88;2430.898
89;2430.898
90;2430.898
91;2430.898
92;2430.898
93;2430.898
94;2430.898
95;2430.898
96;2430.898
97;2430.898
