time;Tmax
1;724.911
2;737.8976
3;738.8783
4;744.7697
5;752.4317
6;760.722
7;769.2476
8;777.036
9;784.6584
10;792.0544
11;800.205
12;807.6226
13;814.4068
14;820.5304
15;826.0512
16;830.9509
17;835.2854
18;839.0996
19;842.4453
20;845.3704
21;847.9215
22;850.1413
23;852.0694
24;853.7416
25;855.1899
26;856.4507
27;857.5463
28;858.4942
29;859.314
30;860.023
31;860.636
32;861.1663
33;861.6251
34;862.0222
35;862.3662
36;862.6644
37;862.9231
38;863.1477
39;863.343
40;863.5131
41;863.6613
42;863.7906
43;863.9037
44;864.0028
45;864.0896
46;864.1659
47;864.233
48;864.2922
49;864.3445
50;864.3908
51;864.4318
52;864.4682
53;864.5005
54;864.5294
55;864.5552
56;864.5782
57;864.5988
58;864.6173
59;864.634
60;864.6489
61;864.6624
62;864.6745
63;864.6854
64;864.6953
65;864.7042
66;864.7123
67;864.7196
68;864.7263
69;864.7323
70;864.7377
71;864.7427
72;864.7473
73;864.7514
74;864.7551
75;864.7585
76;864.7616
77;864.7645
78;864.767
79;864.7694
80;864.7716
81;864.7735
82;864.7753
83;864.777
84;864.7785
85;864.7799
86;864.7811
87;864.7823
88;864.7834
89;864.7843
90;864.7852
91;864.7861
92;864.7868
93;864.7875
94;864.7881
95;864.7887
96;864.7892
97;864.7897
