time;flux0
1;2.402693e+07
2;2.3258e+07
3;2.294804e+07
4;2.281298e+07
5;2.275303e+07
6;2.272697e+07
7;2.271654e+07
8;2.271328e+07
9;2.271317e+07
10;2.271431e+07
11;2.271582e+07
12;2.271732e+07
13;2.271865e+07
14;2.271978e+07
15;2.27207e+07
16;2.272143e+07
17;2.272203e+07
18;2.27225e+07
19;2.272286e+07
20;2.272315e+07
21;2.272337e+07
22;2.272355e+07
23;2.272368e+07
24;2.27238e+07
25;2.272389e+07
26;2.272395e+07
27;2.2724e+07
28;2.272404e+07
29;2.272407e+07
30;2.272408e+07
31;2.272409e+07
32;2.272409e+07
33;2.272408e+07
34;2.272408e+07
35;2.272407e+07
36;2.272406e+07
37;2.272405e+07
38;2.272404e+07
39;2.272403e+07
40;2.272402e+07
41;2.2724e+07
42;2.2724e+07
43;2.272398e+07
44;2.272397e+07
45;2.272396e+07
46;2.272394e+07
47;2.272393e+07
48;2.272393e+07
49;2.272391e+07
50;2.272391e+07
51;2.27239e+07
52;2.272389e+07
53;2.272388e+07
54;2.272388e+07
55;2.272388e+07
56;2.272386e+07
57;2.272386e+07
58;2.272386e+07
59;2.272385e+07
60;2.272386e+07
61;2.272386e+07
62;2.272384e+07
63;2.272384e+07
64;2.272383e+07
65;2.272383e+07
66;2.272383e+07
67;2.272383e+07
68;2.272383e+07
69;2.272382e+07
70;2.272382e+07
71;2.272382e+07
72;2.272382e+07
73;2.272382e+07
74;2.272382e+07
75;2.272382e+07
76;2.272382e+07
77;2.272382e+07
78;2.272381e+07
79;2.272381e+07
80;2.272381e+07
81;2.272381e+07
82;2.272381e+07
83;2.272381e+07
84;2.272381e+07
85;2.272381e+07
86;2.272381e+07
87;2.272381e+07
88;2.272381e+07
89;2.272381e+07
90;2.272381e+07
91;2.272381e+07
92;2.272381e+07
93;2.272381e+07
94;2.272381e+07
95;2.272381e+07
96;2.272381e+07
97;2.272381e+07
98;2.272381e+07
