time;totalDisplacedCellsVolume
1;15.03688
2;15.04031
3;15.04456
4;15.04782
5;15.05067
6;15.05306
7;15.05521
8;15.05711
9;15.05884
10;15.0604
11;15.06183
12;15.06312
13;15.06431
14;15.0654
15;15.0664
16;15.06731
17;15.06815
18;15.06892
19;15.06962
20;15.07027
21;15.07086
22;15.0714
23;15.0719
24;15.07236
25;15.07278
26;15.07316
27;15.07352
28;15.07384
29;15.07414
30;15.07441
31;15.07466
32;15.07489
33;15.0751
34;15.0753
35;15.07547
36;15.07564
37;15.07579
38;15.07592
39;15.07605
40;15.07617
41;15.07627
42;15.07637
43;15.07646
44;15.07655
45;15.07662
46;15.07669
47;15.07676
48;15.07682
49;15.07687
50;15.07692
51;15.07697
52;15.07701
53;15.07705
54;15.07708
55;15.07712
56;15.07715
57;15.07717
58;15.0772
59;15.07722
60;15.07724
61;15.07726
62;15.07728
63;15.0773
64;15.07731
65;15.07733
66;15.07734
67;15.07735
68;15.07736
69;15.07737
70;15.07738
71;15.07739
72;15.0774
73;15.07741
74;15.07741
75;15.07742
76;15.07743
77;15.07743
78;15.07744
79;15.07744
80;15.07744
81;15.07745
82;15.07745
83;15.07746
84;15.07746
85;15.07746
86;15.07746
87;15.07747
88;15.07747
89;15.07747
90;15.07747
91;15.07747
92;15.07747
93;15.07748
94;15.07748
95;15.07748
96;15.07748
97;15.07748
98;15.07748
