time;TavFuel
1;904.4595
2;932.9999
3;997.5696
4;1066.78
5;1120.856
6;1164.277
7;1199.976
8;1229.637
9;1254.468
10;1275.363
11;1293.006
12;1307.945
13;1320.61
14;1331.36
15;1340.488
16;1348.24
17;1354.826
18;1360.421
19;1365.173
20;1369.209
21;1372.637
22;1375.547
23;1378.017
24;1380.114
25;1381.894
26;1383.403
27;1384.684
28;1385.771
29;1386.692
30;1387.473
31;1388.136
32;1388.697
33;1389.173
34;1389.577
35;1389.919
36;1390.209
37;1390.455
38;1390.663
39;1390.84
40;1390.989
41;1391.116
42;1391.224
43;1391.315
44;1391.393
45;1391.458
46;1391.514
47;1391.561
48;1391.602
49;1391.636
50;1391.665
51;1391.689
52;1391.71
53;1391.728
54;1391.743
55;1391.756
56;1391.767
57;1391.777
58;1391.785
59;1391.792
60;1391.798
61;1391.803
62;1391.807
63;1391.81
64;1391.814
65;1391.816
66;1391.819
67;1391.821
68;1391.822
69;1391.824
70;1391.825
71;1391.826
72;1391.827
73;1391.828
74;1391.829
75;1391.83
76;1391.83
77;1391.831
78;1391.831
79;1391.832
80;1391.832
81;1391.832
82;1391.832
83;1391.833
84;1391.833
85;1391.833
86;1391.833
87;1391.833
88;1391.833
89;1391.834
90;1391.834
91;1391.834
92;1391.834
93;1391.834
94;1391.834
95;1391.834
96;1391.834
97;1391.834
98;1391.834
