time;Tav
1;683.3424
2;686.9439
3;686.972
4;687.9005
5;689.1372
6;690.5535
7;692.0646
8;693.5325
9;694.9539
10;696.2395
11;697.4056
12;698.4288
13;699.3256
14;700.1014
15;700.7713
16;701.3469
17;701.8408
18;702.2639
19;702.6262
20;702.9362
21;703.2016
22;703.4288
23;703.6234
24;703.7902
25;703.9333
26;704.0562
27;704.1618
28;704.2527
29;704.331
30;704.3985
31;704.4568
32;704.5073
33;704.551
34;704.5889
35;704.6219
36;704.6506
37;704.6756
38;704.6974
39;704.7166
40;704.7333
41;704.7481
42;704.761
43;704.7725
44;704.7826
45;704.7915
46;704.7994
47;704.8065
48;704.8127
49;704.8183
50;704.8233
51;704.8277
52;704.8317
53;704.8353
54;704.8385
55;704.8414
56;704.844
57;704.8464
58;704.8485
59;704.8504
60;704.8522
61;704.8538
62;704.8552
63;704.8565
64;704.8577
65;704.8587
66;704.8597
67;704.8606
68;704.8614
69;704.8622
70;704.8628
71;704.8634
72;704.864
73;704.8645
74;704.865
75;704.8654
76;704.8658
77;704.8662
78;704.8665
79;704.8668
80;704.8671
81;704.8673
82;704.8676
83;704.8678
84;704.868
85;704.8682
86;704.8683
87;704.8685
88;704.8686
89;704.8687
90;704.8689
91;704.869
92;704.8691
93;704.8691
94;704.8692
95;704.8693
96;704.8694
97;704.8694
98;704.8695
