time;TavClad
1;890.2093
2;698.4004
3;721.861
4;722.0232
5;721.8356
6;724.622
7;728.3108
8;732.3022
9;736.2551
10;739.9423
11;743.3164
12;746.2916
13;748.9021
14;751.1551
15;753.0939
16;754.7516
17;756.1664
18;757.3708
19;758.395
20;759.2653
21;760.0045
22;760.6323
23;761.1654
24;761.6184
25;762.0033
26;762.3305
27;762.6089
28;762.8459
29;763.0478
30;763.2199
31;763.3668
32;763.4923
33;763.5995
34;763.6914
35;763.7701
36;763.8376
37;763.8957
38;763.9456
39;763.9886
40;764.0258
41;764.0579
42;764.0857
43;764.1098
44;764.1307
45;764.149
46;764.1649
47;764.1788
48;764.1909
49;764.2016
50;764.211
51;764.2192
52;764.2265
53;764.2329
54;764.2386
55;764.2437
56;764.2482
57;764.2522
58;764.2557
59;764.2589
60;764.2618
61;764.2643
62;764.2666
63;764.2687
64;764.2705
65;764.2722
66;764.2737
67;764.275
68;764.2763
69;764.2774
70;764.2784
71;764.2793
72;764.2801
73;764.2809
74;764.2815
75;764.2822
76;764.2827
77;764.2832
78;764.2837
79;764.2841
80;764.2845
81;764.2849
82;764.2852
83;764.2855
84;764.2858
85;764.286
86;764.2862
87;764.2864
88;764.2866
89;764.2868
90;764.287
91;764.2871
92;764.2872
93;764.2874
94;764.2875
95;764.2876
96;764.2877
97;764.2878
98;764.2878
