time;k_eff
1;0.8799512
2;0.9112925
3;0.9250934
4;0.9317346
5;0.9352574
6;0.9372395
7;0.9384278
8;0.9391633
9;0.9396403
10;0.939953
11;0.9401639
12;0.9403047
13;0.9403995
14;0.9404613
15;0.9405008
16;0.9405241
17;0.9405364
18;0.9405409
19;0.9405403
20;0.9405361
21;0.9405298
22;0.9405225
23;0.9405148
24;0.9405071
25;0.9404994
26;0.9404922
27;0.9404853
28;0.940479
29;0.9404733
30;0.9404681
31;0.9404635
32;0.9404595
33;0.9404559
34;0.9404529
35;0.94045
36;0.9404476
37;0.9404455
38;0.9404439
39;0.9404423
40;0.9404409
41;0.9404397
42;0.940439
43;0.9404377
44;0.9404373
45;0.9404365
46;0.9404359
47;0.9404354
48;0.9404354
49;0.9404346
50;0.9404346
51;0.9404343
52;0.940434
53;0.9404336
54;0.940434
55;0.9404334
56;0.9404336
57;0.9404333
58;0.9404347
59;0.9404362
60;0.940433
61;0.9404348
62;0.9404328
63;0.9404345
64;0.9404359
65;0.9404327
66;0.9404338
67;0.9404349
68;0.9404328
69;0.9404338
70;0.9404347
71;0.9404355
72;0.9404349
73;0.9404351
74;0.9404357
75;0.9404351
76;0.9404356
77;0.9404355
78;0.9404359
79;0.9404352
80;0.9404356
81;0.9404353
82;0.9404356
83;0.9404359
84;0.9404351
85;0.9404354
86;0.9404356
87;0.9404358
88;0.9404354
89;0.9404355
90;0.9404357
91;0.9404358
92;0.940436
93;0.9404352
94;0.9404353
95;0.9404354
96;0.9404355
97;0.9404355
98;0.9404356
99;0.9404357
