time;power
1;8e+08
2;8e+08
3;8e+08
4;8e+08
5;8e+08
6;8e+08
7;8e+08
8;8e+08
9;8e+08
10;8e+08
11;8e+08
12;8e+08
13;8e+08
14;8e+08
15;8e+08
16;8e+08
17;8e+08
18;8e+08
19;8e+08
20;8e+08
21;8e+08
22;8e+08
23;8e+08
24;8e+08
25;8e+08
26;8e+08
27;8e+08
28;8e+08
29;8e+08
30;8e+08
31;8e+08
32;8e+08
33;8e+08
34;8e+08
35;8e+08
36;8e+08
37;8e+08
38;8e+08
39;8e+08
40;8e+08
41;8e+08
42;8e+08
43;8e+08
44;8e+08
45;8e+08
46;8e+08
47;8e+08
48;8e+08
49;8e+08
50;8e+08
51;8e+08
52;8e+08
53;8e+08
54;8e+08
55;8e+08
56;8e+08
57;8e+08
58;8e+08
59;8e+08
60;8e+08
61;8e+08
62;8e+08
63;8e+08
64;8e+08
65;8e+08
66;8e+08
67;8e+08
68;8e+08
69;8e+08
70;8e+08
71;8e+08
72;8e+08
73;8e+08
74;8e+08
75;8e+08
76;8e+08
77;8e+08
78;8e+08
79;8e+08
80;8e+08
81;8e+08
82;8e+08
83;8e+08
84;8e+08
85;8e+08
86;8e+08
87;8e+08
88;8e+08
89;8e+08
90;8e+08
91;8e+08
92;8e+08
93;8e+08
94;8e+08
95;8e+08
96;8e+08
97;8e+08
98;8e+08
99;8e+08
