time;prec0;prec1;prec2;prec3;prec4;prec5;prec6;prec7
1;77519.36;310987.2;83282.05;63276.06;61420.71;12006.85;4124.044;921.223
2;82566.03;331233.1;88703.88;67395.46;65419.32;12788.52;4392.527;981.1965
3;79732.22;319864.6;85659.4;65082.33;63174.01;12349.6;4241.768;947.5201
4;78537.94;315073.4;84376.34;64107.48;62227.75;12164.62;4178.232;933.3275
5;77974.99;312815;83771.54;63647.97;61781.71;12077.42;4148.283;926.6375
6;77678.07;311623.9;83452.56;63405.61;61546.46;12031.43;4132.487;923.1091
7;77511.85;310957;83273.97;63269.92;61414.75;12005.69;4123.644;921.1337
8;77411.66;310555.1;83166.34;63188.15;61335.37;11990.17;4118.314;919.9431
9;77349.61;310306.2;83099.67;63137.49;61286.21;11980.56;4115.013;919.2057
10;77308.88;310142.8;83055.91;63104.25;61253.93;11974.25;4112.846;918.7216
11;77282;310035;83027.04;63082.31;61232.64;11970.09;4111.416;918.4022
12;77263.52;309960.8;83007.19;63067.23;61218;11967.22;4110.433;918.1827
13;77250.97;309910.5;82993.71;63056.98;61208.05;11965.28;4109.765;918.0335
14;77242.26;309875.5;82984.34;63049.87;61201.15;11963.93;4109.302;917.93
15;77236.35;309851.8;82978;63045.05;61196.47;11963.01;4108.988;917.8598
16;77232.34;309835.7;82973.69;63041.77;61193.29;11962.39;4108.774;917.8121
17;77229.72;309825.2;82970.88;63039.64;61191.22;11961.99;4108.635;917.781
18;77228.08;309818.6;82969.11;63038.29;61189.91;11961.73;4108.547;917.7614
19;77227.12;309814.8;82968.08;63037.51;61189.16;11961.59;4108.497;917.7501
20;77226.65;309812.9;82967.57;63037.12;61188.78;11961.51;4108.471;917.7444
21;77226.51;309812.3;82967.42;63037.01;61188.67;11961.49;4108.464;917.7428
22;77226.58;309812.6;82967.49;63037.07;61188.72;11961.5;4108.468;917.7436
23;77226.78;309813.4;82967.71;63037.23;61188.88;11961.53;4108.478;917.746
24;77227.04;309814.5;82968;63037.45;61189.09;11961.57;4108.492;917.7491
25;77227.34;309815.7;82968.32;63037.69;61189.33;11961.62;4108.508;917.7527
26;77227.67;309817;82968.67;63037.96;61189.59;11961.67;4108.526;917.7566
27;77227.98;309818.3;82969.01;63038.22;61189.84;11961.72;4108.543;917.7603
28;77228.3;309819.5;82969.35;63038.47;61190.09;11961.77;4108.559;917.7641
29;77228.59;309820.7;82969.65;63038.71;61190.32;11961.81;4108.574;917.7675
30;77228.84;309821.7;82969.93;63038.92;61190.52;11961.85;4108.588;917.7705
31;77229.08;309822.6;82970.18;63039.11;61190.7;11961.89;4108.601;917.7733
32;77229.28;309823.4;82970.4;63039.27;61190.87;11961.92;4108.611;917.7757
33;77229.45;309824.2;82970.59;63039.42;61191;11961.95;4108.621;917.7778
34;77229.6;309824.7;82970.75;63039.54;61191.12;11961.97;4108.629;917.7796
35;77229.72;309825.2;82970.87;63039.63;61191.21;11961.99;4108.635;917.7809
36;77229.83;309825.7;82970.99;63039.72;61191.3;11962;4108.641;917.7823
37;77229.92;309826;82971.08;63039.79;61191.37;11962.02;4108.645;917.7833
38;77229.99;309826.3;82971.16;63039.85;61191.43;11962.03;4108.649;917.7841
39;77230.03;309826.4;82971.2;63039.88;61191.46;11962.04;4108.651;917.7846
40;77230.07;309826.6;82971.25;63039.92;61191.5;11962.04;4108.654;917.7852
41;77230.11;309826.8;82971.29;63039.95;61191.52;11962.05;4108.656;917.7856
42;77230.14;309826.9;82971.32;63039.98;61191.55;11962.05;4108.657;917.7859
43;77230.13;309826.9;82971.32;63039.97;61191.54;11962.05;4108.657;917.7859
44;77230.18;309827.1;82971.36;63040.01;61191.58;11962.06;4108.659;917.7864
45;77230.16;309827;82971.35;63039.99;61191.56;11962.06;4108.658;917.7862
46;77230.17;309827;82971.36;63040;61191.57;11962.06;4108.659;917.7863
47;77230.18;309827.1;82971.36;63040.01;61191.58;11962.06;4108.659;917.7864
48;77230.18;309827;82971.36;63040.01;61191.58;11962.06;4108.659;917.7864
49;77230.14;309826.9;82971.32;63039.97;61191.55;11962.05;4108.657;917.7859
50;77230.17;309827;82971.35;63040;61191.57;11962.06;4108.659;917.7863
51;77230.14;309826.9;82971.32;63039.98;61191.55;11962.05;4108.657;917.7859
52;77230.13;309826.9;82971.31;63039.97;61191.54;11962.05;4108.657;917.7858
53;77230.12;309826.8;82971.3;63039.96;61191.53;11962.05;4108.656;917.7857
54;77230.16;309827;82971.34;63039.99;61191.56;11962.06;4108.658;917.7861
55;77230.07;309826.6;82971.25;63039.92;61191.49;11962.04;4108.653;917.7851
56;77230.12;309826.8;82971.31;63039.96;61191.53;11962.05;4108.656;917.7857
57;77230.06;309826.6;82971.24;63039.92;61191.49;11962.04;4108.653;917.785
58;77230.08;309826.7;82971.26;63039.93;61191.5;11962.04;4108.654;917.7852
59;77229.96;309826.2;82971.13;63039.83;61191.4;11962.02;4108.647;917.7838
60;77229.81;309825.6;82970.97;63039.71;61191.29;11962;4108.64;917.7821
61;77230.06;309826.6;82971.23;63039.91;61191.48;11962.04;4108.653;917.7849
62;77229.9;309825.9;82971.06;63039.78;61191.36;11962.02;4108.644;917.7831
63;77230.07;309826.6;82971.24;63039.92;61191.49;11962.04;4108.653;917.7851
64;77229.9;309825.9;82971.07;63039.78;61191.36;11962.02;4108.644;917.7831
65;77229.78;309825.5;82970.93;63039.68;61191.26;11962;4108.638;917.7816
66;77230.04;309826.5;82971.21;63039.89;61191.47;11962.04;4108.652;917.7847
67;77229.93;309826.1;82971.1;63039.81;61191.38;11962.02;4108.646;917.7835
68;77229.84;309825.7;82971;63039.73;61191.31;11962.01;4108.641;917.7823
69;77230;309826.3;82971.17;63039.86;61191.44;11962.03;4108.65;917.7843
70;77229.93;309826.1;82971.1;63039.81;61191.38;11962.02;4108.646;917.7835
71;77229.83;309825.7;82970.99;63039.73;61191.3;11962.01;4108.641;917.7823
72;77229.76;309825.4;82970.92;63039.67;61191.25;11961.99;4108.637;917.7815
73;77229.81;309825.6;82970.97;63039.7;61191.28;11962;4108.639;917.782
74;77229.79;309825.5;82970.94;63039.69;61191.27;11962;4108.638;917.7817
75;77229.73;309825.3;82970.89;63039.65;61191.23;11961.99;4108.636;917.7811
76;77229.79;309825.5;82970.94;63039.69;61191.27;11962;4108.638;917.7817
77;77229.74;309825.3;82970.9;63039.65;61191.23;11961.99;4108.636;917.7812
78;77229.75;309825.3;82970.9;63039.65;61191.24;11961.99;4108.636;917.7813
79;77229.71;309825.2;82970.86;63039.62;61191.21;11961.99;4108.634;917.7808
