time;totalDisplacedCellsVolume
0;17.31877
5;17.36507
10;17.40331
15;17.42775
20;17.43944
25;17.4465
30;17.45147
35;17.45514
40;17.45789
45;17.45996
50;17.46152
55;17.46269
60;17.46356
65;17.4642
70;17.46467
75;17.465
80;17.46524
85;17.46541
90;17.46553
95;17.4656
100;17.46565
105;17.46567
110;17.46568
115;17.46567
120;17.46566
125;17.46564
130;17.46562
135;17.4656
140;17.46557
145;17.46555
150;17.46552
155;17.4655
160;17.46547
165;17.46545
170;17.46542
175;17.4654
180;17.46538
185;17.46536
190;17.46534
195;17.46532
200;17.4653
205;17.46528
210;17.46527
215;17.46525
220;17.46524
225;17.46522
230;17.46521
235;17.46519
240;17.46518
245;17.46517
250;17.46516
255;17.46515
260;17.46514
265;17.46513
270;17.46512
275;17.46511
280;17.4651
285;17.46509
290;17.46508
295;17.46507
300;17.46506
305;17.46506
310;17.46505
315;17.46504
320;17.46503
325;17.46503
330;17.46502
335;17.46502
340;17.46501
345;17.465
350;17.465
355;17.46499
360;17.46499
365;17.46498
370;17.46498
375;17.46497
380;17.46497
385;17.46496
390;17.46496
395;17.46495
400;17.46495
405;17.46495
410;17.46494
415;17.46494
420;17.46493
425;17.46493
430;17.46493
435;17.46492
440;17.46492
445;17.46492
450;17.46491
455;17.46491
460;17.46491
465;17.4649
470;17.4649
475;17.4649
480;17.46489
485;17.46489
490;17.46489
495;17.46489
500;17.46488
505;17.46488
510;17.46488
515;17.46487
520;17.46487
525;17.46487
530;17.46487
535;17.46486
540;17.46486
545;17.46486
550;17.46486
555;17.46485
560;17.46485
565;17.46485
570;17.46485
575;17.46484
580;17.46484
585;17.46484
590;17.46484
595;17.46483
600;17.46483
605;17.46483
610;17.46483
615;17.46483
620;17.46483
625;17.46482
630;17.46482
635;17.46482
640;17.46482
645;17.46481
650;17.46481
655;17.46481
660;17.46481
665;17.46481
670;17.4648
675;17.4648
680;17.4648
685;17.4648
690;17.4648
695;17.4648
700;17.46479
705;17.46479
710;17.46479
715;17.46479
720;17.46479
725;17.46478
730;17.46478
735;17.46478
740;17.46478
745;17.46478
750;17.46478
755;17.46477
760;17.46477
765;17.46477
770;17.46477
775;17.46477
780;17.46476
785;17.46476
790;17.46476
795;17.46476
800;17.46476
805;17.46476
810;17.46476
815;17.46475
820;17.46475
825;17.46475
830;17.46475
835;17.46474
840;17.46474
845;17.46474
850;17.46474
855;17.46474
860;17.46474
865;17.46474
870;17.46474
875;17.46473
880;17.46473
885;17.46473
890;17.46473
895;17.46472
900;17.46472
905;17.46472
910;17.46472
915;17.46472
920;17.46472
925;17.46472
930;17.46472
935;17.46471
940;17.46471
945;17.46471
950;17.46471
955;17.4647
960;17.4647
965;17.4647
970;17.4647
975;17.4647
980;17.4647
985;17.4647
990;17.4647
995;17.46469
1000;17.46469
