time;TMaxClad
1000;914.5939
1000;914.5939
1000;914.5939
1000;914.5939
1000;914.5939
1000;914.5939
1000.001;914.5939
1000.001;914.5939
1000.003;914.5941
1000.005;914.595
1000.01;914.5975
1000.02;914.6012
1000.041;914.6032
1000.081;914.6005
1000.161;914.5945
1000.314;914.589
1000.595;914.5849
1001.063;914.5791
1001.532;914.5736
1002;914.5678
1002.5;914.562
1003;914.5563
1003.5;914.5509
1004;914.5457
1004.5;914.5407
1005;914.5359
1005.5;914.5311
1006;914.5264
1006.5;914.5218
1007;914.5203
1007.5;914.5198
1008;914.5196
1008.5;914.5193
1009;914.5188
1009.5;914.5181
1010;914.5171
