time;TMaxFuel
1000;2516.505
1000;2516.505
1000;2516.505
1000;2516.505
1000;2516.505
1000;2516.505
1000.001;2516.505
1000.001;2516.505
1000.003;2516.505
1000.005;2516.505
1000.01;2516.504
1000.02;2516.504
1000.041;2516.502
1000.081;2516.499
1000.161;2516.494
1000.314;2516.483
1000.595;2516.464
1001.063;2516.453
1001.532;2516.442
1002;2516.432
1002.5;2516.422
1003;2516.412
1003.5;2516.403
1004;2516.394
1004.5;2516.385
1005;2516.376
1005.5;2516.368
1006;2516.361
1006.5;2516.39
1007;2516.418
1007.5;2516.444
1008;2516.468
1008.5;2516.49
1009;2516.51
1009.5;2516.528
1010;2516.544
