time;Tav
1000;718.1809
1000;718.1834
1000;718.1826
1000;718.1822
1000;718.182
1000;718.1819
1000.001;718.1819
1000.001;718.1818
1000.003;718.1817
1000.005;718.1816
1000.01;718.1815
1000.02;718.1811
1000.041;718.1804
1000.081;718.1791
1000.161;718.1765
1000.314;718.1724
1000.595;718.1667
1001.063;718.16
1001.532;718.1538
1002;718.1478
1002.5;718.1421
1003;718.1367
1003.5;718.1315
1004;718.1265
1004.5;718.1217
1005;718.117
1005.5;718.1124
1006;718.1078
1006.5;718.1034
1007;718.0996
1007.5;718.0961
1008;718.0929
1008.5;718.0897
1009;718.0865
1009.5;718.0833
1010;718.08
