time;TavClad
1000;779.1922
1000;779.1893
1000;779.1893
1000;779.1894
1000;779.1894
1000;779.1894
1000.001;779.1893
1000.001;779.1893
1000.003;779.1891
1000.005;779.1888
1000.01;779.1884
1000.02;779.1877
1000.041;779.1868
1000.081;779.1857
1000.161;779.1845
1000.314;779.1828
1000.595;779.1794
1001.063;779.1731
1001.532;779.1648
1002;779.1568
1002.5;779.1495
1003;779.1427
1003.5;779.1364
1004;779.1304
1004.5;779.1247
1005;779.1191
1005.5;779.1138
1006;779.1086
1006.5;779.1035
1007;779.1005
1007.5;779.0982
1008;779.0959
1008.5;779.0935
1009;779.091
1009.5;779.0884
1010;779.0857
