time;TavFuel
1000;1464.985
1000;1464.986
1000;1464.986
1000;1464.986
1000;1464.986
1000;1464.986
1000.001;1464.986
1000.001;1464.986
1000.003;1464.985
1000.005;1464.985
1000.01;1464.985
1000.02;1464.985
1000.041;1464.984
1000.081;1464.982
1000.161;1464.979
1000.314;1464.974
1000.595;1464.964
1001.063;1464.95
1001.532;1464.936
1002;1464.923
1002.5;1464.91
1003;1464.897
1003.5;1464.885
1004;1464.874
1004.5;1464.863
1005;1464.853
1005.5;1464.844
1006;1464.834
1006.5;1464.847
1007;1464.857
1007.5;1464.865
1008;1464.873
1008.5;1464.879
1009;1464.885
1009.5;1464.89
1010;1464.894
