time;Tmax
1000;884.4309
1000;884.4842
1000;884.4834
1000;884.4821
1000;884.4813
1000;884.4807
1000.001;884.4799
1000.001;884.4786
1000.003;884.4762
1000.005;884.4719
1000.01;884.4648
1000.02;884.455
1000.041;884.4445
1000.081;884.4359
1000.161;884.4298
1000.314;884.4259
1000.595;884.4221
1001.063;884.4156
1001.532;884.4096
1002;884.4033
1002.5;884.3971
1003;884.3912
1003.5;884.3856
1004;884.3803
1004.5;884.3752
1005;884.3702
1005.5;884.3653
1006;884.3606
1006.5;884.3559
1007;884.3543
1007.5;884.3535
1008;884.353
1008.5;884.3522
1009;884.3513
1009.5;884.3501
1010;884.3487
