time;Tmin
1000;667.5761
1000;667.5698
1000;667.5713
1000;667.573
1000;667.5739
1000;667.5746
1000.001;667.575
1000.001;667.5751
1000.003;667.575
1000.005;667.5747
1000.01;667.5738
1000.02;667.5719
1000.041;667.569
1000.081;667.5651
1000.161;667.5603
1000.314;667.5551
1000.595;667.5498
1001.063;667.5444
1001.532;667.5391
1002;667.534
1002.5;667.5289
1003;667.524
1003.5;667.5191
1004;667.5143
1004.5;667.5096
1005;667.5049
1005.5;667.5004
1006;667.4959
1006.5;667.4914
1007;667.4871
1007.5;667.4827
1008;667.4785
1008.5;667.4742
1009;667.4701
1009.5;667.4659
1010;667.4618
