time;flux0
1000;1.093402e+08
1000;1.0934e+08
1000;1.093388e+08
1000;1.093355e+08
1000;1.093281e+08
1000;1.093187e+08
1000.001;1.093187e+08
1000.001;1.093186e+08
1000.003;1.093186e+08
1000.005;1.093184e+08
1000.01;1.093184e+08
1000.02;1.093184e+08
1000.041;1.093183e+08
1000.081;1.093183e+08
1000.161;1.093183e+08
1000.314;1.093181e+08
1000.595;1.093181e+08
1001.063;1.09318e+08
1001.532;1.09318e+08
1002;1.09318e+08
1002.5;1.093179e+08
1003;1.093179e+08
1003.5;1.093179e+08
1004;1.093179e+08
1004.5;1.093179e+08
1005;1.093178e+08
1005.5;1.093178e+08
1006;1.093178e+08
1006.5;1.093492e+08
1007;1.093492e+08
1007.5;1.093492e+08
1008;1.093492e+08
1008.5;1.093492e+08
1009;1.093492e+08
1009.5;1.093491e+08
1010;1.093491e+08
