time;k_eff
1000;1.011685
1000;1.011685
1000;1.011685
1000;1.011685
1000;1.011685
1000;1.011685
1000.001;1.011685
1000.001;1.011685
1000.003;1.011685
1000.005;1.011685
1000.01;1.011685
1000.02;1.011685
1000.041;1.011685
1000.081;1.011685
1000.161;1.011685
1000.314;1.011685
1000.595;1.011685
1001.063;1.011685
1001.532;1.011685
1002;1.011685
1002.5;1.011685
1003;1.011685
1003.5;1.011685
1004;1.011685
1004.5;1.011685
1005;1.011685
1005.5;1.011685
1006;1.011685
1006.5;1.011685
1007;1.011685
1007.5;1.011685
1008;1.011685
1008.5;1.011685
1009;1.011685
1009.5;1.011685
1010;1.011685
