time;power
1000;3.6e+09
1000;3.599967e+09
1000;3.599916e+09
1000;3.599801e+09
1000;3.599556e+09
1000;3.599253e+09
1000.001;3.599253e+09
1000.001;3.599253e+09
1000.003;3.599252e+09
1000.005;3.599251e+09
1000.01;3.599251e+09
1000.02;3.59925e+09
1000.041;3.59925e+09
1000.081;3.59925e+09
1000.161;3.59925e+09
1000.314;3.599253e+09
1000.595;3.599253e+09
1001.063;3.599253e+09
1001.532;3.599253e+09
1002;3.599253e+09
1002.5;3.599253e+09
1003;3.599254e+09
1003.5;3.599255e+09
1004;3.599255e+09
1004.5;3.599255e+09
1005;3.599255e+09
1005.5;3.599255e+09
1006;3.599255e+09
1006.5;3.600289e+09
1007;3.600289e+09
1007.5;3.600289e+09
1008;3.600288e+09
1008.5;3.600288e+09
1009;3.600288e+09
1009.5;3.600288e+09
1010;3.600288e+09
