time;prec0;prec1;prec2;prec3;prec4;prec5;prec6;prec7
1000;323179.1;1296509;347203.7;263798.6;256063.6;50056.69;17193.18;3840.589
1000;323179.1;1296509;347203.7;263798.6;256063.6;50056.69;17193.18;3840.589
1000;323179.1;1296509;347203.7;263798.6;256063.6;50056.69;17193.18;3840.589
1000;323179.1;1296509;347203.7;263798.6;256063.6;50056.69;17193.18;3840.588
1000;323179.1;1296509;347203.7;263798.6;256063.6;50056.69;17193.18;3840.588
1000;323179.1;1296509;347203.7;263798.6;256063.6;50056.68;17193.18;3840.588
1000.001;323179.1;1296509;347203.7;263798.6;256063.6;50056.68;17193.18;3840.587
1000.001;323179;1296509;347203.7;263798.6;256063.6;50056.68;17193.18;3840.585
1000.003;323179;1296509;347203.7;263798.5;256063.5;50056.67;17193.17;3840.582
1000.005;323179;1296509;347203.7;263798.5;256063.5;50056.65;17193.15;3840.574
1000.01;323179;1296509;347203.7;263798.5;256063.4;50056.62;17193.12;3840.56
1000.02;323179;1296509;347203.7;263798.4;256063.3;50056.55;17193.07;3840.533
1000.041;323179;1296509;347203.6;263798.3;256063;50056.41;17192.96;3840.483
1000.081;323179;1296508;347203.5;263798;256062.3;50056.15;17192.75;3840.397
1000.161;323178.9;1296508;347203.3;263797.4;256061.2;50055.64;17192.38;3840.262
1000.314;323178.8;1296507;347202.8;263796.3;256059;50054.78;17191.83;3840.096
1000.595;323178.6;1296504;347201.9;263794.4;256055.3;50053.44;17191.13;3839.943
1001.063;323178.2;1296501;347200.6;263791.5;256049.9;50051.74;17190.47;3839.848
1001.532;323177.8;1296498;347199.2;263788.7;256045.1;50050.44;17190.1;3839.812
1002;323177.4;1296494;347197.9;263786;256040.9;50049.45;17189.89;3839.799
1002.5;323177;1296491;347196.5;263783.4;256037;50048.66;17189.76;3839.794
1003;323176.6;1296487;347195.2;263780.9;256033.6;50048.07;17189.7;3839.793
1003.5;323176.2;1296484;347193.9;263778.6;256030.7;50047.63;17189.66;3839.792
1004;323175.9;1296480;347192.6;263776.4;256028.1;50047.3;17189.64;3839.792
1004.5;323175.5;1296477;347191.3;263774.4;256025.9;50047.05;17189.63;3839.792
1005;323175.1;1296474;347190.1;263772.5;256023.9;50046.87;17189.63;3839.792
1005.5;323174.7;1296470;347188.8;263770.7;256022.2;50046.73;17189.62;3839.792
1006;323174.3;1296467;347187.7;263769.1;256020.7;50046.62;17189.62;3839.793
1006.5;323174.5;1296469;347188.6;263772.2;256028.8;50050.14;17191.84;3840.499
1007;323174.7;1296471;347189.5;263775.2;256035.8;50052.78;17193.06;3840.753
1007.5;323174.9;1296473;347190.3;263777.9;256042;50054.75;17193.73;3840.844
1008;323175.1;1296475;347191.2;263780.5;256047.3;50056.23;17194.1;3840.877
1008.5;323175.2;1296477;347192;263783;256052;50057.35;17194.31;3840.888
1009;323175.4;1296479;347192.9;263785.3;256056.1;50058.18;17194.42;3840.892
1009.5;323175.6;1296481;347193.7;263787.4;256059.7;50058.8;17194.48;3840.894
1010;323175.8;1296483;347194.4;263789.4;256062.8;50059.27;17194.51;3840.894
