time;totalDisplacedCellsVolume
1000;17.46469
1000;17.46475
1000;17.46484
1000;17.46487
1000;17.46488
1000;17.46487
1000.001;17.46487
1000.001;17.46486
1000.003;17.46485
1000.005;17.46485
1000.01;17.46484
1000.02;17.46483
1000.041;17.46483
1000.081;17.46482
1000.161;17.46481
1000.314;17.46481
1000.595;17.4648
1001.063;17.46479
1001.532;17.46479
1002;17.46478
1002.5;17.46478
1003;17.46477
1003.5;17.46476
1004;17.46476
1004.5;17.46475
1005;17.46475
1005.5;17.46474
1006;17.46474
1006.5;17.46473
1007;17.46474
1007.5;17.46474
1008;17.46473
1008.5;17.46474
1009;17.46473
1009.5;17.46473
1010;17.46473
