time,model.root.system1.integrator.y,model.root.system1.integrator1.y,model.root.system1.der(integrator.y),model.root.system1.der(integrator1.y),model.root.system1.HModelica,model.root.system1.hxPower,model.root.system1.hxPowerIntegral,model.root.system1.momentumModelica,model.root.system1.power,model.root.system1.powerIntegral,model.root.system1.temperatureModelica,model.root.system1.integrator.u,model.root.system1.integrator1.u,model.root.system1.ramp.y,model.root.system1.ramp1.y,model.root.system1.ramp2.y,model.root.system1.integrator.initType,model.root.system1.integrator1.initType,model.root.system1.integrator.use_reset,model.root.system1.integrator.use_set,model.root.system1.integrator1.use_reset,model.root.system1.integrator1.use_set
0, 0, 0, 0, 0, 10000, 0, 0, 0, 0, 0, 850, 0, 0, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.001, 0, 0, 0, 0, 10000, 0, 0, 0, 0, 0, 850, 0, 0, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.001, 0, 0, 0, 0, 10000, 0, 0, 0, 0, 0, 850, 0, 0, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.001, 0, 0, 0, 0, 10000, 0, 0, 0, 0, 0, 850, 0, 0, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.002, 166803.079264, -8.18038363066e-18, 166803079.264, -8.18038363066e-15, 10000, -8.18038363066e-15, -8.18038363066e-18, 0, 166803079.264, 166803.079264, 850, 166803079.264, -8.18038363066e-15, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.002, 166803.079264, -8.18038363066e-18, 166803079.264, -8.18038363066e-15, 10000, -8.18038363066e-15, -8.18038363066e-18, 0, 166803079.264, 166803.079264, 850, 166803079.264, -8.18038363066e-15, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.002, 166803.079264, -8.18038363066e-18, 166803079.264, -8.18038363066e-15, 10000, -8.18038363066e-15, -8.18038363066e-18, 0, 166803079.264, 166803.079264, 850, 166803079.264, -8.18038363066e-15, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.003, 333528.209355, -11.6754233189, 166725130.091, -11675.4233189, 10000, -11675.4233189, -11.6754233189, 0, 166725130.091, 333528.209355, 850, 166725130.091, -11675.4233189, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.003, 333528.209355, -11.6754233189, 166725130.091, -11675.4233189, 10000, -11675.4233189, -11.6754233189, 0, 166725130.091, 333528.209355, 850, 166725130.091, -11675.4233189, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.003, 333528.209355, -11.6754233189, 166725130.091, -11675.4233189, 10000, -11675.4233189, -11.6754233189, 0, 166725130.091, 333528.209355, 850, 166725130.091, -11675.4233189, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.004, 500188.574064, -23.3608539732, 166660364.709, -11685.4306543, 10000, -11685.4306543, -23.3608539732, 0, 166660364.709, 500188.574064, 850, 166660364.709, -11685.4306543, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.004, 500188.574064, -23.3608539732, 166660364.709, -11685.4306543, 10000, -11685.4306543, -23.3608539732, 0, 166660364.709, 500188.574064, 850, 166660364.709, -11685.4306543, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.004, 500188.574064, -23.3608539732, 166660364.709, -11685.4306543, 10000, -11685.4306543, -23.3608539732, 0, 166660364.709, 500188.574064, 850, 166660364.709, -11685.4306543, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.005, 666789.388675, -35.056125714, 166600814.611, -11695.2717408, 10000, -11695.2717408, -35.056125714, 0, 166600814.611, 666789.388675, 850, 166600814.611, -11695.2717408, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.005, 666789.388675, -35.056125714, 166600814.611, -11695.2717408, 10000, -11695.2717408, -35.056125714, 0, 166600814.611, 666789.388675, 850, 166600814.611, -11695.2717408, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.005, 666789.388675, -35.056125714, 166600814.611, -11695.2717408, 10000, -11695.2717408, -35.056125714, 0, 166600814.611, 666789.388675, 850, 166600814.611, -11695.2717408, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.006, 833332.74726, -46.761195503, 166543358.585, -11705.069789, 10000, -11705.069789, -46.761195503, 0, 166543358.585, 833332.74726, 850, 166543358.585, -11705.069789, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.006, 833332.74726, -46.761195503, 166543358.585, -11705.069789, 10000, -11705.069789, -46.761195503, 0, 166543358.585, 833332.74726, 850, 166543358.585, -11705.069789, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.006, 833332.74726, -46.761195503, 166543358.585, -11705.069789, 10000, -11705.069789, -46.761195503, 0, 166543358.585, 833332.74726, 850, 166543358.585, -11705.069789, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.007, 999819.508697, -58.4760453337, 166486761.437, -11714.8498306, 10000, -11714.8498306, -58.4760453337, 0, 166486761.437, 999819.508697, 850, 166486761.437, -11714.8498306, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.007, 999819.508697, -58.4760453337, 166486761.437, -11714.8498306, 10000, -11714.8498306, -58.4760453337, 0, 166486761.437, 999819.508697, 850, 166486761.437, -11714.8498306, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.007, 999819.508697, -58.4760453337, 166486761.437, -11714.8498306, 10000, -11714.8498306, -58.4760453337, 0, 166486761.437, 999819.508697, 850, 166486761.437, -11714.8498306, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.008, 1166250.04301, -70.200658187, 166430534.31, -11724.6128534, 10000, -11724.6128534, -70.200658187, 0, 166430534.31, 1166250.04301, 850, 166430534.31, -11724.6128534, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.008, 1166250.04301, -70.200658187, 166430534.31, -11724.6128534, 10000, -11724.6128534, -70.200658187, 0, 166430534.31, 1166250.04301, 850, 166430534.31, -11724.6128534, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.008, 1166250.04301, -70.200658187, 166430534.31, -11724.6128534, 10000, -11724.6128534, -70.200658187, 0, 166430534.31, 1166250.04301, 850, 166430534.31, -11724.6128534, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.009, 1332624.51282, -81.9350178389, 166374469.813, -11734.3596519, 10000, -11734.3596519, -81.9350178389, 0, 166374469.813, 1332624.51282, 850, 166374469.813, -11734.3596519, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.009, 1332624.51282, -81.9350178389, 166374469.813, -11734.3596519, 10000, -11734.3596519, -81.9350178389, 0, 166374469.813, 1332624.51282, 850, 166374469.813, -11734.3596519, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.009, 1332624.51282, -81.9350178389, 166374469.813, -11734.3596519, 10000, -11734.3596519, -81.9350178389, 0, 166374469.813, 1332624.51282, 850, 166374469.813, -11734.3596519, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.01, 1498943.01235, -93.6791087117, 166318499.532, -11744.0908729, 10000, -11744.0908729, -93.6791087117, 0, 166318499.532, 1498943.01235, 850, 166318499.532, -11744.0908729, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.01, 1498943.01235, -93.6791087117, 166318499.532, -11744.0908729, 10000, -11744.0908729, -93.6791087117, 0, 166318499.532, 1498943.01235, 850, 166318499.532, -11744.0908729, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.01, 1498943.01235, -93.6791087117, 166318499.532, -11744.0908729, 10000, -11744.0908729, -93.6791087117, 0, 166318499.532, 1498943.01235, 850, 166318499.532, -11744.0908729, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.011, 1665205.595, -105.432915768, 166262582.643, -11753.807056, 10000, -11753.807056, -105.432915768, 0, 166262582.643, 1665205.595, 850, 166262582.643, -11753.807056, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.011, 1665205.595, -105.432915768, 166262582.643, -11753.807056, 10000, -11753.807056, -105.432915768, 0, 166262582.643, 1665205.595, 850, 166262582.643, -11753.807056, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.011, 1665205.595, -105.432915768, 166262582.643, -11753.807056, 10000, -11753.807056, -105.432915768, 0, 166262582.643, 1665205.595, 850, 166262582.643, -11753.807056, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.012, 1831412.30846, -117.196424434, 166206713.462, -11763.5086659, 10000, -11763.5086659, -117.196424434, 0, 166206713.462, 1831412.30846, 850, 166206713.462, -11763.5086659, 0, 850, 10000, 3, 3, 0, 0, 0, 0
0.012, 1831412.30846, -117.196424434, 166206713.462, -11763.5086659, 10000, -11763.5086659, -117.196424434, 0, 166206713.462, 1831412.30846, 850, 166206713.462, -11763.5086659, 0, 850, 10000, 3, 3, 0, 0, 0, 0
