time;Tmax
200.1;1066.09
200.102;1066.1
200.107;1066.11
200.118;1066.14
200.138;1066.19
200.177;1066.29
200.257;1066.47
200.417;1066.73
200.737;1067.1
201.377;1067.54
202.369;1068.02
203.362;1068.51
204.354;1069.02
205.346;1069.53
206.339;1070.05
207.331;1070.59
208.323;1071.13
209.316;1071.69
210.308;1072.25
211.3;1072.83
212.292;1073.42
213.285;1074.02
214.277;1074.63
215.269;1075.25
216.262;1075.87
217.254;1076.5
218.246;1077.12
219.239;1077.75
220.231;1078.37
221.223;1078.99
222.215;1079.6
223.208;1080.2
224.2;1080.78
225.192;1081.35
226.185;1081.89
227.177;1082.41
228.169;1082.9
229.162;1083.37
230.154;1083.81
231.146;1084.22
232.139;1084.61
233.131;1084.97
234.123;1085.31
235.115;1085.63
236.108;1085.93
237.1;1086.21
238.092;1086.47
239.085;1086.71
240.077;1086.94
241.069;1087.15
242.062;1087.37
243.054;1087.57
244.046;1087.75
245.038;1087.92
246.031;1088.08
247.023;1088.22
248.015;1088.35
249.008;1088.47
250;1088.58
251;1088.68
252;1088.78
253;1088.87
254;1088.96
255;1089.04
256;1089.11
257;1089.18
258;1089.24
259;1089.3
260;1089.35
261;1089.4
262;1089.45
263;1089.49
264;1089.54
265;1089.58
266;1089.62
267;1089.66
268;1089.69
269;1089.73
270;1089.77
271;1089.81
272;1089.85
273;1089.88
274;1089.93
275;1089.97
276;1090.01
277;1090.06
278;1090.1
279;1090.16
280;1090.21
281;1090.27
282;1090.33
283;1090.39
284;1090.46
285;1090.53
286;1090.61
287;1090.69
288;1090.78
289;1090.87
290;1090.97
291;1091.08
292;1091.19
293;1091.32
294;1091.45
295;1091.58
296;1091.73
297;1091.88
298;1092.04
299;1092.2
300;1092.38
301;1092.56
302;1092.74
303;1092.94
304;1093.14
305;1093.35
306;1093.56
307;1093.78
308;1094.01
309;1094.25
310;1094.5
311;1094.75
312;1095.01
313;1095.27
314;1095.53
315;1095.8
316;1096.07
317;1096.34
318;1096.61
319;1096.89
320;1097.16
321;1097.43
322;1097.7
323;1097.97
324;1098.24
325;1098.5
326;1098.76
327;1099.02
328;1099.27
329;1099.51
330;1099.75
331;1099.99
332;1100.22
333;1100.44
334;1100.66
335;1100.87
336;1101.08
337;1101.29
338;1101.48
339;1101.67
340;1101.86
341;1102.03
342;1102.2
343;1102.36
344;1102.51
345;1102.66
346;1102.8
347;1102.93
348;1103.06
349;1103.17
350;1103.29
351;1103.39
352;1103.49
353;1103.59
354;1103.68
355;1103.77
356;1103.85
357;1103.93
358;1104.01
359;1104.08
360;1104.15
361;1104.21
362;1104.27
363;1104.33
364;1104.39
365;1104.44
366;1104.49
367;1104.54
368;1104.58
369;1104.63
370;1104.67
371;1104.72
372;1104.76
373;1104.8
374;1104.84
375;1104.88
376;1104.92
377;1104.96
378;1105.01
379;1105.05
380;1105.09
381;1105.14
382;1105.18
383;1105.23
384;1105.28
385;1105.33
386;1105.38
387;1105.43
388;1105.49
389;1105.54
390;1105.6
391;1105.66
392;1105.73
393;1105.8
394;1105.86
395;1105.94
396;1106.01
397;1106.09
398;1106.17
399;1106.25
400;1106.33
401;1106.42
402;1106.51
403;1106.6
404;1106.7
405;1106.8
406;1106.91
407;1107.01
408;1107.12
409;1107.23
410;1107.35
411;1107.46
412;1107.58
413;1107.7
414;1107.82
415;1107.95
416;1108.07
417;1108.19
418;1108.32
419;1108.45
420;1108.58
421;1108.71
422;1108.83
423;1108.96
424;1109.09
425;1109.22
426;1109.35
427;1109.48
428;1109.61
429;1109.74
430;1109.87
431;1109.99
432;1109.65
433;1109.09
434;1108.45
435;1107.75
436;1107.01
437;1106.25
438;1105.48
439;1104.7
440;1103.95
441;1103.22
442;1102.5
443;1101.78
444;1101.43
445;1101.15
446;1100.84
447;1100.47
448;1102.6
449;1104.76
450;1106.73
451;1108.48
452;1109.94
453;1111.11
454;1112.05
455;1112.75
456;1113.26
457;1113.61
458;1113.92
459;1114.15
460;1114.34
461;1114.47
462;1114.52
463;1114.55
464;1114.55
465;1114.52
466;1114.47
467;1114.4
468;1114.32
469;1114.24
470;1114.16
471;1114.09
472;1114.02
473;1113.96
474;1113.92
475;1113.88
476;1113.84
477;1113.82
478;1113.8
479;1113.79
480;1113.78
481;1113.78
482;1113.78
483;1113.79
484;1113.8
485;1113.82
486;1113.84
487;1113.86
488;1113.88
489;1113.9
490;1113.93
491;1113.96
492;1113.99
493;1114.02
494;1114.05
495;1114.09
496;1114.13
497;1114.16
498;1114.2
499;1114.25
500;1114.29
