time;flux0;flux1;flux2;flux3;flux4;flux5
200.1;8.70677e+16;3.40838e+17;8.25855e+17;5.64314e+17;4.19958e+17;2.37351e+16
200.102;8.70687e+16;3.40841e+17;8.2586e+17;5.64316e+17;4.19958e+17;2.3735e+16
200.107;8.70695e+16;3.40845e+17;8.25866e+17;5.6432e+17;4.1996e+17;2.3735e+16
200.118;8.70709e+16;3.4085e+17;8.25878e+17;5.64328e+17;4.19965e+17;2.37349e+16
200.138;8.70733e+16;3.40859e+17;8.25899e+17;5.64341e+17;4.19972e+17;2.37348e+16
200.177;8.70774e+16;3.40875e+17;8.25935e+17;5.64363e+17;4.19985e+17;2.37346e+16
200.257;8.70837e+16;3.40899e+17;8.25988e+17;5.64396e+17;4.20004e+17;2.37343e+16
200.417;8.70912e+16;3.40928e+17;8.26056e+17;5.64441e+17;4.2003e+17;2.37338e+16
200.737;8.71009e+16;3.40966e+17;8.26142e+17;5.64495e+17;4.20061e+17;2.37333e+16
201.377;8.71118e+16;3.41006e+17;8.26236e+17;5.64555e+17;4.20095e+17;2.37327e+16
202.369;8.71228e+16;3.4105e+17;8.26334e+17;5.64616e+17;4.20131e+17;2.3732e+16
203.362;8.71343e+16;3.41093e+17;8.26434e+17;5.64679e+17;4.20167e+17;2.37314e+16
204.354;8.71456e+16;3.41137e+17;8.26533e+17;5.64742e+17;4.20204e+17;2.37307e+16
205.346;8.7157e+16;3.4118e+17;8.26633e+17;5.64806e+17;4.2024e+17;2.373e+16
206.339;8.71686e+16;3.41225e+17;8.26735e+17;5.64869e+17;4.20276e+17;2.37293e+16
207.331;8.71799e+16;3.41268e+17;8.26833e+17;5.64931e+17;4.20312e+17;2.37287e+16
208.323;8.71913e+16;3.41312e+17;8.26933e+17;5.64994e+17;4.20348e+17;2.3728e+16
209.316;8.72024e+16;3.41355e+17;8.27029e+17;5.65056e+17;4.20384e+17;2.37274e+16
210.308;8.72138e+16;3.41398e+17;8.27129e+17;5.65118e+17;4.20418e+17;2.37267e+16
211.3;8.72249e+16;3.41441e+17;8.27225e+17;5.65178e+17;4.20453e+17;2.37261e+16
212.292;8.72356e+16;3.41482e+17;8.27318e+17;5.65237e+17;4.20487e+17;2.37255e+16
213.285;8.72462e+16;3.41523e+17;8.27411e+17;5.65296e+17;4.2052e+17;2.37248e+16
214.277;8.72569e+16;3.41563e+17;8.27504e+17;5.65353e+17;4.20552e+17;2.37242e+16
215.269;8.72669e+16;3.41602e+17;8.27591e+17;5.65408e+17;4.20585e+17;2.37237e+16
216.262;8.7277e+16;3.4164e+17;8.27678e+17;5.65463e+17;4.20615e+17;2.37231e+16
217.254;8.72867e+16;3.41677e+17;8.2776e+17;5.65515e+17;4.20645e+17;2.37225e+16
218.246;8.72958e+16;3.41713e+17;8.2784e+17;5.65565e+17;4.20674e+17;2.3722e+16
219.239;8.73049e+16;3.41747e+17;8.27919e+17;5.65614e+17;4.20701e+17;2.37215e+16
220.231;8.73136e+16;3.4178e+17;8.27993e+17;5.6566e+17;4.20727e+17;2.3721e+16
221.223;8.73215e+16;3.41811e+17;8.28063e+17;5.65705e+17;4.20753e+17;2.37205e+16
222.215;8.73293e+16;3.41841e+17;8.28131e+17;5.65746e+17;4.20777e+17;2.37201e+16
223.208;8.73366e+16;3.41868e+17;8.28196e+17;5.65787e+17;4.208e+17;2.37197e+16
224.2;8.73439e+16;3.41896e+17;8.28258e+17;5.65825e+17;4.20821e+17;2.37193e+16
225.192;8.73505e+16;3.41922e+17;8.28313e+17;5.65862e+17;4.20842e+17;2.37189e+16
226.185;8.73568e+16;3.41946e+17;8.28369e+17;5.65895e+17;4.20861e+17;2.37185e+16
227.177;8.73627e+16;3.41968e+17;8.2842e+17;5.65927e+17;4.20879e+17;2.37182e+16
228.169;8.73684e+16;3.4199e+17;8.28468e+17;5.65957e+17;4.20896e+17;2.37179e+16
229.162;8.73733e+16;3.42009e+17;8.28513e+17;5.65986e+17;4.20912e+17;2.37176e+16
230.154;8.73785e+16;3.42029e+17;8.28556e+17;5.66012e+17;4.20927e+17;2.37173e+16
231.146;8.73831e+16;3.42046e+17;8.28596e+17;5.66036e+17;4.20941e+17;2.3717e+16
232.139;8.73874e+16;3.42062e+17;8.28632e+17;5.66059e+17;4.20954e+17;2.37168e+16
233.131;8.73911e+16;3.42077e+17;8.28666e+17;5.66081e+17;4.20966e+17;2.37166e+16
234.123;8.73949e+16;3.42091e+17;8.28698e+17;5.66101e+17;4.20977e+17;2.37164e+16
235.115;8.73985e+16;3.42105e+17;8.28728e+17;5.66119e+17;4.20987e+17;2.37162e+16
236.108;8.74016e+16;3.42117e+17;8.28755e+17;5.66136e+17;4.20997e+17;2.3716e+16
237.1;8.74045e+16;3.42128e+17;8.2878e+17;5.66152e+17;4.21006e+17;2.37158e+16
238.092;8.74071e+16;3.42138e+17;8.28804e+17;5.66166e+17;4.21014e+17;2.37157e+16
239.085;8.74097e+16;3.42148e+17;8.28826e+17;5.6618e+17;4.21022e+17;2.37155e+16
240.077;8.74121e+16;3.42157e+17;8.28846e+17;5.66192e+17;4.21029e+17;2.37154e+16
241.069;8.74141e+16;3.42165e+17;8.28863e+17;5.66204e+17;4.21036e+17;2.37153e+16
242.062;8.74162e+16;3.42173e+17;8.28881e+17;5.66215e+17;4.21042e+17;2.37152e+16
243.054;8.74181e+16;3.4218e+17;8.28897e+17;5.66224e+17;4.21047e+17;2.37151e+16
244.046;8.742e+16;3.42187e+17;8.28913e+17;5.66234e+17;4.21052e+17;2.3715e+16
245.038;8.74217e+16;3.42194e+17;8.28927e+17;5.66242e+17;4.21057e+17;2.37149e+16
246.031;8.74233e+16;3.422e+17;8.28941e+17;5.6625e+17;4.21061e+17;2.37148e+16
247.023;8.74248e+16;3.42205e+17;8.28953e+17;5.66258e+17;4.21065e+17;2.37147e+16
248.015;8.74261e+16;3.4221e+17;8.28965e+17;5.66265e+17;4.21069e+17;2.37146e+16
249.008;8.74274e+16;3.42215e+17;8.28976e+17;5.66272e+17;4.21073e+17;2.37146e+16
250;8.74286e+16;3.4222e+17;8.28987e+17;5.66279e+17;4.21077e+17;2.37145e+16
251;8.74297e+16;3.42225e+17;8.28997e+17;5.66285e+17;4.21081e+17;2.37145e+16
252;8.74309e+16;3.42229e+17;8.29007e+17;5.66292e+17;4.21084e+17;2.37144e+16
253;8.74322e+16;3.42234e+17;8.29016e+17;5.66297e+17;4.21088e+17;2.37144e+16
254;8.74329e+16;3.42237e+17;8.29026e+17;5.66304e+17;4.21092e+17;2.37143e+16
255;8.74341e+16;3.42241e+17;8.29036e+17;5.6631e+17;4.21095e+17;2.37142e+16
256;8.74355e+16;3.42246e+17;8.29047e+17;5.66316e+17;4.21098e+17;2.37142e+16
257;8.74367e+16;3.42251e+17;8.29056e+17;5.66322e+17;4.21102e+17;2.37141e+16
258;8.7438e+16;3.42256e+17;8.29066e+17;5.66328e+17;4.21106e+17;2.37141e+16
259;8.74393e+16;3.42261e+17;8.29077e+17;5.66334e+17;4.21109e+17;2.3714e+16
260;8.74398e+16;3.42263e+17;8.29085e+17;5.66342e+17;4.21114e+17;2.37139e+16
261;8.74415e+16;3.42269e+17;8.29098e+17;5.66347e+17;4.21118e+17;2.37139e+16
262;8.74431e+16;3.42275e+17;8.29109e+17;5.66353e+17;4.21122e+17;2.37138e+16
263;8.74444e+16;3.4228e+17;8.29119e+17;5.66363e+17;4.21126e+17;2.37137e+16
264;8.74453e+16;3.42284e+17;8.29132e+17;5.66371e+17;4.21131e+17;2.37136e+16
265;8.74471e+16;3.42291e+17;8.29145e+17;5.66377e+17;4.21135e+17;2.37136e+16
266;8.74488e+16;3.42297e+17;8.29158e+17;5.66386e+17;4.21141e+17;2.37135e+16
267;8.745e+16;3.42302e+17;8.29173e+17;5.66397e+17;4.21145e+17;2.37134e+16
268;8.74523e+16;3.42311e+17;8.29188e+17;5.66404e+17;4.21151e+17;2.37133e+16
269;8.74542e+16;3.42318e+17;8.29203e+17;5.66414e+17;4.21156e+17;2.37132e+16
270;8.74555e+16;3.42323e+17;8.2922e+17;5.66426e+17;4.21162e+17;2.37131e+16
271;8.74579e+16;3.42331e+17;8.29236e+17;5.66436e+17;4.21169e+17;2.3713e+16
272;8.746e+16;3.4234e+17;8.29261e+17;5.66453e+17;4.21172e+17;2.37126e+16
273;8.74629e+16;3.42351e+17;8.29279e+17;5.66462e+17;4.21179e+17;2.37126e+16
274;8.7464e+16;3.42356e+17;8.29294e+17;5.66473e+17;4.21189e+17;2.37126e+16
275;8.74666e+16;3.42366e+17;8.29319e+17;5.66486e+17;4.21196e+17;2.37124e+16
276;8.74689e+16;3.42375e+17;8.29337e+17;5.665e+17;4.21205e+17;2.37124e+16
277;8.74717e+16;3.42385e+17;8.29362e+17;5.66516e+17;4.21212e+17;2.37121e+16
278;8.74744e+16;3.42396e+17;8.29385e+17;5.6653e+17;4.21222e+17;2.3712e+16
279;8.74775e+16;3.42408e+17;8.29412e+17;5.66547e+17;4.21229e+17;2.37118e+16
280;8.74804e+16;3.42419e+17;8.29437e+17;5.66562e+17;4.2124e+17;2.37117e+16
281;8.74836e+16;3.42431e+17;8.29464e+17;5.6658e+17;4.2125e+17;2.37115e+16
282;8.74869e+16;3.42444e+17;8.29493e+17;5.66597e+17;4.2126e+17;2.37113e+16
283;8.74894e+16;3.42453e+17;8.29519e+17;5.66616e+17;4.21273e+17;2.37112e+16
284;8.74931e+16;3.42467e+17;8.29551e+17;5.66637e+17;4.21283e+17;2.3711e+16
285;8.74967e+16;3.42481e+17;8.29582e+17;5.66656e+17;4.21295e+17;2.37108e+16
286;8.75007e+16;3.42496e+17;8.29616e+17;5.66677e+17;4.21306e+17;2.37106e+16
287;8.75048e+16;3.42512e+17;8.29651e+17;5.66698e+17;4.21318e+17;2.37104e+16
288;8.7508e+16;3.42524e+17;8.29682e+17;5.6672e+17;4.21333e+17;2.37102e+16
289;8.75123e+16;3.42541e+17;8.2972e+17;5.66744e+17;4.21345e+17;2.37099e+16
290;8.75166e+16;3.42557e+17;8.29756e+17;5.66766e+17;4.21359e+17;2.37098e+16
291;8.75212e+16;3.42575e+17;8.29796e+17;5.66791e+17;4.21372e+17;2.37095e+16
292;8.7525e+16;3.4259e+17;8.29832e+17;5.66815e+17;4.21388e+17;2.37093e+16
293;8.75299e+16;3.42608e+17;8.29874e+17;5.66842e+17;4.21401e+17;2.3709e+16
294;8.75347e+16;3.42626e+17;8.29914e+17;5.66867e+17;4.21417e+17;2.37088e+16
295;8.75395e+16;3.42646e+17;8.29958e+17;5.66894e+17;4.21431e+17;2.37085e+16
296;8.75437e+16;3.42662e+17;8.29997e+17;5.6692e+17;4.21449e+17;2.37083e+16
297;8.75488e+16;3.42682e+17;8.30041e+17;5.66947e+17;4.21464e+17;2.3708e+16
298;8.75541e+16;3.42702e+17;8.30086e+17;5.66975e+17;4.2148e+17;2.37077e+16
299;8.75594e+16;3.42722e+17;8.30132e+17;5.67003e+17;4.21495e+17;2.37074e+16
300;8.75644e+16;3.42741e+17;8.30174e+17;5.67032e+17;4.21513e+17;2.37072e+16
301;8.75693e+16;3.4276e+17;8.30221e+17;5.67061e+17;4.2153e+17;2.37069e+16
302;8.75749e+16;3.42781e+17;8.30269e+17;5.6709e+17;4.21546e+17;2.37066e+16
303;8.75806e+16;3.42803e+17;8.30317e+17;5.67119e+17;4.21562e+17;2.37063e+16
