time;k_eff
200.1;0.933963
200.102;0.93395
200.107;0.933943
200.118;0.933933
200.138;0.933916
200.177;0.933888
200.257;0.933848
200.417;0.933809
200.737;0.933761
201.377;0.933716
202.369;0.933673
203.362;0.933632
204.354;0.933592
205.346;0.933552
206.339;0.933509
207.331;0.933469
208.323;0.933428
209.316;0.933391
210.308;0.933348
211.3;0.933309
212.292;0.933272
213.285;0.933235
214.277;0.933196
215.269;0.933162
216.262;0.933126
217.254;0.933089
218.246;0.933062
219.239;0.93303
220.231;0.932996
221.223;0.932971
222.215;0.932945
223.208;0.932922
224.2;0.932896
225.192;0.932874
226.185;0.932853
227.177;0.932834
228.169;0.932815
229.162;0.932801
230.154;0.932782
231.146;0.932766
232.139;0.932753
233.131;0.932743
234.123;0.932729
235.115;0.932717
236.108;0.932707
237.1;0.932698
238.092;0.93269
239.085;0.932682
240.077;0.932673
241.069;0.932668
242.062;0.932661
243.054;0.932654
244.046;0.932647
245.038;0.93264
246.031;0.932634
247.023;0.932629
248.015;0.932624
249.008;0.93262
250;0.932616
251;0.932612
252;0.932608
253;0.932601
254;0.932599
255;0.932598
256;0.932592
257;0.932584
258;0.932576
259;0.932568
260;0.932577
261;0.932569
262;0.932559
263;0.932552
264;0.932555
265;0.932545
266;0.932533
267;0.932536
268;0.932524
269;0.932512
270;0.932514
271;0.932499
272;0.932492
273;0.932477
274;0.93248
275;0.932467
276;0.932461
277;0.932449
278;0.932439
279;0.932426
280;0.932415
281;0.932403
282;0.93239
283;0.932387
284;0.932372
285;0.932358
286;0.932341
287;0.932325
288;0.932318
289;0.9323
290;0.932284
291;0.932265
292;0.932255
293;0.932235
294;0.932217
295;0.932199
296;0.932189
297;0.932169
298;0.932148
299;0.932127
300;0.93211
301;0.932094
302;0.932072
303;0.93205
304;0.932034
305;0.93202
306;0.931994
307;0.931974
308;0.931956
309;0.931934
310;0.931921
311;0.931896
312;0.93188
313;0.931861
314;0.931848
315;0.931823
316;0.931809
317;0.931788
318;0.931767
319;0.931757
320;0.931729
321;0.931726
322;0.931701
323;0.931696
324;0.931677
325;0.931659
326;0.931643
327;0.931627
328;0.931628
329;0.931609
330;0.931599
331;0.931584
332;0.931571
333;0.931558
334;0.931548
335;0.931537
336;0.931529
337;0.93152
338;0.931512
339;0.931504
340;0.931497
341;0.93149
342;0.931484
343;0.931478
344;0.931472
345;0.931467
346;0.931461
347;0.931456
348;0.931451
349;0.931441
350;0.931443
351;0.93144
352;0.931433
353;0.931423
354;0.931415
355;0.931408
356;0.931421
357;0.931413
358;0.931405
359;0.931399
360;0.931402
361;0.931393
362;0.931384
363;0.93139
364;0.931382
365;0.931372
366;0.931375
367;0.931366
368;0.931355
369;0.931361
370;0.931351
371;0.931348
372;0.931337
373;0.931335
374;0.931324
375;0.931328
376;0.931316
377;0.931305
378;0.931307
379;0.931294
380;0.931285
381;0.931285
382;0.931271
383;0.931275
384;0.93126
385;0.931255
386;0.931241
387;0.931243
388;0.931227
389;0.931223
390;0.931208
391;0.931211
392;0.931197
393;0.931188
394;0.931176
395;0.931175
396;0.931163
397;0.931147
398;0.931147
399;0.931135
400;0.931123
401;0.931117
402;0.931104
403;0.931097
404;0.931085
405;0.931072
406;0.931067
407;0.931054
408;0.931048
409;0.931035
410;0.931028
411;0.931015
412;0.931009
413;0.930996
414;0.931366
415;0.93071
416;0.930942
417;0.930964
418;0.930957
419;0.93095
420;0.930935
421;0.930931
422;0.930918
423;0.930911
424;0.9309
425;0.930889
426;0.930884
427;0.930874
428;0.930869
429;0.930859
430;0.930855
431;3.72677
432;0.90277
433;0.911809
434;0.913546
435;0.915096
436;0.916453
437;0.918711
438;0.920861
439;0.922796
440;0.924421
441;0.925753
442;0.926819
443;0.927658
444;0.928314
445;0.928826
446;0.929224
447;0.929534
448;0.929773
449;0.929957
450;0.930103
451;0.930217
452;0.930309
453;0.930381
454;0.930437
455;0.930482
456;0.93052
457;0.930551
458;0.930575
459;0.930594
460;0.930609
461;0.930621
462;0.930632
463;0.93064
464;0.930646
465;0.93065
466;0.930654
467;0.930657
468;0.930659
469;0.930659
470;0.930659
471;0.930657
472;0.930657
473;0.930656
474;0.930654
475;0.930652
476;0.93065
477;0.930648
478;0.930644
479;0.93064
480;0.930637
481;0.930634
482;0.930631
483;0.930626
484;0.930623
485;0.93062
486;0.930616
487;0.930612
488;0.930609
489;0.930605
490;0.9306
491;0.930595
492;0.930588
493;0.930583
494;0.930577
495;0.930569
496;0.930558
497;0.930557
498;0.930557
499;0.930549
500;0.930537
