time;power
200.1;2e+07
200.102;2e+07
200.107;2e+07
200.118;2e+07
200.138;2e+07
200.177;2e+07
200.257;2e+07
200.417;2e+07
200.737;2e+07
201.377;2e+07
202.369;2e+07
203.362;2e+07
204.354;2e+07
205.346;2e+07
206.339;2e+07
207.331;2e+07
208.323;2e+07
209.316;2e+07
210.308;2e+07
211.3;2e+07
212.292;2e+07
213.285;2e+07
214.277;2e+07
215.269;2e+07
216.262;2e+07
217.254;2e+07
218.246;2e+07
219.239;2e+07
220.231;2e+07
221.223;2e+07
222.215;2e+07
223.208;2e+07
224.2;2e+07
225.192;2e+07
226.185;2e+07
227.177;2e+07
228.169;2e+07
229.162;2e+07
230.154;2e+07
231.146;2e+07
232.139;2e+07
233.131;2e+07
234.123;2e+07
235.115;2e+07
236.108;2e+07
237.1;2e+07
238.092;2e+07
239.085;2e+07
240.077;2e+07
241.069;2e+07
242.062;2e+07
243.054;2e+07
244.046;2e+07
245.038;2e+07
246.031;2e+07
247.023;2e+07
248.015;2e+07
249.008;2e+07
250;2e+07
251;2e+07
252;2e+07
253;2e+07
254;2e+07
255;2e+07
256;2e+07
257;2e+07
258;2e+07
259;2e+07
260;2e+07
261;2e+07
262;2e+07
263;2e+07
264;2e+07
265;2e+07
266;2e+07
267;2e+07
268;2e+07
269;2e+07
270;2e+07
271;2e+07
272;2e+07
273;2e+07
274;2e+07
275;2e+07
276;2e+07
277;2e+07
278;2e+07
279;2e+07
280;2e+07
281;2e+07
282;2e+07
283;2e+07
284;2e+07
285;2e+07
286;2e+07
287;2e+07
288;2e+07
289;2e+07
290;2e+07
291;2e+07
292;2e+07
293;2e+07
294;2e+07
295;2e+07
296;2e+07
297;2e+07
298;2e+07
299;2e+07
300;2e+07
301;2e+07
302;2e+07
303;2e+07
304;2e+07
305;2e+07
306;2e+07
307;2e+07
308;2e+07
309;2e+07
310;2e+07
311;2e+07
312;2e+07
313;2e+07
314;2e+07
315;2e+07
316;2e+07
317;2e+07
318;2e+07
319;2e+07
320;2e+07
321;2e+07
322;2e+07
323;2e+07
324;2e+07
325;2e+07
326;2e+07
327;2e+07
328;2e+07
329;2e+07
330;2e+07
331;2e+07
332;2e+07
333;2e+07
334;2e+07
335;2e+07
336;2e+07
337;2e+07
338;2e+07
339;2e+07
340;2e+07
341;2e+07
342;2e+07
343;2e+07
344;2e+07
345;2e+07
346;2e+07
347;2e+07
348;2e+07
349;2e+07
350;2e+07
351;2e+07
352;2e+07
353;2e+07
354;2e+07
355;2e+07
356;2e+07
357;2e+07
358;2e+07
359;2e+07
360;2e+07
361;2e+07
362;2e+07
363;2e+07
364;2e+07
365;2e+07
366;2e+07
367;2e+07
368;2e+07
369;2e+07
370;2e+07
371;2e+07
372;2e+07
373;2e+07
374;2e+07
375;2e+07
376;2e+07
377;2e+07
378;2e+07
379;2e+07
380;2e+07
381;2e+07
382;2e+07
383;2e+07
384;2e+07
385;2e+07
386;2e+07
387;2e+07
388;2e+07
389;2e+07
390;2e+07
391;2e+07
392;2e+07
393;2e+07
394;2e+07
395;2e+07
396;2e+07
397;2e+07
398;2e+07
399;2e+07
400;2e+07
401;2e+07
402;2e+07
403;2e+07
404;2e+07
405;2e+07
406;2e+07
407;2e+07
408;2e+07
409;2e+07
410;2e+07
411;2e+07
412;2e+07
413;2e+07
414;2e+07
415;2e+07
416;2e+07
417;2e+07
418;2e+07
419;2e+07
420;2e+07
421;2e+07
422;2e+07
423;2e+07
424;2e+07
425;2e+07
426;2e+07
427;2e+07
428;2e+07
429;2e+07
430;2e+07
431;2e+07
432;2e+07
433;2e+07
434;2e+07
435;2e+07
436;2e+07
437;2e+07
438;2e+07
439;2e+07
440;2e+07
441;2e+07
442;2e+07
443;2e+07
444;2e+07
445;2e+07
446;2e+07
447;2e+07
448;2e+07
449;2e+07
450;2e+07
451;2e+07
452;2e+07
453;2e+07
454;2e+07
455;2e+07
456;2e+07
457;2e+07
458;2e+07
459;2e+07
460;2e+07
461;2e+07
462;2e+07
463;2e+07
464;2e+07
465;2e+07
466;2e+07
467;2e+07
468;2e+07
469;2e+07
470;2e+07
471;2e+07
472;2e+07
473;2e+07
474;2e+07
475;2e+07
476;2e+07
477;2e+07
478;2e+07
479;2e+07
480;2e+07
481;2e+07
482;2e+07
483;2e+07
484;2e+07
485;2e+07
486;2e+07
487;2e+07
488;2e+07
489;2e+07
490;2e+07
491;2e+07
492;2e+07
493;2e+07
494;2e+07
495;2e+07
496;2e+07
497;2e+07
498;2e+07
499;2e+07
500;2e+07
