time;Tav
200.1;967.648
200.102;967.656
200.107;967.671
200.118;967.7
200.138;967.75
200.177;967.83
200.257;967.946
200.417;968.093
200.737;968.263
201.377;968.449
202.369;968.64
203.362;968.831
204.354;969.021
205.346;969.211
206.339;969.4
207.331;969.588
208.323;969.776
209.316;969.964
210.308;970.151
211.3;970.338
212.292;970.524
213.285;970.71
214.277;970.896
215.269;971.08
216.262;971.265
217.254;971.448
218.246;971.63
219.239;971.812
220.231;971.993
221.223;972.173
222.215;972.352
223.208;972.53
224.2;972.708
225.192;972.885
226.185;973.061
227.177;973.237
228.169;973.413
229.162;973.588
230.154;973.762
231.146;973.935
232.139;974.108
233.131;974.28
234.123;974.452
235.115;974.622
236.108;974.793
237.1;974.963
238.092;975.132
239.085;975.3
240.077;975.468
241.069;975.636
242.062;975.803
243.054;975.969
244.046;976.134
245.038;976.299
246.031;976.464
247.023;976.627
248.015;976.79
249.008;976.952
250;977.113
251;977.273
252;977.432
253;977.59
254;977.748
255;977.904
256;978.059
257;978.213
258;978.366
259;978.517
260;978.668
261;978.817
262;978.964
263;979.111
264;979.256
265;979.4
266;979.542
267;979.683
268;979.823
269;979.961
270;980.098
271;980.234
272;980.369
273;980.502
274;980.633
275;980.764
276;980.894
277;981.022
278;981.149
279;981.275
280;981.4
281;981.524
282;981.647
283;981.77
284;981.891
285;982.012
286;982.132
287;982.252
288;982.371
289;982.49
290;982.608
291;982.725
292;982.843
293;982.959
294;983.076
295;983.192
296;983.308
297;983.424
298;983.539
299;983.654
300;983.769
301;983.884
302;983.999
303;984.114
304;984.228
305;984.342
306;984.456
307;984.57
308;984.684
309;984.797
310;984.911
311;985.024
312;985.137
313;985.25
314;985.362
315;985.474
316;985.587
317;985.698
318;985.81
319;985.921
320;986.032
321;986.143
322;986.253
323;986.363
324;986.473
325;986.583
326;986.692
327;986.8
328;986.909
329;987.017
330;987.124
331;987.232
332;987.339
333;987.446
334;987.552
335;987.658
336;987.764
337;987.868
338;987.973
339;988.077
340;988.181
341;988.284
342;988.386
343;988.488
344;988.59
345;988.691
346;988.792
347;988.892
348;988.991
349;989.09
350;989.189
351;989.286
352;989.384
353;989.48
354;989.576
355;989.672
356;989.767
357;989.861
358;989.954
359;990.047
360;990.14
361;990.231
362;990.322
363;990.413
364;990.502
365;990.591
366;990.68
367;990.768
368;990.855
369;990.941
370;991.027
371;991.112
372;991.196
373;991.28
374;991.363
375;991.446
376;991.528
377;991.609
378;991.69
379;991.77
380;991.85
381;991.929
382;992.007
383;992.085
384;992.163
385;992.24
386;992.317
387;992.393
388;992.468
389;992.544
390;992.619
391;992.694
392;992.768
393;992.842
394;992.915
395;992.988
396;993.061
397;993.134
398;993.206
399;993.278
400;993.35
401;993.422
402;993.493
403;993.564
404;993.635
405;993.706
406;993.776
407;993.847
408;993.917
409;993.987
410;994.056
411;994.126
412;994.195
413;994.265
414;994.334
415;994.403
416;994.471
417;994.54
418;994.608
419;994.677
420;994.745
421;994.813
422;994.88
423;994.948
424;995.015
425;995.082
426;995.149
427;995.216
428;995.283
429;995.349
430;995.415
431;995.481
432;997.192
433;996.801
434;996.86
435;996.918
436;996.982
437;997.049
438;997.117
439;997.186
440;997.253
441;997.317
442;997.378
443;997.435
444;997.488
445;997.539
446;997.588
447;997.637
448;997.686
449;997.735
450;997.784
451;997.834
452;997.883
453;997.931
454;997.979
455;998.024
456;998.068
457;998.11
458;998.152
459;998.193
460;998.234
461;998.276
462;998.319
463;998.364
464;998.41
465;998.459
466;998.509
467;998.561
468;998.615
469;998.669
470;998.724
471;998.78
472;998.836
473;998.893
474;998.951
475;999.009
476;999.068
477;999.127
478;999.187
479;999.247
480;999.308
481;999.369
482;999.43
483;999.49
484;999.55
485;999.608
486;999.665
487;999.72
488;999.773
489;999.824
490;999.872
491;999.918
492;999.96
493;1000
494;1000.04
495;1000.07
496;1000.1
497;1000.13
498;1000.16
499;1000.19
500;1000.21
