time;Tmin
200.1;912.127
200.102;912.127
200.107;912.128
200.118;912.13
200.138;912.134
200.177;912.14
200.257;912.147
200.417;912.155
200.737;912.164
201.377;912.173
202.369;912.182
203.362;912.191
204.354;912.199
205.346;912.207
206.339;912.215
207.331;912.223
208.323;912.231
209.316;912.24
210.308;912.248
211.3;912.258
212.292;912.268
213.285;912.28
214.277;912.293
215.269;912.308
216.262;912.325
217.254;912.345
218.246;912.366
219.239;912.391
220.231;912.417
221.223;912.447
222.215;912.479
223.208;912.514
224.2;912.552
225.192;912.592
226.185;912.636
227.177;912.683
228.169;912.73
229.162;912.776
230.154;912.826
231.146;912.88
232.139;912.936
233.131;912.996
234.123;913.059
235.115;913.126
236.108;913.196
237.1;913.269
238.092;913.346
239.085;913.426
240.077;913.51
241.069;913.597
242.062;913.688
243.054;913.783
244.046;913.881
245.038;913.982
246.031;914.087
247.023;914.196
248.015;914.307
249.008;914.421
250;914.538
251;914.657
252;914.778
253;914.9
254;915.024
255;915.149
256;915.275
257;915.401
258;915.528
259;915.654
260;915.78
261;915.905
262;916.028
263;916.15
264;916.269
265;916.386
266;916.501
267;916.613
268;916.723
269;916.829
270;916.932
271;917.032
272;917.129
273;917.222
274;917.312
275;917.398
276;917.48
277;917.559
278;917.635
279;917.706
280;917.774
281;917.839
282;917.9
283;917.957
284;918.011
285;918.062
286;918.104
287;918.142
288;918.177
289;918.211
290;918.242
291;918.27
292;918.297
293;918.322
294;918.346
295;918.368
296;918.389
297;918.409
298;918.427
299;918.445
300;918.462
301;918.478
302;918.494
303;918.509
304;918.524
305;918.54
306;918.555
307;918.57
308;918.585
309;918.601
310;918.617
311;918.634
312;918.652
313;918.67
314;918.689
315;918.71
316;918.731
317;918.754
318;918.777
319;918.803
320;918.829
321;918.858
322;918.888
323;918.919
324;918.953
325;918.988
326;919.025
327;919.064
328;919.105
329;919.148
330;919.194
331;919.241
332;919.29
333;919.342
334;919.393
335;919.444
336;919.498
337;919.553
338;919.61
339;919.669
340;919.731
341;919.794
342;919.86
343;919.927
344;919.996
345;920.066
346;920.139
347;920.213
348;920.288
349;920.364
350;920.442
351;920.52
352;920.6
353;920.68
354;920.761
355;920.842
356;920.923
357;921.004
358;921.086
359;921.167
360;921.248
361;921.329
362;921.409
363;921.488
364;921.567
365;921.645
366;921.721
367;921.797
368;921.871
369;921.944
370;922.016
371;922.085
372;922.154
373;922.22
374;922.285
375;922.348
376;922.409
377;922.468
378;922.526
379;922.581
380;922.634
381;922.684
382;922.729
383;922.772
384;922.813
385;922.852
386;922.89
387;922.925
388;922.959
389;922.992
390;923.023
391;923.052
392;923.081
393;923.107
394;923.133
395;923.158
396;923.181
397;923.204
398;923.225
399;923.246
400;923.267
401;923.286
402;923.306
403;923.324
404;923.343
405;923.361
406;923.379
407;923.397
408;923.414
409;923.432
410;923.45
411;923.468
412;923.486
413;923.505
414;923.524
415;923.544
416;923.564
417;923.584
418;923.606
419;923.628
420;923.65
421;923.674
422;923.698
423;923.723
424;923.75
425;923.777
426;923.805
427;923.834
428;923.864
429;923.895
430;923.927
431;923.961
432;924.002
433;924.038
434;924.075
435;924.112
436;924.151
437;924.191
438;924.232
439;924.274
440;924.318
441;924.363
442;924.41
443;924.459
444;924.51
445;924.562
446;924.615
447;924.668
448;924.72
449;924.772
450;924.825
451;924.876
452;924.926
453;924.974
454;925.021
455;925.068
456;925.114
457;925.16
458;925.206
459;925.252
460;925.298
461;925.345
462;925.392
463;925.439
464;925.486
465;925.533
466;925.58
467;925.627
468;925.673
469;925.72
470;925.766
471;925.814
472;925.861
473;925.91
474;925.959
475;926.01
476;926.063
477;926.116
478;926.169
479;926.224
480;926.281
481;926.34
482;926.401
483;926.464
484;926.529
485;926.597
486;926.665
487;926.735
488;926.806
489;926.877
490;926.948
491;927.017
492;927.085
493;927.15
494;927.213
495;927.271
496;927.315
497;927.351
498;927.381
499;927.405
500;927.422
