time;prec0;prec1;prec2;prec3;prec4;prec5;prec6;prec7
200.1;1.2991e+16;1.63471e+16;1.08274e+16;6.47246e+15;4.79923e+15;3.47855e+14;1.96205e+14;2.02323e+13
200.102;1.29901e+16;1.6346e+16;1.08282e+16;6.47201e+15;4.79889e+15;3.4783e+14;1.96191e+14;2.02309e+13
200.107;1.29903e+16;1.63462e+16;1.08278e+16;6.47208e+15;4.79894e+15;3.47834e+14;1.96193e+14;2.02311e+13
200.118;1.29903e+16;1.63463e+16;1.08273e+16;6.4721e+15;4.79895e+15;3.47835e+14;1.96193e+14;2.02311e+13
200.138;1.29904e+16;1.63463e+16;1.08281e+16;6.47211e+15;4.79896e+15;3.47835e+14;1.96193e+14;2.02311e+13
200.177;1.29905e+16;1.63463e+16;1.0828e+16;6.47213e+15;4.79898e+15;3.47837e+14;1.96194e+14;2.02312e+13
200.257;1.29907e+16;1.63466e+16;1.08281e+16;6.4722e+15;4.79904e+15;3.47841e+14;1.96197e+14;2.02315e+13
200.417;1.29911e+16;1.6347e+16;1.08284e+16;6.47236e+15;4.79916e+15;3.4785e+14;1.96202e+14;2.0232e+13
200.737;1.29917e+16;1.63475e+16;1.08283e+16;6.47253e+15;4.79929e+15;3.4786e+14;1.96207e+14;2.02326e+13
201.377;1.29924e+16;1.63483e+16;1.08307e+16;6.47278e+15;4.79949e+15;3.47875e+14;1.96216e+14;2.02334e+13
202.369;1.29932e+16;1.63491e+16;1.08305e+16;6.47306e+15;4.79971e+15;3.4789e+14;1.96224e+14;2.02344e+13
203.362;1.29941e+16;1.63499e+16;1.08299e+16;6.47335e+15;4.79993e+15;3.47906e+14;1.96233e+14;2.02353e+13
204.354;1.29949e+16;1.63507e+16;1.08273e+16;6.47363e+15;4.80014e+15;3.47922e+14;1.96242e+14;2.02362e+13
205.346;1.29957e+16;1.63516e+16;1.08321e+16;6.47391e+15;4.80036e+15;3.47937e+14;1.9625e+14;2.0237e+13
206.339;1.29965e+16;1.63524e+16;1.08317e+16;6.4742e+15;4.80057e+15;3.47952e+14;1.96259e+14;2.02379e+13
207.331;1.29974e+16;1.63533e+16;1.08319e+16;6.47451e+15;4.8008e+15;3.47969e+14;1.96268e+14;2.02388e+13
208.323;1.29982e+16;1.63541e+16;1.08327e+16;6.4748e+15;4.80102e+15;3.47985e+14;1.96276e+14;2.02397e+13
209.316;1.2999e+16;1.6355e+16;1.08328e+16;6.4751e+15;4.80125e+15;3.48001e+14;1.96285e+14;2.02406e+13
210.308;1.29997e+16;1.63558e+16;1.08339e+16;6.47539e+15;4.80146e+15;3.48016e+14;1.96294e+14;2.02415e+13
211.3;1.30006e+16;1.63567e+16;1.08341e+16;6.47571e+15;4.8017e+15;3.48033e+14;1.96303e+14;2.02424e+13
212.292;1.30013e+16;1.63575e+16;1.08346e+16;6.47601e+15;4.80192e+15;3.48049e+14;1.96312e+14;2.02433e+13
213.285;1.3002e+16;1.63583e+16;1.08348e+16;6.4763e+15;4.80214e+15;3.48064e+14;1.9632e+14;2.02442e+13
214.277;1.30027e+16;1.63591e+16;1.08355e+16;6.47659e+15;4.80235e+15;3.48079e+14;1.96328e+14;2.0245e+13
215.269;1.30035e+16;1.636e+16;1.08368e+16;6.4769e+15;4.80258e+15;3.48095e+14;1.96337e+14;2.02459e+13
216.262;1.30041e+16;1.63607e+16;1.08369e+16;6.47717e+15;4.80278e+15;3.4811e+14;1.96345e+14;2.02467e+13
217.254;1.30047e+16;1.63614e+16;1.0838e+16;6.47745e+15;4.80299e+15;3.48125e+14;1.96353e+14;2.02475e+13
218.246;1.30053e+16;1.63622e+16;1.08379e+16;6.47774e+15;4.80321e+15;3.4814e+14;1.96362e+14;2.02484e+13
219.239;1.30057e+16;1.63627e+16;1.08376e+16;6.47797e+15;4.80337e+15;3.48152e+14;1.96368e+14;2.02491e+13
220.231;1.30062e+16;1.63633e+16;1.08391e+16;6.47822e+15;4.80357e+15;3.48166e+14;1.96376e+14;2.02498e+13
