time;totalDisplacedCellsVolume
200.1;0.305683
200.102;0.305683
200.107;0.305683
200.118;0.305683
200.138;0.305683
200.177;0.305683
200.257;0.305683
200.417;0.305683
200.737;0.305683
201.377;0.305683
202.369;0.305683
203.362;0.305683
204.354;0.305683
205.346;0.305683
206.339;0.305683
207.331;0.305683
208.323;0.305683
209.316;0.305683
210.308;0.305683
211.3;0.305683
212.292;0.305683
213.285;0.305683
214.277;0.305683
215.269;0.305683
216.262;0.305683
217.254;0.305683
218.246;0.305683
219.239;0.305683
220.231;0.305683
221.223;0.305683
222.215;0.305683
223.208;0.305683
224.2;0.305683
225.192;0.305683
226.185;0.305683
227.177;0.305683
228.169;0.305683
229.162;0.305683
230.154;0.305683
231.146;0.305683
232.139;0.305683
233.131;0.305683
234.123;0.305683
235.115;0.305683
236.108;0.305683
237.1;0.305683
238.092;0.305683
239.085;0.305683
240.077;0.305683
241.069;0.305683
242.062;0.305683
243.054;0.305683
244.046;0.305683
245.038;0.305683
246.031;0.305683
247.023;0.305683
248.015;0.305683
249.008;0.305683
250;0.305683
251;0.305683
252;0.305683
253;0.305683
254;0.305683
255;0.305683
256;0.305683
257;0.305683
258;0.305683
259;0.305683
260;0.305683
261;0.305683
262;0.305683
263;0.305683
264;0.305683
265;0.305683
266;0.305683
267;0.305683
268;0.305683
269;0.305683
270;0.305683
271;0.305683
272;0.305683
273;0.305683
274;0.305683
275;0.305683
276;0.305683
277;0.305683
278;0.305683
279;0.305683
280;0.305683
281;0.305683
282;0.305683
283;0.305683
284;0.305683
285;0.305683
286;0.305683
287;0.305683
288;0.305683
289;0.305683
290;0.305683
291;0.305683
292;0.305683
293;0.305683
294;0.305683
295;0.305683
296;0.305683
297;0.305683
298;0.305683
299;0.305683
300;0.305683
301;0.305683
302;0.305683
303;0.305683
304;0.305683
305;0.305683
306;0.305683
307;0.305683
308;0.305683
309;0.305683
310;0.305683
311;0.305683
312;0.305683
313;0.305683
314;0.305683
315;0.305683
316;0.305683
317;0.305683
318;0.305683
319;0.305683
320;0.305683
321;0.305683
322;0.305683
323;0.305683
324;0.305683
325;0.305683
326;0.305683
327;0.305683
328;0.305683
329;0.305683
330;0.305683
331;0.305683
332;0.305683
333;0.305683
334;0.305683
335;0.305683
336;0.305683
337;0.305683
338;0.305683
339;0.305683
340;0.305683
341;0.305683
342;0.305683
343;0.305683
344;0.305683
345;0.305683
346;0.305683
347;0.305683
348;0.305683
349;0.305683
350;0.305683
351;0.305683
352;0.305683
353;0.305683
354;0.305683
355;0.305683
356;0.305683
357;0.305683
358;0.305683
359;0.305683
360;0.305683
361;0.305683
362;0.305683
363;0.305683
364;0.305683
365;0.305683
366;0.305683
367;0.305683
368;0.305683
369;0.305683
370;0.305683
371;0.305683
372;0.305683
373;0.305683
374;0.305683
375;0.305683
376;0.305683
377;0.305683
378;0.305683
379;0.305683
380;0.305683
381;0.305683
382;0.305683
383;0.305683
384;0.305683
385;0.305683
386;0.305683
387;0.305683
388;0.305683
389;0.305683
390;0.305683
391;0.305683
392;0.305683
393;0.305683
394;0.305683
395;0.305683
396;0.305683
397;0.305683
398;0.305683
399;0.305683
400;0.305683
401;0.305683
402;0.305683
403;0.305683
404;0.305683
405;0.305683
406;0.305683
407;0.305683
408;0.305683
409;0.305683
410;0.305683
411;0.305683
412;0.305683
413;0.305683
414;0.305683
415;0.305683
416;0.305683
417;0.305683
418;0.305683
419;0.305683
420;0.305683
421;0.305683
422;0.305683
423;0.305683
424;0.305683
425;0.305683
426;0.305683
427;0.305683
428;0.305683
429;0.305683
430;0.305683
431;0.305683
432;0.305683
433;0.305683
434;0.305683
435;0.305683
436;0.305683
437;0.305683
438;0.305683
439;0.305683
440;0.305683
441;0.305683
442;0.305683
443;0.305683
444;0.305683
445;0.305683
446;0.305683
447;0.305683
448;0.305683
449;0.305683
450;0.305683
451;0.305683
452;0.305683
453;0.305683
454;0.305683
455;0.305683
456;0.305683
457;0.305683
458;0.305683
459;0.305683
460;0.305683
461;0.305683
462;0.305683
463;0.305683
464;0.305683
465;0.305683
466;0.305683
467;0.305683
468;0.305683
469;0.305683
470;0.305683
471;0.305683
472;0.305683
473;0.305683
474;0.305683
475;0.305683
476;0.305683
477;0.305683
478;0.305683
479;0.305683
480;0.305683
481;0.305683
482;0.305683
483;0.305683
484;0.305683
485;0.305683
486;0.305683
487;0.305683
488;0.305683
489;0.305683
490;0.305683
491;0.305683
492;0.305683
493;0.305683
494;0.305683
495;0.305683
496;0.305683
497;0.305683
498;0.305683
499;0.305683
500;0.305683
