                time        tsurfi-60A01        tsurfi-60A02        tsurfi-60A03        tsurfi-60A04        tsurfi-60A05        tsurfi-60A06        tsurfi-60A07        tsurfi-60A08        tsurfi-60A09        tsurfi-60A10        tsurfi-60A11
                 (s)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)
     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------
             0.00000             300.000             300.000             300.000             300.000             300.000             300.000             300.000             300.000             300.000             300.000             300.000
             1.01018             300.014             300.009             300.005             300.003             300.002             300.001             300.001             300.000             300.000             300.000             300.000
             2.03374             300.051             300.039             300.029             300.021             300.015             300.010             300.007             300.005             300.003             300.002             300.001
             3.10978             300.100             300.082             300.068             300.055             300.044             300.035             300.027             300.021             300.016             300.012             300.008
             4.10978             300.150             300.128             300.111             300.094             300.080             300.067             300.056             300.046             300.037             300.030             300.024
             5.10978             300.202             300.177             300.157             300.138             300.121             300.105             300.091             300.078             300.066             300.056             300.047
             6.10978             300.255             300.228             300.206             300.185             300.165             300.147             300.130             300.115             300.100             300.087             300.076
             7.10978             300.309             300.281             300.256             300.233             300.211             300.191             300.172             300.154             300.138             300.123             300.109
             8.10978             300.364             300.334             300.307             300.283             300.259             300.237             300.216             300.196             300.178             300.161             300.145
             9.10978             300.420             300.388             300.360             300.333             300.308             300.284             300.261             300.240             300.220             300.201             300.182
             10.1098             300.476             300.442             300.413             300.384             300.358             300.332             300.308             300.285             300.263             300.243             300.221
             11.1098             300.533             300.498             300.466             300.437             300.408             300.381             300.355             300.331             300.307             300.285             300.262
             12.1098             300.590             300.554             300.521             300.490             300.460             300.431             300.404             300.378             300.353             300.329             300.304
             13.1098             300.648             300.610             300.576             300.543             300.512             300.482             300.453             300.425             300.399             300.374             300.346
             14.1098             300.707             300.667             300.632             300.597             300.565             300.533             300.503             300.474             300.447             300.420             300.390
             15.1098             300.766             300.725             300.688             300.652             300.618             300.585             300.554             300.524             300.495             300.467             300.434
             16.1098             300.826             300.783             300.745             300.708             300.672             300.638             300.605             300.574             300.544             300.515             300.479
             17.1098             300.886             300.842             300.802             300.764             300.727             300.692             300.658             300.625             300.593             300.563             300.525
             18.1098             300.946             300.901             300.860             300.821             300.783             300.746             300.710             300.676             300.644             300.612             300.571
             19.1098             301.007             300.961             300.919             300.878             300.839             300.801             300.764             300.729             300.695             300.662             300.619
             20.1098             301.069             301.021             300.978             300.936             300.895             300.856             300.818             300.782             300.747             300.713             300.667
             21.1098             301.131             301.082             301.037             300.994             300.952             300.912             300.873             300.836             300.799             300.764             300.715
             22.1098             301.193             301.143             301.097             301.053             301.010             300.969             300.929             300.890             300.853             300.816             300.764
             23.1098             301.255             301.204             301.158             301.112             301.068             301.026             300.985             300.945             300.906             300.869             300.814
             24.1098             301.318             301.266             301.219             301.172             301.127             301.084             301.041             301.000             300.961             300.923             300.865
             25.1098             301.382             301.329             301.280             301.232             301.186             301.142             301.099             301.057             301.016             300.977             300.916
             26.1098             301.445             301.391             301.342             301.293             301.246             301.201             301.156             301.113             301.072             301.031             300.968
             27.1098             301.509             301.454             301.404             301.354             301.306             301.260             301.215             301.171             301.128             301.087             301.020
             28.1098             301.574             301.518             301.466             301.416             301.367             301.320             301.273             301.229             301.185             301.143             301.073
             29.1098             301.638             301.582             301.529             301.478             301.428             301.380             301.333             301.287             301.242             301.199             301.127
             30.1098             301.703             301.646             301.592             301.540             301.490             301.441             301.393             301.346             301.300             301.256             301.181
             31.1098             301.768             301.710             301.656             301.603             301.552             301.502             301.453             301.405             301.359             301.314             301.235
             32.1098             301.834             301.775             301.720             301.667             301.614             301.563             301.514             301.465             301.418             301.372             301.290
             33.1098             301.900             301.840             301.784             301.730             301.677             301.625             301.575             301.526             301.478             301.431             301.346
             34.1098             301.966             301.905             301.849             301.794             301.740             301.688             301.636             301.586             301.538             301.490             301.402
             35.1098             302.032             301.971             301.914             301.858             301.804             301.750             301.698             301.648             301.598             301.550             301.459
             36.1098             302.099             302.037             301.979             301.923             301.868             301.814             301.761             301.709             301.659             301.610             301.516
             37.1098             302.166             302.103             302.045             301.988             301.932             301.877             301.824             301.772             301.720             301.671             301.573
             38.1098             302.233             302.170             302.111             302.053             301.996             301.941             301.887             301.834             301.782             301.732             301.631
             39.1098             302.300             302.236             302.177             302.119             302.061             302.005             301.951             301.897             301.845             301.793             301.689
             40.1098             302.368             302.303             302.243             302.184             302.127             302.070             302.015             301.960             301.907             301.855             301.748
             41.1098             302.435             302.371             302.310             302.251             302.192             302.135             302.079             302.024             301.970             301.918             301.807
             42.1098             302.503             302.438             302.377             302.317             302.258             302.200             302.144             302.088             302.034             301.981             301.867
             43.1098             302.571             302.506             302.444             302.384             302.324             302.266             302.209             302.153             302.098             302.044             301.927
             44.1098             302.640             302.574             302.512             302.451             302.391             302.332             302.274             302.218             302.162             302.108             301.987
             45.1098             302.708             302.642             302.579             302.518             302.457             302.398             302.340             302.283             302.227             302.172             302.048
             46.1098             302.777             302.710             302.647             302.585             302.524             302.465             302.406             302.348             302.292             302.236             302.109
             47.1098             302.846             302.778             302.715             302.653             302.592             302.531             302.472             302.414             302.357             302.301             302.171
             48.1098             302.915             302.847             302.783             302.721             302.659             302.598             302.539             302.480             302.423             302.366             302.233
             49.1098             302.984             302.916             302.852             302.789             302.727             302.666             302.606             302.547             302.489             302.432             302.295
             50.1098             303.053             302.985             302.921             302.857             302.795             302.733             302.673             302.614             302.555             302.498             302.358
             51.1098             303.123             303.054             302.990             302.926             302.863             302.801             302.740             302.681             302.622             302.564             302.420
             52.1098             303.192             303.123             303.059             302.995             302.932             302.869             302.808             302.748             302.689             302.630             302.484
             53.1098             303.262             303.193             303.128             303.064             303.000             302.938             302.876             302.816             302.756             302.697             302.547
             54.1098             303.332             303.263             303.197             303.133             303.069             303.006             302.944             302.883             302.823             302.764             302.611
             55.1098             303.402             303.332             303.267             303.202             303.138             303.075             303.013             302.952             302.891             302.832             302.675
             56.1098             303.472             303.402             303.337             303.272             303.207             303.144             303.082             303.020             302.959             302.899             302.739
             57.1098             303.542             303.473             303.406             303.341             303.277             303.213             303.151             303.089             303.028             302.967             302.804
             58.1098             303.613             303.543             303.477             303.411             303.347             303.283             303.220             303.158             303.096             303.036             302.869
             59.1098             303.683             303.613             303.547             303.481             303.416             303.352             303.289             303.227             303.165             303.104             302.934
             60.1098             303.754             303.684             303.617             303.551             303.486             303.422             303.359             303.296             303.234             303.173             303.000
             61.1098             303.824             303.754             303.688             303.622             303.557             303.492             303.429             303.366             303.303             303.242             303.065
             62.1098             303.895             303.825             303.758             303.692             303.627             303.562             303.499             303.435             303.373             303.311             303.131
             63.1098             303.966             303.896             303.829             303.763             303.697             303.633             303.569             303.505             303.443             303.381             303.197
             64.1098             304.037             303.967             303.900             303.834             303.768             303.703             303.639             303.576             303.513             303.451             303.264
             65.1098             304.108             304.038             303.971             303.905             303.839             303.774             303.710             303.646             303.583             303.521             303.331
             66.1098             304.179             304.109             304.042             303.976             303.910             303.845             303.780             303.717             303.653             303.591             303.397
             67.1098             304.251             304.180             304.113             304.047             303.981             303.916             303.851             303.787             303.724             303.661             303.465
             68.1098             304.322             304.252             304.185             304.118             304.052             303.987             303.922             303.858             303.795             303.732             303.532
             69.1098             304.393             304.323             304.256             304.190             304.124             304.058             303.994             303.929             303.866             303.803             303.599
             70.1098             304.465             304.395             304.328             304.261             304.195             304.130             304.065             304.001             303.937             303.874             303.667
             71.1098             304.537             304.466             304.399             304.333             304.267             304.201             304.137             304.072             304.009             303.945             303.735
             72.1098             304.608             304.538             304.471             304.405             304.339             304.273             304.208             304.144             304.080             304.017             303.803
             73.1098             304.680             304.610             304.543             304.477             304.411             304.345             304.280             304.216             304.152             304.088             303.872
             74.1098             304.752             304.682             304.615             304.548             304.483             304.417             304.352             304.288             304.224             304.160             303.940
             75.1098             304.824             304.754             304.687             304.621             304.555             304.489             304.424             304.360             304.296             304.232             304.009
             76.1098             304.896             304.826             304.759             304.693             304.627             304.561             304.497             304.432             304.368             304.304             304.078
             77.1098             304.968             304.898             304.831             304.765             304.699             304.634             304.569             304.504             304.440             304.377             304.147
             78.1098             305.040             304.970             304.903             304.837             304.772             304.706             304.641             304.577             304.513             304.449             304.216
             79.1098             305.112             305.042             304.976             304.910             304.844             304.779             304.714             304.650             304.586             304.522             304.285
             80.1098             305.184             305.114             305.048             304.982             304.917             304.852             304.787             304.722             304.658             304.595             304.355
             81.1098             305.256             305.187             305.121             305.055             304.990             304.924             304.860             304.795             304.731             304.667             304.424
             82.1098             305.328             305.259             305.193             305.128             305.062             304.997             304.933             304.868             304.804             304.741             304.494
             83.1098             305.401             305.332             305.266             305.200             305.135             305.070             305.006             304.941             304.878             304.814             304.564
             84.1098             305.473             305.404             305.339             305.273             305.208             305.143             305.079             305.015             304.951             304.887             304.634
             85.1098             305.545             305.477             305.411             305.346             305.281             305.217             305.152             305.088             305.024             304.961             304.704
             86.1098             305.618             305.549             305.484             305.419             305.354             305.290             305.226             305.162             305.098             305.034             304.775
             87.1098             305.690             305.622             305.557             305.492             305.428             305.363             305.299             305.235             305.172             305.108             304.845
             88.1098             305.763             305.695             305.630             305.565             305.501             305.437             305.373             305.309             305.245             305.182             304.916
             89.1098             305.835             305.768             305.703             305.639             305.574             305.510             305.446             305.383             305.319             305.256             304.987
             90.1098             305.908             305.840             305.776             305.712             305.648             305.584             305.520             305.457             305.393             305.330             305.057
             91.1098             305.980             305.913             305.849             305.785             305.721             305.657             305.594             305.530             305.467             305.404             305.128
             92.1098             306.053             305.986             305.922             305.858             305.795             305.731             305.668             305.605             305.542             305.478             305.199
             93.1098             306.126             306.059             305.995             305.932             305.868             305.805             305.742             305.679             305.616             305.553             305.271
             94.1098             306.199             306.132             306.069             306.005             305.942             305.879             305.816             305.753             305.690             305.627             305.342
             95.1098             306.271             306.205             306.142             306.079             306.016             305.953             305.890             305.827             305.765             305.702             305.413
             96.1098             306.344             306.278             306.215             306.152             306.090             306.027             305.964             305.902             305.839             305.777             305.485
             97.1098             306.417             306.351             306.289             306.226             306.163             306.101             306.039             305.976             305.914             305.852             305.556
             98.1098             306.490             306.424             306.362             306.300             306.237             306.175             306.113             306.051             305.989             305.926             305.628
             99.1098             306.563             306.498             306.436             306.373             306.311             306.249             306.187             306.125             306.064             306.001             305.700
             100.110             306.635             306.571             306.509             306.447             306.385             306.324             306.262             306.200             306.138             306.077             305.772
             101.110             306.708             306.644             306.582             306.521             306.459             306.398             306.336             306.275             306.213             306.152             305.844
             102.110             306.781             306.717             306.656             306.595             306.534             306.472             306.411             306.350             306.288             306.227             305.916
             103.110             306.854             306.790             306.730             306.669             306.608             306.547             306.486             306.425             306.364             306.302             305.988
             104.110             306.927             306.864             306.803             306.743             306.682             306.621             306.560             306.500             306.439             306.378             306.060
             105.110             307.000             306.937             306.877             306.817             306.756             306.696             306.635             306.575             306.514             306.453             306.133
             106.110             307.073             307.010             306.951             306.891             306.830             306.770             306.710             306.650             306.589             306.529             306.205
             107.110             307.146             307.084             307.024             306.965             306.905             306.845             306.785             306.725             306.665             306.604             306.278
             108.110             307.219             307.157             307.098             307.039             306.979             306.920             306.860             306.800             306.740             306.680             306.350
             109.110             307.292             307.231             307.172             307.113             307.054             306.994             306.935             306.875             306.816             306.756             306.423
             110.110             307.365             307.304             307.246             307.187             307.128             307.069             307.010             306.951             306.891             306.832             306.496
             111.110             307.439             307.378             307.319             307.261             307.202             307.144             307.085             307.026             306.967             306.908             306.568
             112.110             307.512             307.451             307.393             307.335             307.277             307.219             307.160             307.101             307.043             306.984             306.641
             113.110             307.585             307.525             307.467             307.409             307.351             307.293             307.235             307.177             307.118             307.060             306.714
             114.110             307.658             307.598             307.541             307.484             307.426             307.368             307.310             307.252             307.194             307.136             306.787
             115.110             307.731             307.672             307.615             307.558             307.501             307.443             307.386             307.328             307.270             307.212             306.860
             116.110             307.804             307.745             307.689             307.632             307.575             307.518             307.461             307.404             307.346             307.288             306.933
             117.110             307.877             307.819             307.763             307.706             307.650             307.593             307.536             307.479             307.422             307.364             307.006
             118.110             307.951             307.892             307.837             307.781             307.725             307.668             307.612             307.555             307.498             307.440             307.080
             119.110             308.024             307.966             307.911             307.855             307.799             307.743             307.687             307.631             307.574             307.517             307.153
             120.110             308.097             308.039             307.985             307.929             307.874             307.818             307.762             307.706             307.650             307.593             307.226
             121.110             308.170             308.113             308.059             308.004             307.949             307.893             307.838             307.782             307.726             307.670             307.300
