                time        tsurfi-50A01        tsurfi-50A02        tsurfi-50A03        tsurfi-50A04        tsurfi-50A05        tsurfi-50A06        tsurfi-50A07        tsurfi-50A08        tsurfi-50A09        tsurfi-50A10        tsurfi-50A11
                 (s)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)
     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------
             0.00000             300.000             300.000             300.000             300.000             300.000             300.000             300.000             300.000             300.000             300.000             300.000
             1.00392             300.027             300.021             300.015             300.011             300.008             300.006             300.004             300.003             300.002             300.001             300.001
             2.00709             300.080             300.068             300.058             300.050             300.042             300.035             300.029             300.024             300.019             300.015             300.012
             3.05189             300.141             300.124             300.112             300.101             300.091             300.081             300.072             300.063             300.056             300.048             300.041
             4.05189             300.201             300.182             300.168             300.155             300.143             300.131             300.120             300.110             300.100             300.090             300.081
             5.05189             300.261             300.241             300.226             300.212             300.198             300.185             300.172             300.160             300.149             300.138             300.126
             6.05189             300.322             300.301             300.285             300.270             300.255             300.240             300.227             300.213             300.200             300.188             300.175
             7.05189             300.384             300.361             300.344             300.328             300.312             300.297             300.282             300.267             300.253             300.240             300.225
             8.05189             300.446             300.422             300.405             300.387             300.370             300.354             300.338             300.322             300.307             300.293             300.276
             9.05189             300.509             300.484             300.465             300.447             300.429             300.412             300.395             300.378             300.362             300.347             300.329
             10.0519             300.572             300.546             300.526             300.507             300.488             300.470             300.452             300.435             300.418             300.402             300.382
             11.0519             300.635             300.609             300.588             300.568             300.548             300.529             300.511             300.492             300.474             300.457             300.436
             12.0519             300.699             300.672             300.650             300.629             300.609             300.589             300.569             300.550             300.532             300.513             300.490
             13.0519             300.763             300.735             300.713             300.691             300.670             300.649             300.629             300.609             300.589             300.570             300.545
             14.0519             300.828             300.799             300.776             300.753             300.731             300.710             300.689             300.668             300.648             300.628             300.601
             15.0519             300.893             300.863             300.839             300.816             300.793             300.771             300.749             300.728             300.707             300.686             300.658
             16.0519             300.958             300.927             300.903             300.879             300.855             300.833             300.810             300.788             300.766             300.745             300.715
             17.0519             301.023             300.992             300.967             300.942             300.918             300.895             300.871             300.849             300.826             300.805             300.772
             18.0519             301.089             301.057             301.031             301.006             300.982             300.957             300.933             300.910             300.887             300.865             300.830
             19.0519             301.155             301.123             301.096             301.070             301.045             301.020             300.996             300.972             300.948             300.925             300.889
             20.0519             301.221             301.188             301.161             301.135             301.109             301.084             301.059             301.034             301.010             300.986             300.948
             21.0519             301.288             301.254             301.227             301.200             301.173             301.147             301.122             301.097             301.072             301.048             301.007
             22.0519             301.354             301.321             301.293             301.265             301.238             301.212             301.186             301.160             301.135             301.110             301.067
             23.0519             301.422             301.387             301.359             301.331             301.303             301.276             301.250             301.223             301.198             301.172             301.127
             24.0519             301.489             301.454             301.425             301.397             301.369             301.341             301.314             301.287             301.261             301.235             301.188
             25.0519             301.556             301.521             301.492             301.463             301.435             301.406             301.379             301.352             301.325             301.299             301.250
             26.0519             301.624             301.588             301.559             301.529             301.501             301.472             301.444             301.417             301.389             301.362             301.311
             27.0519             301.692             301.656             301.626             301.596             301.567             301.538             301.510             301.482             301.454             301.427             301.373
             28.0519             301.760             301.724             301.693             301.663             301.634             301.604             301.576             301.547             301.519             301.491             301.436
             29.0519             301.828             301.792             301.761             301.730             301.701             301.671             301.642             301.613             301.585             301.556             301.499
             30.0519             301.897             301.860             301.829             301.798             301.768             301.738             301.708             301.679             301.650             301.622             301.562
             31.0519             301.966             301.928             301.897             301.866             301.835             301.805             301.775             301.746             301.716             301.688             301.625
             32.0519             302.034             301.997             301.965             301.934             301.903             301.872             301.842             301.812             301.783             301.754             301.689
             33.0519             302.103             302.065             302.034             302.002             301.971             301.940             301.910             301.880             301.850             301.820             301.753
             34.0519             302.173             302.134             302.102             302.071             302.039             302.008             301.977             301.947             301.917             301.887             301.818
             35.0519             302.242             302.203             302.171             302.139             302.108             302.076             302.045             302.015             301.984             301.954             301.883
             36.0519             302.311             302.273             302.240             302.208             302.176             302.145             302.113             302.083             302.052             302.022             301.948
             37.0519             302.381             302.342             302.309             302.277             302.245             302.213             302.182             302.151             302.120             302.090             302.013
             38.0519             302.451             302.412             302.379             302.346             302.314             302.282             302.251             302.219             302.188             302.158             302.079
             39.0519             302.521             302.481             302.448             302.416             302.383             302.351             302.320             302.288             302.257             302.226             302.145
             40.0519             302.591             302.551             302.518             302.485             302.453             302.421             302.389             302.357             302.326             302.294             302.211
             41.0519             302.661             302.621             302.588             302.555             302.523             302.490             302.458             302.426             302.395             302.363             302.278
             42.0519             302.731             302.691             302.658             302.625             302.592             302.560             302.528             302.496             302.464             302.432             302.344
             43.0519             302.801             302.762             302.728             302.695             302.662             302.630             302.597             302.565             302.533             302.502             302.411
             44.0519             302.872             302.832             302.799             302.765             302.733             302.700             302.667             302.635             302.603             302.571             302.478
             45.0519             302.942             302.903             302.869             302.836             302.803             302.770             302.738             302.705             302.673             302.641             302.546
             46.0519             303.013             302.973             302.940             302.906             302.873             302.840             302.808             302.775             302.743             302.711             302.614
             47.0519             303.084             303.044             303.010             302.977             302.944             302.911             302.878             302.846             302.814             302.782             302.681
             48.0519             303.155             303.115             303.081             303.048             303.015             302.982             302.949             302.917             302.884             302.852             302.749
             49.0519             303.225             303.186             303.152             303.119             303.086             303.053             303.020             302.987             302.955             302.923             302.818
             50.0519             303.296             303.257             303.223             303.190             303.157             303.124             303.091             303.058             303.026             302.994             302.886
             51.0519             303.368             303.328             303.294             303.261             303.228             303.195             303.162             303.129             303.097             303.065             302.955
             52.0519             303.439             303.399             303.366             303.332             303.299             303.266             303.233             303.201             303.168             303.136             303.024
             53.0519             303.510             303.470             303.437             303.404             303.371             303.338             303.305             303.272             303.240             303.207             303.092
             54.0519             303.581             303.542             303.508             303.475             303.442             303.409             303.376             303.344             303.311             303.279             303.162
             55.0519             303.653             303.613             303.580             303.547             303.514             303.481             303.448             303.415             303.383             303.351             303.231
             56.0519             303.724             303.685             303.652             303.618             303.585             303.553             303.520             303.487             303.455             303.423             303.300
             57.0519             303.796             303.756             303.723             303.690             303.657             303.625             303.592             303.559             303.527             303.495             303.370
             58.0519             303.867             303.828             303.795             303.762             303.729             303.697             303.664             303.632             303.599             303.567             303.440
             59.0519             303.939             303.900             303.867             303.834             303.801             303.769             303.736             303.704             303.671             303.639             303.510
             60.0519             304.011             303.972             303.939             303.906             303.873             303.841             303.808             303.776             303.744             303.712             303.580
             61.0519             304.082             304.044             304.011             303.978             303.946             303.913             303.881             303.849             303.816             303.784             303.650
             62.0519             304.154             304.116             304.083             304.050             304.018             303.986             303.953             303.921             303.889             303.857             303.720
             63.0519             304.226             304.188             304.155             304.123             304.090             304.058             304.026             303.994             303.962             303.930             303.791
             64.0519             304.298             304.260             304.227             304.195             304.163             304.131             304.099             304.067             304.035             304.003             303.861
             65.0519             304.370             304.332             304.300             304.267             304.235             304.203             304.172             304.140             304.108             304.076             303.932
             66.0519             304.442             304.404             304.372             304.340             304.308             304.276             304.244             304.213             304.181             304.149             304.003
             67.0519             304.514             304.476             304.444             304.413             304.381             304.349             304.317             304.286             304.254             304.223             304.074
             68.0519             304.586             304.548             304.517             304.485             304.454             304.422             304.391             304.359             304.328             304.296             304.145
             69.0519             304.658             304.621             304.589             304.558             304.526             304.495             304.464             304.432             304.401             304.370             304.216
             70.0519             304.730             304.693             304.662             304.630             304.599             304.568             304.537             304.506             304.475             304.444             304.287
             71.0519             304.803             304.765             304.734             304.703             304.672             304.641             304.610             304.579             304.548             304.517             304.358
             72.0519             304.875             304.838             304.807             304.776             304.745             304.714             304.684             304.653             304.622             304.591             304.430
             73.0519             304.947             304.910             304.880             304.849             304.818             304.788             304.757             304.726             304.696             304.665             304.501
             74.0519             305.019             304.983             304.952             304.922             304.891             304.861             304.831             304.800             304.770             304.739             304.573
             75.0519             305.092             305.055             305.025             304.995             304.965             304.934             304.904             304.874             304.844             304.813             304.644
             76.0519             305.164             305.128             305.098             305.068             305.038             305.008             304.978             304.948             304.918             304.887             304.716
             77.0519             305.236             305.201             305.171             305.141             305.111             305.081             305.051             305.022             304.992             304.962             304.788
             78.0519             305.309             305.273             305.244             305.214             305.185             305.155             305.125             305.096             305.066             305.036             304.860
             79.0519             305.381             305.346             305.317             305.287             305.258             305.228             305.199             305.170             305.140             305.110             304.932
             80.0519             305.454             305.419             305.390             305.360             305.331             305.302             305.273             305.244             305.214             305.185             305.004
             81.0519             305.526             305.491             305.463             305.434             305.405             305.376             305.347             305.318             305.289             305.259             305.076
             82.0519             305.599             305.564             305.536             305.507             305.478             305.450             305.421             305.392             305.363             305.334             305.148
             83.0519             305.671             305.637             305.609             305.580             305.552             305.523             305.495             305.466             305.438             305.409             305.220
             84.0519             305.744             305.710             305.682             305.654             305.625             305.597             305.569             305.541             305.512             305.484             305.293
             85.0519             305.816             305.783             305.755             305.727             305.699             305.671             305.643             305.615             305.587             305.558             305.365
             86.0519             305.889             305.855             305.828             305.800             305.773             305.745             305.717             305.689             305.661             305.633             305.437
             87.0519             305.962             305.928             305.901             305.874             305.846             305.819             305.791             305.764             305.736             305.708             305.510
             88.0519             306.034             306.001             305.974             305.947             305.920             305.893             305.866             305.838             305.811             305.783             305.582
             89.0519             306.107             306.074             306.048             306.021             305.994             305.967             305.940             305.913             305.886             305.858             305.655
             90.0519             306.180             306.147             306.121             306.094             306.068             306.041             306.014             305.987             305.960             305.933             305.728
             91.0519             306.252             306.220             306.194             306.168             306.141             306.115             306.089             306.062             306.035             306.008             305.800
             92.0519             306.325             306.293             306.267             306.241             306.215             306.189             306.163             306.137             306.110             306.083             305.873
             93.0519             306.398             306.366             306.341             306.315             306.289             306.263             306.237             306.211             306.185             306.159             305.946
             94.0519             306.470             306.439             306.414             306.388             306.363             306.337             306.312             306.286             306.260             306.234             306.019
             95.0519             306.543             306.512             306.487             306.462             306.437             306.412             306.386             306.361             306.335             306.309             306.092
             96.0519             306.616             306.585             306.561             306.536             306.511             306.486             306.461             306.435             306.410             306.385             306.165
             97.0519             306.689             306.658             306.634             306.609             306.585             306.560             306.535             306.510             306.485             306.460             306.238
             98.0519             306.761             306.731             306.707             306.683             306.659             306.634             306.610             306.585             306.560             306.535             306.311
             99.0519             306.834             306.804             306.781             306.757             306.733             306.709             306.684             306.660             306.636             306.611             306.384
             100.052             306.907             306.877             306.854             306.831             306.807             306.783             306.759             306.735             306.711             306.686             306.457
             101.052             306.980             306.951             306.927             306.904             306.881             306.857             306.834             306.810             306.786             306.762             306.530
             102.052             307.052             307.024             307.001             306.978             306.955             306.932             306.908             306.885             306.861             306.837             306.603
             103.052             307.125             307.097             307.074             307.052             307.029             307.006             306.983             306.960             306.936             306.913             306.676
             104.052             307.198             307.170             307.148             307.126             307.103             307.080             307.058             307.035             307.012             306.988             306.749
             105.052             307.271             307.243             307.221             307.199             307.177             307.155             307.132             307.110             307.087             307.064             306.823
             106.052             307.344             307.316             307.295             307.273             307.251             307.229             307.207             307.185             307.162             307.140             306.896
             107.052             307.417             307.389             307.368             307.347             307.325             307.304             307.282             307.260             307.238             307.215             306.969
             108.052             307.489             307.463             307.442             307.421             307.400             307.378             307.357             307.335             307.313             307.291             307.043
             109.052             307.562             307.536             307.515             307.495             307.474             307.453             307.432             307.410             307.389             307.367             307.116
             110.052             307.635             307.609             307.589             307.568             307.548             307.527             307.506             307.485             307.464             307.443             307.189
             111.052             307.708             307.682             307.662             307.642             307.622             307.602             307.581             307.560             307.540             307.518             307.263
             112.052             307.781             307.755             307.736             307.716             307.696             307.676             307.656             307.636             307.615             307.594             307.336
             113.052             307.854             307.829             307.809             307.790             307.771             307.751             307.731             307.711             307.691             307.670             307.410
             114.052             307.927             307.902             307.883             307.864             307.845             307.825             307.806             307.786             307.766             307.746             307.483
             115.052             307.999             307.975             307.957             307.938             307.919             307.900             307.881             307.861             307.842             307.822             307.557
             116.052             308.072             308.048             308.030             308.012             307.993             307.974             307.956             307.936             307.917             307.898             307.630
             117.052             308.145             308.121             308.104             308.086             308.067             308.049             308.030             308.012             307.993             307.973             307.704
             118.052             308.218             308.195             308.177             308.160             308.142             308.124             308.105             308.087             308.068             308.049             307.777
             119.052             308.291             308.268             308.251             308.233             308.216             308.198             308.180             308.162             308.144             308.125             307.851
             120.052             308.364             308.341             308.324             308.307             308.290             308.273             308.255             308.238             308.220             308.201             307.925
             121.052             308.437             308.414             308.398             308.381             308.365             308.347             308.330             308.313             308.295             308.277             307.998
