                time        tsurfi-60A01        tsurfi-60A02        tsurfi-60A03        tsurfi-60A04        tsurfi-60A05        tsurfi-60A06        tsurfi-60A07        tsurfi-60A08        tsurfi-60A09        tsurfi-60A10        tsurfi-60A11
                 (s)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)
     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------
             0.00000             300.000             300.000             300.000             300.000             300.000             300.000             300.000             300.000             300.000             300.000             300.000
             1.02775             300.019             300.013             300.008             300.005             300.003             300.002             300.001             300.001             300.001             300.000             300.000
             2.09760             300.065             300.052             300.042             300.034             300.026             300.020             300.015             300.011             300.008             300.006             300.004
             3.17668             300.120             300.103             300.089             300.076             300.065             300.055             300.046             300.038             300.031             300.025             300.020
             4.17668             300.174             300.154             300.138             300.123             300.109             300.096             300.084             300.073             300.063             300.054             300.046
             5.17668             300.230             300.208             300.190             300.172             300.156             300.141             300.127             300.113             300.101             300.089             300.079
             6.17668             300.287             300.263             300.243             300.224             300.206             300.189             300.173             300.158             300.143             300.130             300.117
             7.17668             300.345             300.319             300.298             300.277             300.257             300.239             300.221             300.204             300.188             300.173             300.158
             8.17668             300.403             300.376             300.353             300.331             300.310             300.290             300.271             300.252             300.235             300.218             300.201
             9.17668             300.462             300.433             300.409             300.386             300.363             300.342             300.321             300.301             300.283             300.264             300.246
             10.1767             300.521             300.491             300.466             300.441             300.418             300.395             300.373             300.352             300.332             300.312             300.291
             11.1767             300.581             300.550             300.523             300.497             300.472             300.448             300.425             300.403             300.382             300.361             300.338
             12.1767             300.642             300.609             300.581             300.554             300.528             300.503             300.478             300.455             300.432             300.411             300.385
             13.1767             300.703             300.669             300.640             300.612             300.584             300.558             300.532             300.508             300.484             300.461             300.433
             14.1767             300.764             300.729             300.699             300.670             300.641             300.614             300.587             300.561             300.537             300.512             300.483
             15.1767             300.826             300.790             300.759             300.728             300.699             300.670             300.643             300.616             300.590             300.565             300.532
             16.1767             300.888             300.851             300.819             300.787             300.757             300.727             300.699             300.671             300.644             300.618             300.583
             17.1767             300.951             300.913             300.879             300.847             300.816             300.785             300.755             300.726             300.698             300.671             300.634
             18.1767             301.014             300.975             300.941             300.907             300.875             300.843             300.812             300.783             300.754             300.726             300.686
             19.1767             301.077             301.037             301.002             300.968             300.934             300.902             300.870             300.840             300.810             300.781             300.739
             20.1767             301.141             301.100             301.064             301.029             300.995             300.961             300.929             300.897             300.866             300.836             300.792
             21.1767             301.205             301.163             301.127             301.091             301.055             301.021             300.988             300.955             300.924             300.893             300.846
             22.1767             301.269             301.227             301.189             301.153             301.117             301.082             301.047             301.014             300.981             300.950             300.900
             23.1767             301.334             301.291             301.253             301.215             301.178             301.142             301.107             301.073             301.040             301.007             300.955
             24.1767             301.399             301.355             301.316             301.278             301.240             301.204             301.168             301.133             301.099             301.065             301.010
             25.1767             301.465             301.420             301.380             301.341             301.303             301.265             301.229             301.193             301.158             301.124             301.066
             26.1767             301.530             301.485             301.445             301.405             301.366             301.328             301.290             301.254             301.218             301.184             301.123
             27.1767             301.596             301.551             301.509             301.469             301.429             301.390             301.352             301.315             301.279             301.243             301.180
             28.1767             301.663             301.616             301.574             301.533             301.493             301.453             301.415             301.377             301.340             301.304             301.238
             29.1767             301.729             301.682             301.640             301.598             301.557             301.517             301.478             301.439             301.402             301.365             301.296
             30.1767             301.796             301.748             301.705             301.663             301.622             301.581             301.541             301.502             301.464             301.426             301.354
             31.1767             301.863             301.815             301.771             301.728             301.686             301.645             301.605             301.565             301.526             301.488             301.413
             32.1767             301.930             301.882             301.837             301.794             301.752             301.710             301.669             301.628             301.589             301.550             301.473
             33.1767             301.998             301.949             301.904             301.860             301.817             301.775             301.733             301.692             301.652             301.613             301.533
             34.1767             302.065             302.016             301.971             301.926             301.883             301.840             301.798             301.757             301.716             301.676             301.593
             35.1767             302.133             302.083             302.038             301.993             301.949             301.906             301.863             301.821             301.780             301.740             301.654
             36.1767             302.201             302.151             302.105             302.060             302.015             301.972             301.929             301.886             301.845             301.804             301.715
             37.1767             302.270             302.219             302.173             302.127             302.082             302.038             301.995             301.952             301.910             301.868             301.777
             38.1767             302.338             302.287             302.240             302.194             302.149             302.105             302.061             302.018             301.975             301.933             301.839
             39.1767             302.407             302.355             302.308             302.262             302.217             302.172             302.127             302.084             302.041             301.998             301.901
             40.1767             302.476             302.424             302.377             302.330             302.284             302.239             302.194             302.150             302.107             302.064             301.963
             41.1767             302.545             302.493             302.445             302.398             302.352             302.306             302.261             302.217             302.173             302.130             302.026
             42.1767             302.614             302.562             302.514             302.467             302.420             302.374             302.329             302.284             302.240             302.196             302.090
             43.1767             302.683             302.631             302.583             302.535             302.488             302.442             302.396             302.351             302.307             302.263             302.153
             44.1767             302.753             302.700             302.652             302.604             302.557             302.510             302.464             302.419             302.374             302.330             302.217
             45.1767             302.822             302.769             302.721             302.673             302.625             302.579             302.532             302.487             302.442             302.397             302.282
             46.1767             302.892             302.839             302.790             302.742             302.694             302.647             302.601             302.555             302.510             302.465             302.346
             47.1767             302.962             302.909             302.860             302.811             302.764             302.716             302.670             302.623             302.578             302.533             302.411
             48.1767             303.032             302.979             302.930             302.881             302.833             302.785             302.739             302.692             302.646             302.601             302.476
             49.1767             303.102             303.049             302.999             302.951             302.903             302.855             302.808             302.761             302.715             302.669             302.542
             50.1767             303.173             303.119             303.069             303.021             302.972             302.924             302.877             302.830             302.784             302.738             302.607
             51.1767             303.243             303.189             303.140             303.091             303.042             302.994             302.947             302.900             302.853             302.807             302.673
             52.1767             303.313             303.260             303.210             303.161             303.112             303.064             303.017             302.969             302.923             302.876             302.740
             53.1767             303.384             303.330             303.281             303.231             303.183             303.134             303.087             303.039             302.992             302.946             302.806
             54.1767             303.455             303.401             303.351             303.302             303.253             303.205             303.157             303.109             303.062             303.016             302.873
             55.1767             303.526             303.472             303.422             303.373             303.324             303.275             303.227             303.180             303.132             303.086             302.940
             56.1767             303.597             303.543             303.493             303.443             303.394             303.346             303.298             303.250             303.203             303.156             303.007
             57.1767             303.668             303.614             303.564             303.514             303.465             303.417             303.369             303.321             303.273             303.226             303.074
             58.1767             303.739             303.685             303.635             303.585             303.536             303.488             303.439             303.392             303.344             303.297             303.142
             59.1767             303.810             303.756             303.706             303.657             303.608             303.559             303.511             303.463             303.415             303.368             303.210
             60.1767             303.881             303.827             303.777             303.728             303.679             303.630             303.582             303.534             303.486             303.439             303.278
             61.1767             303.953             303.899             303.849             303.799             303.750             303.702             303.653             303.605             303.558             303.510             303.346
             62.1767             304.024             303.970             303.920             303.871             303.822             303.773             303.725             303.677             303.629             303.582             303.415
             63.1767             304.095             304.042             303.992             303.943             303.894             303.845             303.797             303.749             303.701             303.653             303.483
             64.1767             304.167             304.113             304.064             304.015             303.966             303.917             303.868             303.820             303.773             303.725             303.552
             65.1767             304.239             304.185             304.136             304.086             304.038             303.989             303.940             303.892             303.845             303.797             303.621
             66.1767             304.310             304.257             304.208             304.158             304.110             304.061             304.013             303.965             303.917             303.869             303.690
             67.1767             304.382             304.329             304.280             304.231             304.182             304.133             304.085             304.037             303.989             303.941             303.759
             68.1767             304.454             304.401             304.352             304.303             304.254             304.206             304.157             304.109             304.062             304.014             303.829
             69.1767             304.526             304.473             304.424             304.375             304.326             304.278             304.230             304.182             304.134             304.087             303.898
             70.1767             304.598             304.545             304.496             304.447             304.399             304.351             304.302             304.255             304.207             304.159             303.968
             71.1767             304.670             304.617             304.568             304.520             304.471             304.423             304.375             304.327             304.280             304.232             304.038
             72.1767             304.742             304.689             304.641             304.592             304.544             304.496             304.448             304.400             304.353             304.305             304.108
             73.1767             304.814             304.762             304.713             304.665             304.617             304.569             304.521             304.473             304.426             304.379             304.178
             74.1767             304.886             304.834             304.786             304.738             304.690             304.642             304.594             304.547             304.499             304.452             304.249
             75.1767             304.958             304.906             304.858             304.810             304.762             304.715             304.667             304.620             304.573             304.525             304.319
             76.1767             305.031             304.979             304.931             304.883             304.835             304.788             304.741             304.693             304.646             304.599             304.390
             77.1767             305.103             305.051             305.004             304.956             304.908             304.861             304.814             304.767             304.720             304.673             304.460
             78.1767             305.175             305.124             305.076             305.029             304.982             304.934             304.887             304.840             304.793             304.747             304.531
             79.1767             305.248             305.196             305.149             305.102             305.055             305.008             304.961             304.914             304.867             304.820             304.602
             80.1767             305.320             305.269             305.222             305.175             305.128             305.081             305.034             304.988             304.941             304.895             304.673
             81.1767             305.392             305.342             305.295             305.248             305.201             305.155             305.108             305.062             305.015             304.969             304.744
             82.1767             305.465             305.414             305.368             305.321             305.275             305.228             305.182             305.136             305.089             305.043             304.816
             83.1767             305.537             305.487             305.441             305.394             305.348             305.302             305.256             305.210             305.163             305.117             304.887
             84.1767             305.610             305.560             305.514             305.468             305.422             305.376             305.330             305.284             305.238             305.192             304.959
             85.1767             305.683             305.633             305.587             305.541             305.495             305.449             305.404             305.358             305.312             305.266             305.030
             86.1767             305.755             305.706             305.660             305.614             305.569             305.523             305.478             305.432             305.387             305.341             305.102
             87.1767             305.828             305.779             305.733             305.688             305.643             305.597             305.552             305.506             305.461             305.416             305.174
             88.1767             305.900             305.851             305.806             305.761             305.716             305.671             305.626             305.581             305.536             305.490             305.245
             89.1767             305.973             305.924             305.880             305.835             305.790             305.745             305.700             305.655             305.610             305.565             305.317
             90.1767             306.046             305.997             305.953             305.908             305.864             305.819             305.775             305.730             305.685             305.640             305.389
             91.1767             306.119             306.070             306.026             305.982             305.938             305.893             305.849             305.805             305.760             305.715             305.462
             92.1767             306.191             306.143             306.100             306.056             306.012             305.967             305.923             305.879             305.835             305.790             305.534
             93.1767             306.264             306.217             306.173             306.129             306.086             306.042             305.998             305.954             305.910             305.866             305.606
             94.1767             306.337             306.290             306.246             306.203             306.160             306.116             306.072             306.029             305.985             305.941             305.678
             95.1767             306.410             306.363             306.320             306.277             306.234             306.190             306.147             306.104             306.060             306.016             305.751
             96.1767             306.483             306.436             306.393             306.351             306.308             306.265             306.222             306.178             306.135             306.092             305.823
             97.1767             306.555             306.509             306.467             306.424             306.382             306.339             306.296             306.253             306.210             306.167             305.896
             98.1767             306.628             306.582             306.540             306.498             306.456             306.413             306.371             306.328             306.286             306.243             305.968
             99.1767             306.701             306.656             306.614             306.572             306.530             306.488             306.446             306.403             306.361             306.318             306.041
             100.177             306.774             306.729             306.687             306.646             306.604             306.562             306.521             306.478             306.436             306.394             306.114
             101.177             306.847             306.802             306.761             306.720             306.678             306.637             306.595             306.554             306.512             306.470             306.187
             102.177             306.920             306.875             306.835             306.794             306.753             306.712             306.670             306.629             306.587             306.545             306.259
             103.177             306.993             306.949             306.908             306.868             306.827             306.786             306.745             306.704             306.663             306.621             306.332
             104.177             307.066             307.022             306.982             306.942             306.901             306.861             306.820             306.779             306.738             306.697             306.405
             105.177             307.139             307.095             307.056             307.016             306.976             306.935             306.895             306.855             306.814             306.773             306.478
             106.177             307.212             307.169             307.129             307.090             307.050             307.010             306.970             306.930             306.890             306.849             306.551
             107.177             307.285             307.242             307.203             307.164             307.124             307.085             307.045             307.005             306.965             306.925             306.625
             108.177             307.358             307.315             307.277             307.238             307.199             307.160             307.120             307.081             307.041             307.001             306.698
             109.177             307.431             307.389             307.350             307.312             307.273             307.234             307.195             307.156             307.117             307.077             306.771
             110.177             307.504             307.462             307.424             307.386             307.348             307.309             307.271             307.232             307.193             307.153             306.844
             111.177             307.577             307.536             307.498             307.460             307.422             307.384             307.346             307.307             307.268             307.229             306.917
             112.177             307.650             307.609             307.572             307.534             307.497             307.459             307.421             307.383             307.344             307.305             306.991
             113.177             307.723             307.682             307.646             307.609             307.571             307.534             307.496             307.458             307.420             307.381             307.064
             114.177             307.796             307.756             307.719             307.683             307.646             307.609             307.571             307.534             307.496             307.458             307.138
             115.177             307.869             307.829             307.793             307.757             307.720             307.684             307.647             307.609             307.572             307.534             307.211
             116.177             307.942             307.903             307.867             307.831             307.795             307.759             307.722             307.685             307.648             307.610             307.285
             117.177             308.015             307.976             307.941             307.905             307.870             307.834             307.797             307.761             307.724             307.687             307.358
             118.177             308.088             308.050             308.015             307.980             307.944             307.909             307.873             307.836             307.800             307.763             307.432
             119.177             308.161             308.123             308.089             308.054             308.019             307.984             307.948             307.912             307.876             307.840             307.505
             120.177             308.235             308.197             308.163             308.128             308.094             308.059             308.023             307.988             307.952             307.916             307.579
             121.177             308.308             308.270             308.236             308.202             308.168             308.134             308.099             308.064             308.028             307.992             307.653
