                time        tsurfi-60A01        tsurfi-60A02        tsurfi-60A03        tsurfi-60A04        tsurfi-60A05        tsurfi-60A06        tsurfi-60A07        tsurfi-60A08        tsurfi-60A09        tsurfi-60A10        tsurfi-60A11
                 (s)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)                 (K)
     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------     ---------------
             0.00000             300.000             300.000             300.000             300.000             300.000             300.000             300.000             300.000             300.000             300.000             300.000
             1.03482             300.023             300.018             300.015             300.011             300.009             300.006             300.005             300.003             300.002             300.002             300.001
             2.10380             300.073             300.063             300.055             300.049             300.042             300.037             300.032             300.027             300.023             300.019             300.016
             3.19127             300.130             300.116             300.106             300.097             300.089             300.081             300.073             300.066             300.060             300.053             300.045
             4.19127             300.185             300.168             300.157             300.146             300.136             300.127             300.118             300.109             300.100             300.093             300.082
             5.19127             300.240             300.222             300.210             300.198             300.186             300.176             300.165             300.155             300.145             300.136             300.123
             6.19127             300.296             300.276             300.263             300.250             300.238             300.226             300.214             300.203             300.192             300.182             300.167
             7.19127             300.352             300.332             300.318             300.304             300.290             300.277             300.264             300.252             300.240             300.229             300.212
             8.19127             300.409             300.388             300.372             300.358             300.343             300.329             300.316             300.302             300.290             300.277             300.258
             9.19127             300.467             300.444             300.428             300.412             300.397             300.382             300.367             300.353             300.340             300.326             300.306
             10.1913             300.525             300.501             300.484             300.467             300.451             300.435             300.420             300.405             300.390             300.376             300.354
             11.1913             300.583             300.558             300.541             300.523             300.506             300.489             300.473             300.457             300.442             300.427             300.403
             12.1913             300.642             300.616             300.598             300.579             300.561             300.544             300.527             300.510             300.494             300.478             300.452
             13.1913             300.701             300.675             300.655             300.636             300.617             300.599             300.581             300.564             300.547             300.530             300.502
             14.1913             300.760             300.733             300.713             300.693             300.674             300.655             300.636             300.618             300.600             300.583             300.553
             15.1913             300.820             300.792             300.771             300.751             300.731             300.711             300.692             300.673             300.654             300.636             300.604
             16.1913             300.880             300.852             300.830             300.809             300.788             300.767             300.747             300.728             300.709             300.690             300.656
             17.1913             300.941             300.911             300.889             300.867             300.846             300.824             300.804             300.784             300.764             300.744             300.708
             18.1913             301.001             300.972             300.949             300.926             300.904             300.882             300.861             300.840             300.819             300.799             300.761
             19.1913             301.063             301.032             301.008             300.985             300.962             300.940             300.918             300.896             300.875             300.854             300.814
             20.1913             301.124             301.093             301.069             301.045             301.021             300.998             300.976             300.954             300.932             300.910             300.868
             21.1913             301.186             301.154             301.129             301.105             301.081             301.057             301.034             301.011             300.989             300.967             300.922
             22.1913             301.248             301.215             301.190             301.165             301.140             301.116             301.092             301.069             301.046             301.024             300.977
             23.1913             301.310             301.277             301.251             301.226             301.200             301.176             301.151             301.128             301.104             301.081             301.032
             24.1913             301.372             301.339             301.313             301.287             301.261             301.236             301.211             301.186             301.162             301.139             301.088
             25.1913             301.435             301.401             301.374             301.348             301.322             301.296             301.271             301.246             301.221             301.197             301.144
             26.1913             301.498             301.464             301.436             301.409             301.383             301.357             301.331             301.305             301.280             301.256             301.201
             27.1913             301.561             301.527             301.499             301.471             301.444             301.417             301.391             301.365             301.340             301.315             301.257
             28.1913             301.625             301.590             301.561             301.533             301.506             301.479             301.452             301.426             301.400             301.374             301.315
             29.1913             301.688             301.653             301.624             301.596             301.568             301.540             301.513             301.486             301.460             301.434             301.372
             30.1913             301.752             301.716             301.687             301.658             301.630             301.602             301.575             301.547             301.521             301.494             301.430
             31.1913             301.816             301.780             301.750             301.721             301.693             301.664             301.636             301.609             301.582             301.555             301.488
             32.1913             301.881             301.844             301.814             301.785             301.755             301.727             301.698             301.670             301.643             301.616             301.547
             33.1913             301.945             301.908             301.878             301.848             301.819             301.789             301.761             301.732             301.704             301.677             301.606
             34.1913             302.010             301.972             301.942             301.912             301.882             301.852             301.823             301.795             301.766             301.738             301.665
             35.1913             302.075             302.037             302.006             301.976             301.945             301.916             301.886             301.857             301.829             301.800             301.725
             36.1913             302.139             302.101             302.070             302.040             302.009             301.979             301.949             301.920             301.891             301.862             301.785
             37.1913             302.205             302.166             302.135             302.104             302.073             302.043             302.013             301.983             301.954             301.925             301.845
             38.1913             302.270             302.231             302.200             302.168             302.137             302.107             302.077             302.047             302.017             301.988             301.906
             39.1913             302.335             302.296             302.265             302.233             302.202             302.171             302.141             302.110             302.080             302.051             301.966
             40.1913             302.401             302.362             302.330             302.298             302.267             302.235             302.205             302.174             302.144             302.114             302.028
             41.1913             302.467             302.427             302.395             302.363             302.331             302.300             302.269             302.238             302.208             302.178             302.089
             42.1913             302.532             302.493             302.460             302.428             302.396             302.365             302.334             302.303             302.272             302.242             302.150
             43.1913             302.598             302.559             302.526             302.494             302.462             302.430             302.398             302.367             302.336             302.306             302.212
             44.1913             302.665             302.625             302.592             302.559             302.527             302.495             302.463             302.432             302.401             302.370             302.274
             45.1913             302.731             302.691             302.658             302.625             302.593             302.560             302.529             302.497             302.466             302.435             302.337
             46.1913             302.797             302.757             302.724             302.691             302.658             302.626             302.594             302.562             302.531             302.500             302.399
             47.1913             302.864             302.823             302.790             302.757             302.724             302.692             302.660             302.628             302.596             302.565             302.462
             48.1913             302.930             302.890             302.856             302.823             302.790             302.758             302.725             302.693             302.661             302.630             302.525
             49.1913             302.997             302.956             302.923             302.889             302.856             302.824             302.791             302.759             302.727             302.695             302.588
             50.1913             303.064             303.023             302.989             302.956             302.923             302.890             302.857             302.825             302.793             302.761             302.651
             51.1913             303.130             303.090             303.056             303.023             302.989             302.956             302.924             302.891             302.859             302.827             302.715
             52.1913             303.197             303.156             303.123             303.089             303.056             303.023             302.990             302.957             302.925             302.893             302.779
             53.1913             303.264             303.223             303.190             303.156             303.123             303.090             303.057             303.024             302.991             302.959             302.842
             54.1913             303.331             303.291             303.257             303.223             303.190             303.156             303.123             303.090             303.058             303.025             302.906
             55.1913             303.399             303.358             303.324             303.290             303.257             303.223             303.190             303.157             303.125             303.092             302.971
             56.1913             303.466             303.425             303.391             303.357             303.324             303.290             303.257             303.224             303.191             303.159             303.035
             57.1913             303.533             303.492             303.458             303.424             303.391             303.357             303.324             303.291             303.258             303.226             303.100
             58.1913             303.601             303.560             303.526             303.492             303.458             303.425             303.392             303.358             303.326             303.293             303.165
             59.1913             303.668             303.627             303.593             303.559             303.526             303.492             303.459             303.426             303.393             303.360             303.229
             60.1913             303.736             303.695             303.661             303.627             303.593             303.560             303.526             303.493             303.460             303.427             303.294
             61.1913             303.804             303.762             303.728             303.695             303.661             303.627             303.594             303.561             303.528             303.495             303.360
             62.1913             303.871             303.830             303.796             303.762             303.729             303.695             303.662             303.628             303.595             303.562             303.425
             63.1913             303.939             303.898             303.864             303.830             303.796             303.763             303.730             303.696             303.663             303.630             303.490
             64.1913             304.007             303.966             303.932             303.898             303.864             303.831             303.797             303.764             303.731             303.698             303.556
             65.1913             304.075             304.034             304.000             303.966             303.932             303.899             303.866             303.832             303.799             303.766             303.622
             66.1913             304.143             304.102             304.068             304.034             304.000             303.967             303.934             303.900             303.867             303.834             303.688
             67.1913             304.211             304.170             304.136             304.102             304.069             304.035             304.002             303.969             303.936             303.903             303.754
             68.1913             304.279             304.238             304.204             304.170             304.137             304.103             304.070             304.037             304.004             303.971             303.820
             69.1913             304.347             304.306             304.272             304.239             304.205             304.172             304.139             304.105             304.072             304.039             303.886
             70.1913             304.415             304.374             304.341             304.307             304.274             304.240             304.207             304.174             304.141             304.108             303.952
             71.1913             304.483             304.443             304.409             304.375             304.342             304.309             304.276             304.243             304.210             304.177             304.019
             72.1913             304.551             304.511             304.477             304.444             304.411             304.377             304.344             304.311             304.278             304.245             304.085
             73.1913             304.620             304.579             304.546             304.512             304.479             304.446             304.413             304.380             304.347             304.314             304.152
             74.1913             304.688             304.648             304.614             304.581             304.548             304.515             304.482             304.449             304.416             304.383             304.218
             75.1913             304.756             304.716             304.683             304.650             304.617             304.584             304.551             304.518             304.485             304.452             304.285
             76.1913             304.825             304.785             304.751             304.718             304.685             304.653             304.620             304.587             304.554             304.522             304.352
             77.1913             304.893             304.853             304.820             304.787             304.754             304.722             304.689             304.656             304.624             304.591             304.419
             78.1913             304.962             304.922             304.889             304.856             304.823             304.791             304.758             304.725             304.693             304.660             304.486
             79.1913             305.030             304.990             304.957             304.925             304.892             304.860             304.827             304.795             304.762             304.730             304.553
             80.1913             305.099             305.059             305.026             304.994             304.961             304.929             304.896             304.864             304.832             304.799             304.621
             81.1913             305.167             305.128             305.095             305.063             305.030             304.998             304.966             304.933             304.901             304.869             304.688
             82.1913             305.236             305.196             305.164             305.132             305.099             305.067             305.035             305.003             304.971             304.938             304.755
             83.1913             305.304             305.265             305.233             305.201             305.168             305.136             305.104             305.072             305.040             305.008             304.823
             84.1913             305.373             305.334             305.302             305.270             305.238             305.206             305.174             305.142             305.110             305.078             304.890
             85.1913             305.442             305.403             305.371             305.339             305.307             305.275             305.243             305.211             305.180             305.148             304.958
             86.1913             305.510             305.471             305.440             305.408             305.376             305.344             305.313             305.281             305.249             305.217             305.026
             87.1913             305.579             305.540             305.509             305.477             305.446             305.414             305.382             305.351             305.319             305.287             305.093
             88.1913             305.648             305.609             305.578             305.546             305.515             305.483             305.452             305.421             305.389             305.357             305.161
             89.1913             305.716             305.678             305.647             305.616             305.584             305.553             305.522             305.490             305.459             305.428             305.229
             90.1913             305.785             305.747             305.716             305.685             305.654             305.623             305.591             305.560             305.529             305.498             305.297
             91.1913             305.854             305.816             305.785             305.754             305.723             305.692             305.661             305.630             305.599             305.568             305.365
             92.1913             305.923             305.885             305.854             305.823             305.793             305.762             305.731             305.700             305.669             305.638             305.433
             93.1913             305.992             305.954             305.923             305.893             305.862             305.832             305.801             305.770             305.739             305.708             305.501
             94.1913             306.061             306.023             305.993             305.962             305.932             305.901             305.871             305.840             305.810             305.779             305.569
             95.1913             306.129             306.092             306.062             306.032             306.001             305.971             305.941             305.910             305.880             305.849             305.637
             96.1913             306.198             306.161             306.131             306.101             306.071             306.041             306.011             305.980             305.950             305.920             305.706
             97.1913             306.267             306.230             306.200             306.171             306.141             306.111             306.081             306.051             306.020             305.990             305.774
             98.1913             306.336             306.299             306.270             306.240             306.210             306.180             306.151             306.121             306.091             306.061             305.842
             99.1913             306.405             306.369             306.339             306.310             306.280             306.250             306.221             306.191             306.161             306.131             305.911
             100.191             306.474             306.438             306.408             306.379             306.350             306.320             306.291             306.261             306.232             306.202             305.979
             101.191             306.543             306.507             306.478             306.449             306.419             306.390             306.361             306.332             306.302             306.272             306.048
             102.191             306.612             306.576             306.547             306.518             306.489             306.460             306.431             306.402             306.373             306.343             306.116
             103.191             306.681             306.645             306.617             306.588             306.559             306.530             306.501             306.472             306.443             306.414             306.185
             104.191             306.750             306.714             306.686             306.657             306.629             306.600             306.571             306.543             306.514             306.484             306.253
             105.191             306.819             306.784             306.755             306.727             306.699             306.670             306.642             306.613             306.584             306.555             306.322
             106.191             306.888             306.853             306.825             306.797             306.768             306.740             306.712             306.683             306.655             306.626             306.390
             107.191             306.957             306.922             306.894             306.866             306.838             306.810             306.782             306.754             306.726             306.697             306.459
             108.191             307.026             306.991             306.964             306.936             306.908             306.880             306.852             306.824             306.796             306.768             306.528
             109.191             307.095             307.061             307.033             307.006             306.978             306.950             306.923             306.895             306.867             306.839             306.597
             110.191             307.164             307.130             307.103             307.075             307.048             307.021             306.993             306.965             306.938             306.910             306.665
             111.191             307.233             307.199             307.172             307.145             307.118             307.091             307.063             307.036             307.008             306.981             306.734
             112.191             307.302             307.269             307.242             307.215             307.188             307.161             307.134             307.107             307.079             307.052             306.803
             113.191             307.371             307.338             307.311             307.285             307.258             307.231             307.204             307.177             307.150             307.122             306.872
             114.191             307.440             307.407             307.381             307.354             307.328             307.301             307.275             307.248             307.221             307.194             306.941
             115.191             307.510             307.476             307.450             307.424             307.398             307.371             307.345             307.318             307.292             307.265             307.010
             116.191             307.579             307.546             307.520             307.494             307.468             307.442             307.415             307.389             307.363             307.336             307.079
             117.191             307.648             307.615             307.589             307.564             307.538             307.512             307.486             307.460             307.434             307.407             307.148
             118.191             307.717             307.684             307.659             307.634             307.608             307.582             307.556             307.530             307.504             307.478             307.217
             119.191             307.786             307.754             307.729             307.703             307.678             307.652             307.627             307.601             307.575             307.549             307.286
             120.191             307.855             307.823             307.798             307.773             307.748             307.723             307.697             307.672             307.646             307.620             307.355
             121.191             307.924             307.893             307.868             307.843             307.818             307.793             307.768             307.743             307.717             307.691             307.424
